Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Antigua and Barbuda","","",0,97928,7378,134,7534.11,1368.35,0.0182,5,148,165,155,4.78,43,0,0.006,0.000,0.0000,324,464,393,23.42,1084,28,0.147,0.207,0.0256,539,674,616,71.22,2873,74,0.389,0.553,0.0258,674,738,733,97.75,2356,11,0.319,0.080,0.0045,738,755,750,67.37,949,9,0.129,0.064,0.0091
"Bahamas","","",0,393248,32975,766,8385.29,1947.88,0.0232,5,68,80,75,0.63,30,7,0.001,0.009,0.2340,171,361,270,25.84,7936,164,0.241,0.214,0.0207,361,508,460,16.11,4104,62,0.124,0.081,0.0151,508,668,579,31.87,10539,434,0.320,0.567,0.0412,668,755,717,113.28,10333,96,0.313,0.126,0.0093
"Barbados","","",0,287371,52377,301,18226.27,1047.43,0.0057,5,57,81,71,1.22,65,4,0.001,0.013,0.0603,188,208,193,0.98,41,0,0.001,0.000,0.0000,325,501,391,30.41,3737,40,0.071,0.133,0.0107,513,688,644,120.77,22548,200,0.430,0.665,0.0089,688,755,736,229.84,25886,56,0.494,0.187,0.0022
"Belize","","",0,397621,55679,632,14003.03,1589.45,0.0114,4,190,427,318,69.49,12359,315,0.222,0.498,0.0255,427,470,455,2.21,275,7,0.005,0.010,0.0239,470,680,632,67.10,17873,255,0.321,0.404,0.0143,680,755,728,184.13,25199,55,0.453,0.087,0.0022,,,,,,,,,
"Costa Rica","","",0,5094113,770906,7827,15133.27,1536.48,0.0102,4,131,406,242,23.55,204649,2811,0.265,0.359,0.0137,406,540,477,47.49,181894,2030,0.236,0.259,0.0112,540,678,592,47.58,180958,2465,0.235,0.315,0.0136,678,755,738,114.65,204137,533,0.265,0.068,0.0026,,,,,,,,,
"Cuba","","",0,11326616,1062313,8477,9378.91,748.41,0.0080,4,236,240,238,0.51,286,4,0.000,0.001,0.0154,310,682,576,81.32,954873,8174,0.899,0.964,0.0086,682,738,728,28.77,75811,86,0.071,0.010,0.0011,738,755,738,22.33,26196,90,0.025,0.011,0.0034,,,,,,,,,
"Dominica","","",0,71990,10659,53,14806.22,736.21,0.0050,5,272,315,287,2.74,51,0,0.005,0.000,0.0000,344,379,351,2.99,32,0,0.003,0.000,0.0000,384,419,391,2.13,34,0,0.003,0.000,0.0000,529,684,600,99.11,5937,41,0.557,0.767,0.0068,684,755,744,144.37,4546,14,0.426,0.260,0.0030
"Dominican Republic","","",0,10847904,570501,4350,5259.09,401.00,0.0076,5,60,272,187,13.16,121900,2201,0.214,0.506,0.0181,272,434,361,15.09,131230,1122,0.230,0.258,0.0085,434,582,497,11.87,96364,685,0.169,0.157,0.0071,582,679,661,9.96,58785,207,0.103,0.048,0.0035,679,755,722,55.68,163363,144,0.286,0.033,0.0009
"El Salvador","","",0,6486200,146202,4010,2254.05,618.24,0.0274,5,101,241,197,6.44,27115,796,0.185,0.198,0.0293,241,436,359,4.87,37554,1214,0.257,0.303,0.0323,436,471,447,3.07,5266,135,0.036,0.034,0.0256,471,695,655,6.35,51341,1660,0.351,0.414,0.0323,707,755,755,38.32,24397,191,0.167,0.048,0.0078
"Grenada","","",0,112518,13371,213,11883.43,1893.03,0.0159,5,319,346,328,4.80,84,0,0.006,0.002,0.0054,353,371,358,1.06,19,0,0.001,0.000,0.0032,559,659,604,186.33,5698,199,0.426,0.933,0.0349,663,670,670,1.88,11,0,0.001,0.000,0.0056,670,755,723,234.88,7499,14,0.561,0.065,0.0019
