Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Argentina","","",0,45195777,8769446,124577,19403.24,2756.39,0.0142,4,109,322,271,32.03,1471739,39931,0.168,0.321,0.0271,322,398,354,25.12,605833,11402,0.069,0.092,0.0188,398,638,492,69.49,3205392,64430,0.366,0.517,0.0201,638,755,723,246.77,3493213,8821,0.398,0.071,0.0025,,,,,,,,,
"Bolivia","","",0,11673029,886321,21330,7592.90,1827.29,0.0241,4,94,294,178,13.57,142014,8774,0.160,0.411,0.0618,294,419,371,18.23,118428,3181,0.134,0.149,0.0269,419,610,490,24.75,237884,6711,0.268,0.315,0.0282,610,755,726,86.32,388353,2653,0.438,0.124,0.0068,,,,,,,,,
"Ecuador","","",0,17643060,799054,35024,4529.00,1985.14,0.0438,5,128,225,200,6.13,76656,3987,0.096,0.114,0.0520,231,325,277,6.97,86555,4479,0.108,0.128,0.0517,325,624,466,11.56,310907,18987,0.389,0.542,0.0611,624,738,726,47.80,209357,1677,0.262,0.048,0.0080,738,755,738,38.00,84988,552,0.106,0.016,0.0065
"Paraguay","","",0,7132530,628723,18020,8814.87,2526.45,0.0287,5,105,108,107,0.54,152,0,0.000,0.000,0.0012,151,286,229,11.21,63333,1425,0.101,0.079,0.0225,286,341,330,12.30,41359,781,0.066,0.043,0.0189,341,607,488,40.74,354763,13941,0.564,0.774,0.0393,632,755,734,92.53,168406,1809,0.268,0.100,0.0107
"Uruguay","","",0,3473727,789605,6794,22730.77,1955.82,0.0086,5,58,69,64,0.63,242,2,0.000,0.000,0.0087,183,184,183,0.50,35,0,0.000,0.000,0.0129,252,380,357,24.83,42197,429,0.053,0.063,0.0102,380,584,491,106.07,340937,5558,0.432,0.818,0.0163,584,755,730,314.94,405048,769,0.513,0.113,0.0019
"Venezuela","","",0,28435943,507046,5555,1783.12,195.35,0.0110,5,150,329,228,3.82,105049,938,0.207,0.169,0.0089,329,466,438,4.71,91376,1207,0.180,0.217,0.0132,466,566,501,4.82,115752,1576,0.228,0.284,0.0136,566,695,621,5.32,126906,1550,0.250,0.279,0.0122,695,755,736,7.14,67110,296,0.132,0.053,0.0044
"Brazil","","",0,211029050,27685295,639614,13119.19,3030.93,0.0231,4,72,274,186,21.57,5309339,155028,0.192,0.242,0.0292,274,469,427,35.95,9644155,259075,0.348,0.405,0.0269,469,681,514,35.19,7238529,203183,0.261,0.318,0.0281,681,755,737,86.66,5576949,24787,0.201,0.039,0.0044,,,,,,,,,
"Colombia","","",0,48334716,6053097,138262,12523.29,2860.51,0.0228,4,93,250,204,23.15,836836,26220,0.138,0.190,0.0313,250,406,359,35.35,1451461,34626,0.240,0.250,0.0239,406,623,520,62.05,2707206,66527,0.447,0.481,0.0246,623,755,724,62.03,1064303,11001,0.176,0.080,0.0103,,,,,,,,,
"Chile","","",0,18184309,2678650,40691,14730.56,2237.70,0.0152,5,58,292,146,49.02,520072,14559,0.194,0.358,0.0280,292,471,444,39.22,714501,12461,0.267,0.306,0.0174,471,595,499,39.63,412004,10238,0.154,0.252,0.0248,595,687,661,13.43,136113,1476,0.051,0.036,0.0108,687,755,750,193.42,904246,2139,0.338,0.053,0.0024
"Peru","","",0,33052797,3595526,226983,10878.13,6867.29,0.0631,5,69,165,127,63.33,437336,58856,0.122,0.259,0.1346,165,323,212,24.69,678851,50369,0.189,0.222,0.0742,323,626,443,26.87,1207014,109276,0.336,0.481,0.0905,626,738,730,139.62,971138,5662,0.270,0.025,0.0058,738,755,738,103.29,339984,3555,0.095,0.016,0.0105
