Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Belgium","Antwerp","",0,1857986,455592,0,24520.74,0.00,0.0000,5,288,368,329,24.66,25975,0,0.057,0.000,0.0000,368,519,428,33.76,54913,0,0.121,0.000,0.0000,597,693,675,168.31,126528,0,0.278,0.000,0.0000,693,738,734,422.32,165498,0,0.363,0.000,0.0000,738,755,738,370.75,73385,0,0.161,0.000,0.0000
"Belgium","Brussels","",0,1208541,334278,0,27659.63,0.00,0.0000,4,288,336,301,27.07,9258,0,0.028,0.000,0.0000,336,517,428,49.47,52788,0,0.158,0.000,0.0000,517,611,587,42.33,32100,0,0.096,0.000,0.0000,611,755,731,431.64,240770,0,0.720,0.000,0.0000,,,,,,,,,
"Belgium","East Flanders","",0,1515063,395663,0,26115.28,0.00,0.0000,5,288,359,300,30.87,22780,0,0.058,0.000,0.0000,359,516,428,45.19,55129,0,0.139,0.000,0.0000,601,694,676,203.03,108112,0,0.273,0.000,0.0000,694,738,734,445.81,142751,0,0.361,0.000,0.0000,738,755,738,387.92,59982,0,0.152,0.000,0.0000
"Belgium","Flemish Brabant","",0,1146175,276430,0,24117.61,0.00,0.0000,5,343,513,428,31.23,33271,0,0.120,0.000,0.0000,513,589,553,17.73,11981,0,0.043,0.000,0.0000,589,687,678,158.62,69729,0,0.252,0.000,0.0000,687,738,733,404.45,117135,0,0.424,0.000,0.0000,738,755,738,341.76,41062,0,0.149,0.000,0.0000
"Belgium","Hainaut","",0,1344240,325415,0,24208.10,0.00,0.0000,3,287,353,299,46.22,21113,0,0.065,0.000,0.0000,353,524,429,47.85,56104,0,0.172,0.000,0.0000,524,755,735,433.12,248480,0,0.764,0.000,0.0000,,,,,,,,,,,,,,,,,,
"Belgium","Liege","",0,1106992,255268,0,23059.61,0.00,0.0000,5,287,366,299,40.68,15351,0,0.060,0.000,0.0000,388,532,433,29.42,28506,0,0.112,0.000,0.0000,532,688,676,114.26,79254,0,0.310,0.000,0.0000,688,738,734,375.62,95003,0,0.372,0.000,0.0000,738,755,738,336.78,38653,0,0.151,0.000,0.0000
"Belgium","Limburg","",0,874048,220923,0,25275.84,0.00,0.0000,5,288,392,371,25.12,15724,0,0.071,0.000,0.0000,392,521,431,36.95,24133,0,0.109,0.000,0.0000,521,601,581,14.34,7182,0,0.033,0.000,0.0000,601,695,674,183.96,63597,0,0.288,0.000,0.0000,695,755,734,435.12,111151,0,0.503,0.000,0.0000
"Belgium","Luxembourg","",0,284638,77021,0,27059.28,0.00,0.0000,4,287,357,300,40.38,4712,0,0.061,0.000,0.0000,357,525,434,57.91,12250,0,0.159,0.000,0.0000,525,693,679,146.48,21468,0,0.279,0.000,0.0000,693,755,737,459.40,38912,0,0.505,0.000,0.0000,,,,,,,,,
"Belgium","Namur","",0,494325,128545,0,26004.15,0.00,0.0000,4,287,360,300,36.13,7117,0,0.055,0.000,0.0000,360,535,428,75.92,23612,0,0.184,0.000,0.0000,535,692,678,136.87,34394,0,0.268,0.000,0.0000,692,755,735,448.78,63963,0,0.498,0.000,0.0000,,,,,,,,,
"Belgium","Unknown","",0,-1,42652,15974,0.00,0.00,0.3745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgium","Walloon Brabant","",0,403598,111552,0,27639.38,0.00,0.0000,4,288,338,299,32.31,3622,0,0.032,0.000,0.0000,338,520,428,46.14,16851,0,0.151,0.000,0.0000,520,738,734,443.93,75419,0,0.676,0.000,0.0000,738,755,738,400.51,17341,0,0.155,0.000,0.0000,,,,,,,,,
"Belgium","West Flanders","",0,1195796,320496,0,26801.90,0.00,0.0000,5,288,387,329,31.29,26675,0,0.083,0.000,0.0000,387,518,427,38.69,32438,0,0.101,0.000,0.0000,599,695,675,211.64,98419,0,0.307,0.000,0.0000,695,738,732,483.29,114934,0,0.359,0.000,0.0000,738,755,738,373.14,43495,0,0.136,0.000,0.0000
