Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Brazil","Acre","",0,881935,110115,1859,12485.61,2107.87,0.0169,5,112,262,125,34.28,26388,599,0.240,0.322,0.0227,262,335,300,24.49,11254,99,0.102,0.053,0.0088,335,597,426,49.12,47857,1048,0.435,0.564,0.0219,657,704,672,1.02,297,5,0.003,0.003,0.0178,712,755,741,112.85,24366,82,0.221,0.044,0.0034
"Brazil","Alagoas","",0,3337357,278932,6300,8357.87,1887.72,0.0226,5,113,281,146,28.17,86314,1986,0.309,0.315,0.0230,281,472,420,26.80,88510,2138,0.317,0.339,0.0242,472,683,512,25.51,63351,2014,0.227,0.320,0.0318,683,689,683,0.92,177,10,0.001,0.002,0.0570,705,755,750,49.09,41184,161,0.148,0.026,0.0039
"Brazil","Amapa","",0,845731,155391,1947,18373.57,2302.15,0.0125,5,111,260,151,118.31,44779,584,0.288,0.300,0.0130,260,338,310,38.23,17390,176,0.112,0.091,0.0101,338,384,355,41.75,13208,193,0.085,0.099,0.0146,384,604,424,64.90,43560,884,0.280,0.454,0.0203,604,755,734,221.66,37046,119,0.238,0.061,0.0032
"Brazil","Amazonas","",0,4144596,542292,12544,13084.32,3026.59,0.0231,5,112,224,127,37.78,98801,2218,0.182,0.177,0.0224,224,298,252,19.77,48431,977,0.089,0.078,0.0202,298,498,365,64.60,219141,8333,0.404,0.664,0.0380,498,631,507,13.55,39423,739,0.073,0.059,0.0187,631,755,731,141.71,138128,325,0.255,0.026,0.0024
"Brazil","Bahia","",0,14873063,1454790,28237,9781.37,1898.53,0.0194,5,115,273,184,23.58,328462,7028,0.226,0.249,0.0214,273,451,407,29.13,520457,9822,0.358,0.348,0.0189,451,625,512,29.70,381550,9830,0.262,0.348,0.0258,625,685,673,3.59,26977,458,0.019,0.016,0.0170,698,755,744,46.95,200754,1157,0.138,0.041,0.0058
"Brazil","Ceara","",0,9132078,1177783,24025,12897.21,2630.84,0.0204,5,113,240,132,27.71,202287,6950,0.172,0.289,0.0344,240,287,257,21.55,44887,607,0.038,0.025,0.0135,287,331,322,15.31,46526,518,0.040,0.022,0.0111,331,606,452,53.53,614418,14281,0.522,0.594,0.0232,676,755,738,140.71,257772,1229,0.219,0.051,0.0048
"Brazil","Distrito Federal","",0,3015268,659555,11229,21873.84,3724.05,0.0170,4,114,289,186,66.49,210398,3660,0.319,0.326,0.0174,289,551,417,54.19,231633,5842,0.351,0.520,0.0252,551,678,622,37.61,71750,1477,0.109,0.131,0.0206,678,755,741,164.43,146922,273,0.223,0.024,0.0019,,,,,,,,,
"Brazil","Espirito Santo","",0,4018649,984040,13583,24486.84,3379.99,0.0138,5,114,240,161,35.55,114830,3067,0.117,0.226,0.0267,240,388,329,51.57,187008,2735,0.190,0.201,0.0146,388,567,431,54.54,240529,5917,0.244,0.436,0.0246,567,682,616,22.00,73769,1194,0.075,0.088,0.0162,682,755,737,358.47,370560,718,0.377,0.053,0.0019
"Brazil","Goias","",0,7018353,1114368,25308,15877.91,3605.97,0.0227,5,118,314,238,40.19,279820,6309,0.251,0.249,0.0225,314,477,427,43.92,295018,9569,0.265,0.378,0.0324,477,526,507,36.00,105292,3395,0.094,0.134,0.0322,526,691,573,38.56,265421,5394,0.238,0.213,0.0203,691,755,747,76.46,173506,781,0.156,0.031,0.0045
"Brazil","Maranhao","",0,7075181,387251,9990,5473.37,1411.98,0.0258,4,113,345,134,26.08,185612,3857,0.479,0.386,0.0208,345,480,452,13.57,78257,3214,0.202,0.322,0.0411,480,652,517,13.86,83237,2554,0.215,0.256,0.0307,652,755,738,15.13,41086,398,0.106,0.040,0.0097,,,,,,,,,
