Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Chile","Antofagasta","",0,607534,106036,1337,17453.51,2200.70,0.0126,4,114,301,149,48.23,20203,537,0.191,0.402,0.0266,301,588,363,50.52,38679,678,0.365,0.507,0.0175,588,683,662,15.34,5106,41,0.048,0.031,0.0081,683,755,739,249.74,42139,83,0.397,0.062,0.0020,,,,,,,,,
"Chile","Araucania","",0,957224,153100,1580,15994.17,1650.61,0.0103,4,116,177,143,4.78,2010,17,0.013,0.011,0.0086,177,309,290,20.28,13232,159,0.086,0.101,0.0120,309,607,451,58.90,81414,1292,0.532,0.817,0.0159,607,755,753,254.26,56629,118,0.370,0.075,0.0021,,,,,,,,,
"Chile","Arica y Parinacota","",0,226067,49686,592,21978.44,2618.69,0.0119,5,114,315,185,48.76,9839,200,0.198,0.338,0.0204,315,408,374,39.26,5209,98,0.105,0.165,0.0187,408,578,458,44.26,11187,217,0.225,0.367,0.0194,578,678,616,12.92,1981,23,0.040,0.039,0.0116,678,755,736,340.94,21563,57,0.434,0.097,0.0027
"Chile","Atacama","",0,288944,48991,402,16955.19,1391.27,0.0082,4,117,311,202,43.43,7971,104,0.163,0.260,0.0131,311,592,453,49.59,18998,245,0.388,0.610,0.0129,592,693,671,25.47,3206,27,0.065,0.068,0.0086,693,755,748,281.40,18873,26,0.385,0.066,0.0014,,,,,,,,,
"Chile","Aysen","",0,103158,17870,113,17322.94,1095.41,0.0063,5,185,309,252,26.34,1166,12,0.065,0.107,0.0104,309,413,364,35.91,1974,12,0.110,0.109,0.0062,413,575,497,76.69,4929,49,0.276,0.431,0.0099,575,697,664,46.38,2062,20,0.115,0.179,0.0098,697,755,748,338.17,7713,20,0.432,0.181,0.0027
"Chile","Biobio","",0,1556805,233270,2999,14983.89,1926.38,0.0129,5,116,178,151,14.09,8048,82,0.034,0.027,0.0102,178,259,220,15.60,15723,275,0.067,0.092,0.0175,259,601,425,51.68,126118,2300,0.541,0.767,0.0182,601,696,674,19.56,14645,142,0.063,0.047,0.0097,696,755,755,223.83,69268,213,0.297,0.071,0.0031
"Chile","Coquimbo","",0,757586,91966,1166,12139.35,1539.10,0.0127,5,117,289,185,17.88,12479,252,0.136,0.216,0.0202,289,458,423,26.52,18306,346,0.199,0.297,0.0189,458,595,509,35.14,17558,412,0.191,0.354,0.0235,595,691,673,14.71,5565,67,0.061,0.057,0.0120,691,755,745,203.46,38305,96,0.417,0.082,0.0025
"Chile","Los Lagos","",0,828708,137586,1598,16602.47,1928.30,0.0116,5,219,314,297,25.67,14446,137,0.105,0.086,0.0095,314,461,367,75.24,47536,706,0.346,0.442,0.0149,461,604,493,43.20,20829,500,0.151,0.313,0.0240,604,700,676,27.76,9730,84,0.071,0.052,0.0086,700,755,755,266.58,39907,127,0.290,0.080,0.0032
"Chile","Los Rios","",0,384837,76168,766,19792.28,1990.45,0.0101,4,117,190,146,3.66,649,7,0.009,0.010,0.0115,190,471,423,73.60,33858,377,0.445,0.492,0.0111,471,603,506,59.62,14677,301,0.193,0.393,0.0205,603,755,751,298.62,27142,84,0.356,0.110,0.0031,,,,,,,,,
"Chile","Magallanes","",0,166533,42894,529,25757.06,3176.55,0.0123,5,115,160,146,14.06,471,-3,0.011,-0.006,-0.0063,160,299,249,121.62,11959,152,0.279,0.287,0.0127,299,421,354,66.25,9316,172,0.217,0.325,0.0185,421,587,463,64.52,6627,161,0.154,0.305,0.0243,632,755,738,267.05,14611,48,0.341,0.091,0.0033
"Chile","Maule","",0,1044949,153125,1912,14653.83,1829.75,0.0125,5,115,200,151,16.63,9143,188,0.060,0.098,0.0206,200,296,235,14.05,10122,247,0.066,0.129,0.0244,296,394,360,33.68,21078,359,0.138,0.188,0.0170,394,598,449,56.72,60714,975,0.396,0.510,0.0161,695,755,754,234.70,44811,81,0.293,0.042,0.0018
"Chile","Metropolitana","",0,7112808,1052788,20143,14801.30,2831.93,0.0191,5,112,291,146,102.04,259496,9665,0.246,0.480,0.0372,291,462,443,38.62,193974,4074,0.184,0.202,0.0210,462,593,500,47.75,195305,5006,0.186,0.249,0.0256,593,688,655,15.18,60542,782,0.058,0.039,0.0129,688,755,745,187.82,346556,699,0.329,0.035,0.0020
"Chile","Nuble","",0,480609,63531,693,13218.85,1441.92,0.0109,5,186,272,235,13.41,3691,82,0.058,0.118,0.0222,272,473,433,35.93,20109,328,0.317,0.473,0.0163,473,597,497,34.42,8846,174,0.139,0.251,0.0197,597,692,675,15.33,3095,30,0.049,0.044,0.0098,692,755,755,290.65,25634,46,0.403,0.066,0.0018
"Chile","OHiggins","",0,914554,105393,1671,11523.98,1827.12,0.0159,5,117,214,150,29.48,12257,312,0.116,0.187,0.0254,214,305,237,12.09,6917,211,0.066,0.126,0.0304,305,467,445,37.81,29227,529,0.277,0.317,0.0181,467,598,498,40.93,19972,489,0.190,0.292,0.0245,691,755,755,179.66,33147,62,0.315,0.037,0.0019
"Chile","Tarapaca","",0,330557,73669,910,22286.32,2752.93,0.0124,5,112,294,146,46.37,12198,242,0.166,0.266,0.0198,294,402,359,62.50,11356,178,0.154,0.195,0.0157,402,594,442,54.19,16602,386,0.225,0.424,0.0233,677,738,732,329.99,23041,45,0.313,0.049,0.0019,738,755,738,270.36,8596,57,0.117,0.062,0.0066
"Chile","Unknown","",0,-1,42,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chile","Valparaiso","",0,1815902,222950,3766,12277.64,2073.90,0.0169,5,114,201,147,19.16,17499,532,0.078,0.141,0.0304,295,479,434,38.92,60264,1345,0.270,0.357,0.0223,479,598,503,33.61,31823,1019,0.143,0.271,0.0320,598,689,669,14.23,12850,140,0.058,0.037,0.0109,689,755,749,196.99,89206,220,0.400,0.058,0.0025
