Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"China","Anhui","",0,63240000,1020,6,1.61,0.09,0.0059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Beijing","",0,21540000,1370,9,6.36,0.42,0.0066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Chongqing","",0,31020000,621,6,2.00,0.19,0.0097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Fujian","",0,39409999,1512,1,3.84,0.03,0.0007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Gansu","",0,26370000,357,2,1.35,0.08,0.0056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guangdong","",0,113460000,4030,8,3.55,0.07,0.0020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guangxi","",0,49260000,1025,2,2.08,0.04,0.0020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guizhou","",0,36000000,162,2,0.45,0.06,0.0123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hainan","",0,9340000,191,6,2.04,0.64,0.0314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hebei","",0,75560000,1480,6,1.96,0.08,0.0041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Heilongjiang","",0,37730000,2069,13,5.48,0.34,0.0063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Henan","",0,96050000,2682,22,2.79,0.23,0.0082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hong Kong","",0,7496988,18896,223,252.05,29.75,0.0118,4,62,70,67,0.60,382,0,0.020,0.000,0.0000,175,209,186,1.79,2985,63,0.158,0.281,0.0210,304,375,319,1.28,4839,72,0.256,0.325,0.0150,730,755,755,7.99,5942,10,0.314,0.046,0.0017,,,,,,,,,
"China","Hubei","",0,59170000,68580,4519,115.90,76.37,0.0659,1,0,38,21,6.09,66447,2716,0.969,0.601,0.0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hunan","",0,68990000,1248,4,1.81,0.06,0.0032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Inner Mongolia","",0,25340000,1197,1,4.72,0.04,0.0008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Jiangsu","",0,80509999,1661,0,2.06,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Jiangxi","",0,46480000,970,1,2.09,0.02,0.0010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Jilin","",0,27040000,594,3,2.20,0.11,0.0051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Liaoning","",0,43590000,919,2,2.11,0.05,0.0022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Macau","",0,649341,79,0,12.17,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Ningxia","",0,6880000,122,0,1.77,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Qinghai","",0,6030000,30,0,0.50,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Shaanxi","",0,38639999,2830,3,7.32,0.08,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Shandong","",0,100470000,1106,7,1.10,0.07,0.0063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Shanghai","",0,24240000,3916,7,16.16,0.29,0.0018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Shanxi","",0,37180000,270,0,0.73,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Sichuan","",0,83410000,1397,3,1.67,0.04,0.0021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Tianjin","",0,15599999,1090,3,6.99,0.19,0.0028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Tibet","",0,3440000,1,0,0.03,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Xinjiang","",0,24870000,996,3,4.00,0.12,0.0030,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Yunnan","",0,48300000,1894,2,3.92,0.04,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Zhejiang","",0,57370000,2267,1,3.95,0.02,0.0004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Unknown","",0,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
