Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Colombia","Amazonas","",0,76589,7505,264,9799.06,3446.97,0.0352,5,117,238,127,268.58,2728,115,0.363,0.435,0.0421,238,286,282,19.12,255,4,0.034,0.015,0.0153,321,510,400,70.30,3205,119,0.427,0.452,0.0372,510,621,548,10.63,465,13,0.062,0.049,0.0279,639,738,732,25.90,558,5,0.074,0.019,0.0089
"Colombia","Antioquia","",0,6407102,914045,18062,14266.12,2819.06,0.0198,5,234,287,282,77.47,97330,1313,0.106,0.073,0.0135,312,399,352,40.56,131360,2446,0.144,0.135,0.0186,399,479,447,57.55,161088,4524,0.176,0.250,0.0281,479,627,515,64.65,248813,5268,0.272,0.292,0.0212,627,755,718,83.68,164583,1919,0.180,0.106,0.0117
"Colombia","Arauca","",0,262174,15856,510,6047.89,1945.27,0.0322,5,140,331,281,24.95,4418,128,0.279,0.250,0.0289,331,411,361,13.26,1211,44,0.076,0.086,0.0361,411,601,523,47.32,7589,281,0.479,0.551,0.0370,601,697,679,7.99,1189,29,0.075,0.057,0.0243,697,755,744,17.21,1484,30,0.094,0.059,0.0204
"Colombia","Atlantico","",0,2535517,400010,10036,15776.27,3958.17,0.0251,5,118,249,176,55.15,67276,3057,0.168,0.305,0.0454,249,392,361,31.50,53527,913,0.134,0.091,0.0171,392,586,447,124.85,193383,5400,0.483,0.538,0.0279,586,682,659,14.16,26079,333,0.065,0.033,0.0128,682,755,728,88.49,60402,351,0.151,0.035,0.0058
"Colombia","Bolivar","",0,2070110,196203,3227,9477.90,1558.85,0.0164,5,119,267,177,18.94,31019,809,0.158,0.251,0.0261,267,409,334,27.70,36356,555,0.185,0.172,0.0153,409,615,498,51.59,89020,1600,0.454,0.496,0.0180,615,675,655,4.94,4119,62,0.021,0.019,0.0151,675,755,723,91.67,35990,206,0.183,0.064,0.0057
"Colombia","Boyaca","",0,1217375,123679,2723,10159.48,2236.78,0.0220,5,122,134,128,1.86,200,11,0.002,0.004,0.0574,147,317,284,27.09,22346,478,0.181,0.175,0.0214,317,418,362,40.50,24757,638,0.200,0.234,0.0258,418,627,513,67.80,58347,1430,0.472,0.525,0.0245,627,755,724,51.04,18256,172,0.148,0.063,0.0094
"Colombia","Caldas","",0,998255,116510,2470,11671.37,2474.32,0.0212,5,171,326,285,42.72,27831,531,0.239,0.215,0.0191,326,405,360,46.86,18711,442,0.161,0.179,0.0236,405,625,513,70.56,53870,1287,0.462,0.521,0.0239,625,669,650,2.22,689,18,0.006,0.007,0.0268,669,755,724,78.14,15407,190,0.132,0.077,0.0124
"Colombia","Capital District","",0,7412565,1741913,28828,23499.46,3889.07,0.0165,5,119,266,205,55.42,291549,7176,0.167,0.249,0.0246,266,411,359,73.69,373887,6836,0.215,0.237,0.0183,411,631,514,148.89,788718,13548,0.453,0.470,0.0172,631,738,728,104.76,216491,639,0.124,0.022,0.0030,738,755,738,92.95,80446,714,0.046,0.025,0.0089
"Colombia","Caqueta","",0,401489,24649,996,6139.40,2480.77,0.0404,5,160,252,206,45.99,8501,299,0.345,0.300,0.0352,252,328,282,29.97,5596,201,0.227,0.202,0.0359,328,423,335,17.99,3126,145,0.127,0.146,0.0464,423,642,513,23.29,5785,296,0.235,0.297,0.0512,674,738,727,13.67,1199,22,0.049,0.022,0.0183
"Colombia","Casanare","",0,420504,40940,969,9735.94,2304.38,0.0237,5,124,131,127,0.92,26,0,0.001,0.000,0.0008,161,318,281,24.38,7200,152,0.176,0.157,0.0211,318,412,360,26.21,5338,127,0.130,0.131,0.0238,412,628,516,77.27,23056,649,0.563,0.669,0.0281,628,755,729,32.32,5373,44,0.131,0.045,0.0082
"Colombia","Cauca","",0,1464488,71606,1768,4889.49,1207.25,0.0247,5,125,134,128,0.81,100,4,0.001,0.002,0.0367,146,310,229,10.70,15378,427,0.215,0.242,0.0278,310,415,363,20.57,12136,323,0.169,0.183,0.0266,415,635,522,26.53,28425,795,0.397,0.450,0.0280,635,755,725,47.00,15592,219,0.218,0.124,0.0141
"Colombia","Cesar","",0,1200574,105491,2647,8786.71,2204.78,0.0251,5,122,319,232,32.04,30444,923,0.289,0.349,0.0303,319,401,360,16.41,9953,257,0.094,0.097,0.0258,401,618,467,43.46,48815,1309,0.463,0.495,0.0268,682,738,728,39.38,9917,77,0.094,0.029,0.0078,738,755,741,23.64,3876,44,0.037,0.017,0.0114
"Colombia","Choco","",0,534826,18496,426,3458.32,796.52,0.0230,5,120,262,160,12.37,4057,158,0.219,0.372,0.0390,262,412,364,10.70,2529,44,0.137,0.103,0.0173,412,600,488,26.80,9734,189,0.526,0.444,0.0194,605,622,611,0.81,66,5,0.004,0.012,0.0759,705,755,721,20.20,1922,22,0.104,0.052,0.0116
"Colombia","Cordoba","",0,1784782,118453,3896,6636.83,2182.90,0.0329,5,125,323,204,33.29,28626,1657,0.242,0.425,0.0579,323,625,522,49.89,75357,2078,0.636,0.533,0.0276,646,664,657,1.23,292,-0,0.002,-0.000,-0.0016,672,680,674,0.68,99,1,0.001,0.000,0.0113,696,755,728,33.85,13741,155,0.116,0.040,0.0113
"Colombia","Cundinamarca","",0,2919059,313406,7100,10736.54,2432.29,0.0227,5,121,265,210,19.98,37096,1086,0.118,0.153,0.0293,265,416,360,38.58,71063,1877,0.227,0.264,0.0264,416,626,513,73.54,156121,3853,0.498,0.543,0.0247,672,738,727,55.63,33768,110,0.108,0.015,0.0033,738,755,743,36.23,14634,154,0.047,0.022,0.0105
"Colombia","Guainia","",0,48114,2747,36,5709.36,748.22,0.0131,5,198,286,241,66.45,1171,17,0.426,0.475,0.0146,339,405,366,5.76,77,3,0.028,0.074,0.0348,426,618,488,35.04,962,7,0.350,0.194,0.0073,628,706,671,22.07,277,6,0.101,0.167,0.0217,706,738,729,14.59,130,1,0.047,0.024,0.0065
"Colombia","Guaviare","",0,82767,5541,102,6694.70,1232.38,0.0184,5,141,164,156,3.87,37,0,0.007,0.000,0.0000,169,334,235,33.14,1876,36,0.339,0.351,0.0191,334,430,354,10.44,386,4,0.070,0.043,0.0114,439,606,512,70.69,2828,53,0.510,0.524,0.0189,687,755,727,12.78,380,5,0.069,0.048,0.0128
"Colombia","Huila","",0,1100386,99413,3426,9034.38,3113.45,0.0345,5,121,133,127,2.54,237,12,0.002,0.004,0.0517,161,322,284,40.31,30986,995,0.312,0.291,0.0321,322,420,361,43.88,19180,760,0.193,0.222,0.0396,420,629,530,54.73,37958,1380,0.382,0.403,0.0364,629,755,726,31.74,11116,285,0.112,0.083,0.0256
