Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Germany","Baden-Wurttemberg","",0,11069533,1750833,12327,15816.68,1113.60,0.0070,5,118,124,121,0.55,410,50,0.000,0.004,0.1228,179,392,330,30.23,271890,6010,0.155,0.488,0.0221,392,532,457,28.20,193981,2478,0.111,0.201,0.0128,532,698,678,78.53,474810,2338,0.271,0.190,0.0049,698,755,750,247.08,812934,1359,0.464,0.110,0.0017
"Germany","Bayern","",0,13076721,2273693,18662,17387.33,1427.12,0.0082,5,113,130,120,0.84,1700,201,0.001,0.011,0.1185,165,393,329,32.30,376842,9368,0.166,0.502,0.0249,393,531,449,27.48,223918,3375,0.098,0.181,0.0151,531,698,668,97.80,639359,3854,0.281,0.206,0.0060,698,755,747,274.93,1036039,1831,0.456,0.098,0.0018
"Germany","Berlin","",0,3644826,648256,3993,17785.65,1095.53,0.0062,4,116,172,149,1.95,2183,37,0.003,0.009,0.0168,172,394,301,33.47,117799,2486,0.182,0.623,0.0211,394,523,449,22.48,54056,870,0.083,0.218,0.0161,523,755,735,282.50,474509,614,0.732,0.154,0.0013,,,,,,,,,
"Germany","Brandenburg","",0,2511917,436737,4929,17386.60,1962.25,0.0113,5,208,215,211,0.52,104,-0,0.000,-0.000,-0.0044,239,400,333,39.71,71798,2799,0.164,0.568,0.0390,400,504,431,20.59,32963,792,0.075,0.161,0.0240,532,698,674,105.10,118227,692,0.271,0.140,0.0059,698,755,748,262.20,214821,609,0.492,0.124,0.0028
"Germany","Bremen","",0,682986,104594,629,15314.22,920.96,0.0060,5,110,153,118,2.54,523,12,0.005,0.020,0.0237,176,387,286,30.26,15144,253,0.145,0.402,0.0167,387,524,449,23.59,10661,180,0.102,0.286,0.0169,524,634,594,17.51,6954,38,0.066,0.060,0.0054,634,755,733,219.35,71397,144,0.683,0.229,0.0020
"Germany","Hamburg","",0,1841179,316011,1984,17163.51,1077.57,0.0063,5,183,312,291,24.03,19477,114,0.062,0.057,0.0058,312,390,333,24.32,24730,828,0.078,0.417,0.0335,390,521,432,22.93,28261,399,0.089,0.201,0.0141,521,611,590,13.31,13283,124,0.042,0.063,0.0094,611,755,736,311.41,230617,501,0.730,0.253,0.0022
"Germany","Hessen","",0,6265809,927710,8588,14805.91,1370.61,0.0093,5,115,130,120,0.91,751,45,0.001,0.005,0.0605,173,393,330,29.58,171697,5084,0.185,0.592,0.0296,393,528,456,25.76,108849,1971,0.117,0.229,0.0181,528,617,590,16.22,42265,212,0.046,0.025,0.0050,617,755,744,246.05,604104,1269,0.651,0.148,0.0021
"Germany","Mecklenburg-Vorpommern","",0,1609675,192791,1680,11977.01,1043.69,0.0087,3,248,398,352,18.22,22624,691,0.117,0.411,0.0305,398,508,447,22.31,20452,440,0.106,0.262,0.0215,544,755,747,194.96,149286,535,0.774,0.318,0.0036,,,,,,,,,,,,,,,,,,
"Germany","Niedersachsen","",0,7982447,853807,6733,10696.06,843.48,0.0079,5,189,314,294,16.38,58643,540,0.069,0.080,0.0092,314,392,332,16.74,83913,2795,0.098,0.415,0.0333,392,519,449,18.48,105688,1818,0.124,0.270,0.0172,524,617,595,11.36,39494,198,0.046,0.029,0.0050,617,755,747,181.28,564935,1315,0.662,0.195,0.0023
"Germany","Nordrhein-Westfalen","",0,17932651,2587289,20125,14427.81,1122.25,0.0078,4,114,393,330,27.40,480602,10955,0.186,0.544,0.0228,393,526,455,27.28,301507,4779,0.117,0.237,0.0158,526,620,582,18.55,147234,715,0.057,0.036,0.0049,620,755,747,237.40,1660784,3757,0.642,0.187,0.0023,,,,,,,,,
"Germany","Rheinland-Pfalz","",0,4084844,491375,4675,12029.22,1144.47,0.0095,5,192,397,328,25.00,92901,2781,0.189,0.595,0.0299,397,527,453,21.43,55192,886,0.112,0.190,0.0161,527,619,592,15.27,26074,108,0.053,0.023,0.0041,619,692,679,50.46,79665,445,0.162,0.095,0.0056,692,755,747,183.43,238561,458,0.485,0.098,0.0019
"Germany","Saarland","",0,990509,131797,1207,13305.99,1218.57,0.0092,5,193,409,329,27.65,26598,730,0.202,0.605,0.0274,409,527,458,21.22,12125,123,0.092,0.102,0.0102,527,619,588,12.92,6060,29,0.046,0.024,0.0047,619,694,673,60.85,22288,132,0.169,0.109,0.0059,694,755,747,211.76,65099,179,0.494,0.148,0.0027
"Germany","Sachsen","",0,4077937,831392,14043,20387.56,3443.65,0.0169,4,219,394,330,69.79,184022,7160,0.221,0.510,0.0389,394,519,448,36.29,96314,2711,0.116,0.193,0.0281,538,716,674,213.57,380068,3217,0.457,0.229,0.0085,716,755,750,182.16,172077,974,0.207,0.069,0.0057,,,,,,,,,
"Germany","Sachsen-Anhalt","",0,2208320,339494,4637,15373.41,2099.79,0.0137,5,146,148,147,0.52,34,0,0.000,0.000,0.0097,236,400,355,38.75,57616,2335,0.170,0.503,0.0405,400,514,455,28.19,39533,1034,0.116,0.223,0.0261,546,712,683,137.42,128608,868,0.379,0.187,0.0068,712,755,751,232.55,114032,389,0.336,0.084,0.0034
"Germany","Schleswig-Holstein","",0,2896712,270280,1931,9330.58,666.62,0.0071,5,186,225,203,0.86,764,5,0.003,0.003,0.0072,233,405,333,14.16,38723,1144,0.143,0.592,0.0295,405,518,446,10.90,21084,322,0.078,0.167,0.0153,526,613,572,7.21,11892,62,0.044,0.032,0.0052,613,755,733,143.78,197591,373,0.731,0.193,0.0019
"Germany","Thuringen","",0,2143145,358192,6376,16713.38,2975.07,0.0178,5,114,143,124,0.91,464,38,0.001,0.006,0.0818,229,393,333,45.19,68813,2498,0.192,0.392,0.0363,393,521,447,36.45,56628,1666,0.158,0.261,0.0294,537,721,678,147.60,172444,1822,0.481,0.286,0.0106,721,755,749,131.39,60270,358,0.168,0.056,0.0059
"Germany","Unknown","",0,-1,48801,-83,0.00,0.00,-0.0017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
