Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"India","Andaman and Nicobar Islands","",0,417035,9956,129,2387.33,309.33,0.0130,5,151,348,202,29.76,4901,62,0.492,0.481,0.0127,350,362,358,0.72,34,0,0.003,0.000,0.0000,428,532,464,13.52,2444,66,0.245,0.514,0.0271,599,610,607,0.65,30,0,0.003,0.000,0.0000,703,755,729,22.69,2278,0,0.229,0.000,0.0000
"India","Andhra Pradesh","",0,53903393,2309354,14626,4284.25,271.34,0.0063,4,144,348,222,19.51,877303,7034,0.380,0.481,0.0080,421,653,480,39.77,1175090,7204,0.509,0.493,0.0061,711,738,733,23.36,174852,101,0.076,0.007,0.0006,738,755,738,18.92,72144,115,0.031,0.008,0.0016,,,,,,,,,
"India","Arunachal Pradesh","",0,1570457,64071,294,4079.77,187.21,0.0046,4,159,337,247,14.85,16486,55,0.257,0.187,0.0033,445,646,545,27.54,38254,224,0.597,0.762,0.0059,710,738,732,25.96,6385,5,0.100,0.017,0.0008,738,755,738,19.96,2703,9,0.042,0.030,0.0032,,,,,,,,,
"India","Assam","",0,35607038,721019,6613,2024.93,185.72,0.0092,3,144,299,224,7.61,206823,957,0.287,0.145,0.0046,441,670,485,15.90,396454,4965,0.550,0.751,0.0125,708,755,728,16.29,103261,455,0.143,0.069,0.0044,,,,,,,,,,,,,,,,,,
"India","Bihar","",0,124799925,823911,12222,660.19,97.93,0.0148,3,168,294,202,2.84,210568,1055,0.256,0.086,0.0050,436,504,466,10.91,447923,5632,0.544,0.461,0.0126,710,743,723,4.37,97746,133,0.119,0.011,0.0014,,,,,,,,,,,,,,,,,,
"India","Chandigarh","",0,1158473,91107,1149,7864.40,991.82,0.0126,5,162,281,236,26.90,13841,218,0.152,0.189,0.0157,281,376,302,10.14,6729,113,0.074,0.098,0.0168,376,541,470,71.47,40941,474,0.449,0.413,0.0116,566,588,578,29.38,3117,3,0.034,0.002,0.0008,673,755,725,114.71,26004,334,0.285,0.291,0.0129
"India","Chhattisgarh","",0,29436231,1146477,14009,3894.78,475.91,0.0122,3,172,391,238,10.48,305705,3764,0.267,0.269,0.0123,391,557,458,52.06,692809,9749,0.604,0.696,0.0141,706,755,726,18.26,139844,417,0.122,0.030,0.0030,,,,,,,,,,,,,,,,,,
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615724,11438,3,1857.65,4.87,0.0003,5,138,286,199,7.97,3258,2,0.285,0.673,0.0006,297,305,301,0.66,33,0,0.003,0.000,0.0000,414,528,457,34.85,7140,2,0.624,0.660,0.0003,542,550,546,0.74,36,0,0.003,0.000,0.0000,710,755,726,5.06,736,0,0.064,0.000,0.0000
"India","Delhi","",0,18710922,1822481,25231,9740.20,1348.46,0.0138,4,135,194,153,17.23,107960,3148,0.059,0.125,0.0292,194,384,292,37.02,498810,6890,0.274,0.273,0.0138,384,527,457,129.84,798199,14105,0.438,0.559,0.0177,697,755,722,112.73,410739,983,0.225,0.039,0.0024,,,,,,,,,
"India","Goa","",0,1586250,244039,3778,15384.65,2381.72,0.0155,3,138,389,239,34.91,53875,780,0.221,0.207,0.0145,389,665,471,200.21,124375,2597,0.510,0.687,0.0209,665,755,725,191.91,65841,403,0.270,0.107,0.0061,,,,,,,,,,,,,,,,,,
