Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Italy","Abruzzo","",0,1311580,243507,2510,18565.93,1913.72,0.0103,5,113,119,116,0.66,55,10,0.000,0.004,0.1761,192,346,298,50.25,32340,753,0.133,0.300,0.0233,346,519,400,35.15,39185,1294,0.161,0.516,0.0330,519,621,576,8.00,6720,36,0.028,0.014,0.0053,621,755,718,299.30,165287,343,0.679,0.137,0.0021
"Italy","Basilicata","",0,562868,75892,694,13483.09,1232.97,0.0091,5,179,185,182,0.84,29,1,0.000,0.001,0.0183,216,369,302,39.52,12406,286,0.163,0.412,0.0230,369,529,448,30.97,14129,279,0.186,0.402,0.0198,529,641,584,10.15,3662,33,0.048,0.048,0.0091,641,755,731,189.53,45660,98,0.602,0.141,0.0021
"Italy","Calabria","",0,1947131,194268,1919,9977.14,985.55,0.0099,5,217,337,302,25.12,20616,343,0.106,0.179,0.0166,337,391,354,16.70,13922,217,0.072,0.113,0.0156,391,526,448,24.00,33435,578,0.172,0.301,0.0173,526,632,583,14.30,16443,203,0.085,0.106,0.0123,632,755,723,126.84,110106,586,0.567,0.305,0.0053
"Italy","Campania","",0,5801692,1146500,9181,19761.48,1582.47,0.0080,4,205,348,290,65.17,188249,2509,0.164,0.273,0.0133,348,524,413,45.07,231735,4542,0.202,0.495,0.0196,524,618,580,8.67,32546,489,0.028,0.053,0.0150,618,755,722,336.84,694744,1643,0.606,0.179,0.0024,,,,,,,,,
"Italy","Emilia-Romagna","",0,4459477,1124423,11699,25214.23,2623.40,0.0104,5,113,132,119,1.02,725,196,0.001,0.017,0.2703,148,371,299,55.20,185623,5084,0.165,0.435,0.0274,371,518,412,62.73,173858,4003,0.155,0.342,0.0230,518,626,564,13.34,39730,255,0.035,0.022,0.0064,626,755,720,410.17,725581,2121,0.645,0.181,0.0029
"Italy","Friuli Venezia Giulia","",0,1215220,295499,4346,24316.50,3576.31,0.0147,5,116,123,119,0.56,53,8,0.000,0.002,0.1573,200,386,312,66.47,67746,2294,0.229,0.528,0.0339,386,511,419,64.45,36507,1174,0.124,0.270,0.0322,527,613,592,10.08,6507,29,0.022,0.007,0.0045,613,755,730,354.14,185251,846,0.627,0.195,0.0046
"Italy","Lazio","",0,5879082,1002167,9602,17046.32,1633.25,0.0096,5,116,118,117,0.52,91,23,0.000,0.002,0.2516,201,383,298,45.29,204450,4429,0.204,0.461,0.0217,383,516,422,30.21,132982,3046,0.133,0.317,0.0229,516,616,551,11.85,39084,346,0.039,0.036,0.0089,616,755,732,224.95,625453,1548,0.624,0.161,0.0025
"Italy","Liguria","",0,1550640,322016,3694,20766.65,2382.24,0.0115,5,176,346,290,64.47,50966,1345,0.158,0.364,0.0264,346,365,353,21.54,6121,286,0.019,0.077,0.0467,365,516,433,29.37,36661,1180,0.114,0.319,0.0322,516,623,576,10.28,9897,67,0.031,0.018,0.0068,623,755,721,406.15,217963,606,0.677,0.164,0.0028
"Italy","Lombardia","",0,10060574,2189567,22855,21763.84,2271.74,0.0104,5,110,183,120,3.05,11974,1516,0.005,0.066,0.1266,183,364,292,84.15,422936,9614,0.193,0.421,0.0227,364,522,415,46.55,324620,7426,0.148,0.325,0.0229,522,623,560,6.28,44194,299,0.020,0.013,0.0068,623,755,716,367.36,1387926,4050,0.634,0.177,0.0029
"Italy","Marche","",0,1525271,300489,2543,19700.70,1667.24,0.0085,5,189,329,295,39.88,28882,448,0.096,0.176,0.0155,329,370,353,34.25,18136,474,0.060,0.187,0.0262,370,521,414,48.57,50494,1148,0.168,0.452,0.0227,521,623,582,11.49,10657,45,0.035,0.018,0.0042,623,755,731,366.59,192897,437,0.642,0.172,0.0023
"Italy","Molise","",0,305617,35150,535,11501.32,1750.56,0.0152,5,204,347,302,38.72,6203,173,0.176,0.324,0.0280,347,512,394,28.61,7019,297,0.200,0.555,0.0423,512,624,585,5.01,879,6,0.025,0.011,0.0069,624,738,722,181.27,14765,31,0.420,0.057,0.0021,738,755,738,126.28,6647,31,0.189,0.058,0.0046
"Italy","P.A. Bolzano","",0,532318,178034,1099,33445.05,2064.56,0.0062,5,187,336,292,114.25,25685,409,0.144,0.372,0.0159,336,412,381,115.02,27313,370,0.153,0.336,0.0135,412,526,425,245.94,17922,118,0.101,0.107,0.0066,610,738,728,487.14,82569,161,0.464,0.147,0.0020,738,755,738,387.18,23614,40,0.133,0.036,0.0017
"Italy","P.A. Trento","",0,541418,130446,1053,24093.40,1944.89,0.0081,5,145,163,154,8.36,421,-59,0.003,-0.056,-0.1410,210,352,292,43.87,18211,595,0.140,0.565,0.0327,352,521,401,52.79,22717,368,0.174,0.350,0.0162,521,614,572,7.39,2546,10,0.020,0.010,0.0040,614,755,727,416.96,86485,130,0.663,0.123,0.0015
"Italy","Piemonte","",0,4356406,921152,9401,21144.77,2157.97,0.0102,5,110,150,118,2.09,2011,557,0.002,0.059,0.2772,197,364,295,90.10,182955,4351,0.199,0.463,0.0238,364,526,421,49.83,148961,3241,0.162,0.345,0.0218,526,620,570,5.33,16561,70,0.018,0.007,0.0043,620,755,722,319.45,570983,1110,0.620,0.118,0.0019
"Italy","Puglia","",0,4029053,683618,7000,16967.21,1737.38,0.0102,4,208,381,315,36.39,123109,2824,0.180,0.403,0.0229,381,527,432,43.40,126334,3292,0.185,0.470,0.0261,527,623,568,6.58,15962,157,0.023,0.022,0.0098,623,755,727,392.68,418738,663,0.613,0.095,0.0016,,,,,,,,,
"Italy","Sardegna","",0,1639591,155668,1831,9494.32,1116.74,0.0118,4,204,399,302,27.78,39432,999,0.253,0.546,0.0253,399,508,447,21.07,16181,356,0.104,0.195,0.0220,508,633,571,21.19,18820,177,0.121,0.096,0.0094,633,755,749,143.22,81224,298,0.522,0.163,0.0037,,,,,,,,,
"Italy","Sicilia","",0,4999891,719851,8851,14397.33,1770.24,0.0123,5,198,331,300,32.43,79367,1820,0.110,0.206,0.0229,331,401,356,35.33,69650,2017,0.097,0.228,0.0290,401,518,448,25.63,79889,1874,0.111,0.212,0.0235,518,635,580,27.22,72994,1000,0.101,0.113,0.0137,635,755,719,214.06,419722,2173,0.583,0.246,0.0052
"Italy","Toscana","",0,3729641,811774,7719,21765.47,2069.64,0.0095,4,198,352,292,63.59,113359,2687,0.140,0.348,0.0237,352,518,433,36.96,120519,3047,0.148,0.395,0.0253,518,629,568,18.32,40864,365,0.050,0.047,0.0089,629,755,715,350.75,537017,1480,0.662,0.192,0.0028,,,,,,,,,
"Italy","Umbria","",0,882015,172674,1625,19577.22,1842.37,0.0094,4,198,337,290,66.06,26245,509,0.152,0.313,0.0194,337,516,383,40.28,29177,835,0.169,0.514,0.0286,516,625,566,13.89,7296,35,0.042,0.022,0.0048,625,755,714,299.94,110068,245,0.637,0.151,0.0022,,,,,,,,,
"Italy","Valle d'Aosta","",0,125665,29706,374,23639.04,2976.17,0.0126,5,111,135,115,0.91,22,2,0.001,0.007,0.1134,213,384,296,111.89,6647,264,0.224,0.706,0.0397,384,528,434,62.46,3835,64,0.129,0.170,0.0166,528,603,573,8.47,377,0,0.013,0.000,0.0003,603,755,720,422.69,18805,42,0.633,0.112,0.0022
"Italy","Veneto","",0,4905854,1258801,11873,25659.16,2420.17,0.0094,4,175,387,328,77.17,300616,7404,0.239,0.624,0.0246,387,513,421,36.28,105471,2189,0.084,0.184,0.0208,513,623,557,13.55,46385,183,0.037,0.015,0.0039,623,755,733,404.57,806738,1826,0.641,0.154,0.0023,,,,,,,,,
