Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Japan","Aichi","",0,7552238,254958,1362,3375.93,180.34,0.0053,5,180,221,193,2.01,3852,31,0.015,0.023,0.0080,277,408,353,4.04,20177,444,0.079,0.326,0.0220,408,528,479,7.36,25181,437,0.099,0.321,0.0173,528,628,584,22.98,54957,181,0.216,0.133,0.0033,710,755,751,75.21,147830,202,0.580,0.148,0.0014
"Japan","Akita","",0,966489,6982,29,722.41,30.01,0.0042,5,358,366,362,0.62,50,0,0.007,0.000,0.0000,445,487,473,1.52,411,5,0.059,0.168,0.0119,516,533,523,1.16,147,0,0.021,0.001,0.0002,556,609,578,3.28,824,6,0.118,0.206,0.0072,717,755,738,21.24,5037,2,0.721,0.074,0.0004
"Japan","Aomori","",0,1246370,15827,49,1269.85,39.31,0.0031,5,266,285,271,0.93,186,3,0.012,0.053,0.0141,338,365,344,0.82,250,3,0.016,0.054,0.0105,427,502,485,2.30,1512,10,0.096,0.205,0.0066,548,634,584,7.11,3258,7,0.206,0.144,0.0022,714,755,748,31.94,9908,12,0.626,0.235,0.0012
"Japan","Chiba","",0,6259382,216580,1138,3460.09,181.81,0.0053,5,187,221,196,0.83,1517,15,0.007,0.013,0.0099,251,428,360,7.12,25270,481,0.117,0.423,0.0190,428,501,476,2.37,8716,140,0.040,0.123,0.0161,501,627,576,23.65,62389,320,0.288,0.281,0.0051,710,755,749,78.79,115876,110,0.535,0.097,0.0010
"Japan","Ehime","",0,1339215,13942,103,1041.06,76.91,0.0074,5,300,314,306,1.15,177,0,0.013,0.000,0.0001,338,373,354,1.90,577,7,0.041,0.070,0.0124,423,485,453,2.70,1563,45,0.112,0.439,0.0289,547,632,574,5.62,2486,6,0.178,0.062,0.0026,712,755,738,21.44,8519,22,0.611,0.210,0.0025
"Japan","Fukui","",0,767937,8901,38,1159.08,49.48,0.0043,5,122,132,127,1.78,108,7,0.012,0.187,0.0657,349,372,360,0.94,134,5,0.015,0.133,0.0377,430,487,455,2.09,453,9,0.051,0.237,0.0198,509,623,582,5.04,2001,3,0.225,0.078,0.0015,712,755,755,30.14,5777,0,0.649,0.000,0.0000
"Japan","Fukuoka","",0,5103679,190826,763,3738.99,149.50,0.0040,5,178,229,195,2.29,3810,38,0.020,0.050,0.0100,305,417,358,5.70,12987,209,0.068,0.274,0.0161,417,520,476,9.13,16906,204,0.089,0.267,0.0121,520,622,578,19.96,38726,96,0.203,0.126,0.0025,711,755,744,90.01,115987,136,0.608,0.179,0.0012
"Japan","Fukushima","",0,1845519,20142,182,1091.40,98.62,0.0090,5,322,377,354,1.78,1183,40,0.059,0.219,0.0337,399,505,473,3.22,2789,86,0.138,0.470,0.0307,513,515,515,0.54,29,1,0.001,0.007,0.0445,515,609,569,5.99,4624,15,0.230,0.081,0.0032,713,755,744,26.24,10600,6,0.526,0.034,0.0006
"Japan","Gifu","",0,1986587,42247,246,2126.61,123.83,0.0058,5,185,201,191,0.81,241,0,0.006,0.000,0.0001,293,396,351,3.88,3815,90,0.090,0.368,0.0237,427,518,477,6.25,4467,63,0.106,0.255,0.0140,544,633,581,15.81,9291,30,0.220,0.120,0.0032,711,755,755,44.94,23287,27,0.551,0.111,0.0012
"Japan","Gunma","",0,1942456,43014,224,2214.41,115.32,0.0052,5,233,243,239,0.75,141,0,0.003,0.000,0.0000,301,412,354,3.19,3645,68,0.085,0.303,0.0186,412,503,473,4.05,3323,57,0.077,0.256,0.0173,541,619,578,13.75,8464,18,0.197,0.080,0.0021,680,755,742,50.48,26117,49,0.607,0.218,0.0019
"Japan","Hiroshima","",0,2804177,64810,318,2311.20,113.40,0.0049,5,125,129,127,0.67,88,2,0.001,0.005,0.0180,310,378,336,3.48,4045,88,0.062,0.277,0.0217,445,518,480,7.31,6151,64,0.095,0.200,0.0103,541,634,580,11.67,10307,22,0.159,0.068,0.0021,707,755,734,47.43,42595,116,0.657,0.365,0.0027
"Japan","Hokkaido","",0,5250049,141337,1617,2692.11,308.00,0.0114,5,121,133,127,2.33,1039,83,0.007,0.051,0.0801,269,407,304,4.47,16805,579,0.119,0.358,0.0345,407,527,484,10.90,22162,716,0.157,0.443,0.0323,527,618,577,9.48,18876,69,0.134,0.043,0.0037,710,755,747,64.19,79833,142,0.565,0.088,0.0018
"Japan","Hyogo","",0,5466189,209733,1590,3836.91,290.88,0.0076,5,184,213,196,0.83,1156,4,0.006,0.003,0.0035,285,399,358,4.54,14586,454,0.070,0.285,0.0311,403,513,458,9.09,22704,739,0.108,0.465,0.0326,528,632,581,17.44,37116,90,0.177,0.056,0.0024,710,755,746,98.77,130818,193,0.624,0.121,0.0015
"Japan","Ibaraki","",0,2860307,56597,246,1978.70,86.00,0.0043,5,125,129,127,0.66,88,5,0.002,0.021,0.0595,293,413,358,3.27,5233,101,0.092,0.411,0.0193,413,515,478,2.16,4224,43,0.075,0.173,0.0101,515,624,576,10.59,14011,56,0.248,0.227,0.0040,712,755,749,50.66,32079,26,0.567,0.107,0.0008
"Japan","Ishikawa","",0,1137649,19292,153,1695.78,134.49,0.0079,5,197,230,209,1.31,374,12,0.019,0.079,0.0325,324,404,388,1.55,961,12,0.050,0.078,0.0124,434,506,475,4.55,1950,47,0.101,0.305,0.0240,528,622,556,7.62,3951,9,0.205,0.060,0.0023,713,755,744,41.18,11230,18,0.582,0.115,0.0016
"Japan","Iwate","",0,1226816,7035,55,573.44,44.83,0.0078,5,296,312,305,0.75,134,2,0.019,0.045,0.0183,431,445,437,0.97,140,0,0.020,0.004,0.0017,454,512,467,1.55,826,15,0.117,0.275,0.0183,525,606,572,3.31,1775,5,0.252,0.089,0.0027,718,755,752,12.96,3513,2,0.499,0.038,0.0006
"Japan","Kagawa","",0,956346,13423,55,1403.57,57.51,0.0041,5,319,320,320,0.51,10,0,0.001,0.004,0.0215,333,383,354,1.67,483,14,0.036,0.247,0.0281,429,500,474,4.17,1245,8,0.093,0.140,0.0062,547,610,577,8.90,2511,4,0.187,0.081,0.0018,712,755,745,34.82,8708,18,0.649,0.324,0.0020
"Japan","Kagoshima","",0,1602273,25210,99,1573.39,61.79,0.0039,5,161,169,165,0.75,93,0,0.004,0.000,0.0000,316,377,352,1.51,984,6,0.039,0.060,0.0060,454,511,473,3.00,1635,6,0.065,0.057,0.0034,545,608,576,12.50,5228,24,0.207,0.238,0.0045,710,755,744,37.24,16075,33,0.638,0.334,0.0021
"Japan","Kanagawa","",0,9198268,364015,1466,3957.43,159.38,0.0040,5,188,257,207,0.97,4881,46,0.013,0.032,0.0095,257,416,358,9.01,39146,599,0.108,0.409,0.0153,416,507,477,3.20,17794,184,0.049,0.126,0.0104,507,630,578,26.41,104748,369,0.288,0.252,0.0035,710,755,747,86.81,194152,147,0.533,0.100,0.0008
"Japan","Kochi","",0,698028,9562,50,1369.86,71.63,0.0052,5,123,131,127,1.19,59,2,0.006,0.048,0.0408,312,372,329,2.97,680,10,0.071,0.193,0.0142,454,532,492,3.59,902,8,0.094,0.156,0.0086,532,616,581,11.50,2233,4,0.234,0.088,0.0020,714,755,752,35.02,5385,18,0.563,0.351,0.0033
"Japan","Kumamoto","",0,1747567,40761,181,2332.44,103.57,0.0044,5,184,202,192,1.17,296,2,0.007,0.012,0.0073,312,377,355,4.17,2335,50,0.057,0.277,0.0215,447,504,477,5.56,2818,34,0.069,0.186,0.0120,544,619,577,13.42,7748,15,0.190,0.084,0.0020,712,755,738,54.31,26349,45,0.646,0.248,0.0017
"Japan","Kyoto","",0,2582957,100629,337,3895.88,130.47,0.0033,5,176,228,210,1.01,1073,7,0.011,0.020,0.0064,285,394,358,5.14,6926,120,0.069,0.356,0.0173,424,519,460,5.26,7242,73,0.072,0.217,0.0101,519,630,581,19.64,19255,50,0.191,0.148,0.0026,704,755,745,97.36,64538,45,0.641,0.134,0.0007
"Japan","Mie","",0,1780882,32845,205,1844.31,115.11,0.0062,5,191,202,196,0.79,146,0,0.004,0.000,0.0004,300,398,355,1.88,1849,44,0.056,0.214,0.0238,428,510,459,2.82,2481,41,0.076,0.200,0.0165,533,624,581,21.04,9371,51,0.285,0.247,0.0054,713,755,746,40.48,18010,42,0.548,0.204,0.0023
"Japan","Miyagi","",0,2306365,31539,125,1367.48,54.20,0.0040,4,275,377,355,2.25,2855,20,0.091,0.161,0.0070,402,502,431,5.70,5366,59,0.170,0.470,0.0110,527,617,577,9.48,7040,27,0.223,0.215,0.0038,715,755,750,29.30,15214,7,0.482,0.058,0.0005,,,,,,,,,
"Japan","Miyazaki","",0,1073301,15722,67,1464.83,62.42,0.0043,5,183,213,191,1.42,297,1,0.019,0.015,0.0034,302,388,352,5.14,1523,19,0.097,0.290,0.0127,443,494,473,3.91,1035,3,0.066,0.048,0.0031,547,612,579,10.41,2959,13,0.188,0.197,0.0045,714,755,738,33.94,9570,26,0.609,0.389,0.0027
"Japan","Nagano","",0,2048790,25755,122,1257.08,59.55,0.0047,5,294,333,323,0.97,643,4,0.025,0.031,0.0058,335,375,354,2.67,1230,25,0.048,0.207,0.0206,417,502,449,2.04,2463,45,0.096,0.369,0.0183,548,614,576,5.77,3577,1,0.139,0.011,0.0004,709,755,743,27.75,16797,25,0.652,0.208,0.0015
"Japan","Nagasaki","",0,1326524,21418,92,1614.60,69.35,0.0043,5,190,198,194,0.71,75,1,0.004,0.007,0.0085,324,379,351,2.94,1247,29,0.058,0.312,0.0230,445,522,472,3.46,1497,30,0.070,0.326,0.0201,541,616,576,5.94,2725,2,0.127,0.025,0.0008,712,755,739,42.25,15278,19,0.713,0.205,0.0012
"Japan","Nara","",0,1330123,41549,190,3123.70,142.84,0.0046,5,182,215,209,1.01,317,2,0.008,0.009,0.0054,283,396,361,2.72,2614,35,0.063,0.185,0.0134,410,518,456,6.99,4761,80,0.115,0.419,0.0167,518,634,583,14.64,7466,23,0.180,0.120,0.0031,708,755,750,81.04,25882,41,0.623,0.218,0.0016
