Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Malaysia","Johor","",0,3768200,287779,3952,7637.04,1048.78,0.0137,5,58,72,62,0.79,368,11,0.001,0.003,0.0311,305,437,375,21.03,40495,85,0.141,0.022,0.0021,437,516,491,14.65,26564,406,0.092,0.103,0.0153,516,703,591,56.34,174980,3342,0.608,0.846,0.0191,703,755,755,71.90,45533,111,0.158,0.028,0.0024
"Malaysia","Kedah","",0,2185900,198068,2203,9061.16,1007.82,0.0111,5,248,288,257,5.88,1816,4,0.009,0.002,0.0020,338,422,363,5.84,5106,12,0.026,0.006,0.0024,422,508,491,19.34,13862,152,0.070,0.069,0.0110,508,706,583,87.48,146007,1981,0.737,0.899,0.0136,706,755,755,95.78,30654,51,0.155,0.023,0.0017
"Malaysia","Kelantan","",0,1892200,192264,1289,10160.87,681.22,0.0067,5,305,319,316,0.56,153,1,0.001,0.001,0.0057,335,409,363,6.24,4594,15,0.024,0.012,0.0033,409,525,492,33.57,29717,200,0.155,0.155,0.0067,525,714,589,70.78,135957,1035,0.707,0.803,0.0076,714,755,755,71.93,21964,37,0.114,0.029,0.0017
"Malaysia","Melaka","",0,932700,88845,977,9525.57,1047.50,0.0110,5,69,82,76,0.78,85,2,0.001,0.002,0.0226,86,89,87,0.55,20,0,0.000,0.000,0.0185,322,422,382,20.25,5850,16,0.066,0.016,0.0027,422,706,573,72.03,69625,931,0.784,0.953,0.0134,706,755,755,65.41,13125,25,0.148,0.026,0.0019
"Malaysia","Negeri Sembilan","",0,1132100,128017,1345,11307.92,1188.06,0.0105,5,268,331,295,13.98,5724,3,0.045,0.002,0.0005,331,436,398,21.02,10589,20,0.083,0.015,0.0019,436,625,541,101.42,81381,1172,0.636,0.871,0.0144,625,703,662,19.75,14309,111,0.112,0.082,0.0077,703,755,755,71.71,15336,34,0.120,0.025,0.0022
"Malaysia","Pahang","",0,1677100,111694,815,6659.95,485.96,0.0073,5,70,83,80,0.58,129,1,0.001,0.001,0.0087,316,412,358,4.45,3496,9,0.031,0.011,0.0025,419,657,602,44.22,75550,659,0.676,0.808,0.0087,657,713,687,20.84,16932,102,0.152,0.125,0.0060,713,755,755,55.71,15770,42,0.141,0.052,0.0027
"Malaysia","Perak","",0,2514299,138448,1463,5506.43,581.87,0.0106,5,59,66,62,0.68,122,2,0.001,0.001,0.0169,288,439,398,12.40,12907,36,0.093,0.025,0.0028,439,510,495,11.37,10511,71,0.076,0.048,0.0067,510,716,596,48.81,106253,1296,0.767,0.886,0.0122,716,755,755,18.54,8596,55,0.062,0.038,0.0064
"Malaysia","Perlis","",0,254599,9083,139,3567.57,545.96,0.0153,5,350,387,363,2.97,142,0,0.016,0.000,0.0000,403,423,414,3.73,112,0,0.012,0.000,0.0000,462,524,491,3.42,231,6,0.025,0.043,0.0260,524,713,623,28.68,6666,128,0.734,0.923,0.0192,713,755,755,55.61,1849,3,0.204,0.022,0.0016
"Malaysia","Pulau Pinang","",0,1777600,182110,1779,10244.71,1000.79,0.0098,5,299,391,357,9.66,8414,12,0.046,0.007,0.0014,391,438,433,9.06,6724,7,0.037,0.004,0.0011,438,516,491,20.49,16723,94,0.092,0.053,0.0056,516,710,595,103.73,128215,1631,0.704,0.917,0.0127,710,755,755,84.99,21031,35,0.115,0.020,0.0017
"Malaysia","Sabah","",0,3904700,282013,2862,7222.40,732.96,0.0101,5,60,61,61,0.52,40,0,0.000,0.000,0.0055,228,331,287,15.81,33550,241,0.119,0.084,0.0072,331,421,361,11.23,20303,139,0.072,0.048,0.0068,421,707,581,73.66,186132,2393,0.660,0.836,0.0129,707,755,755,96.79,42031,86,0.149,0.030,0.0020
