Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Mexico","Aguascalientes","",0,1434635,55145,3359,3843.83,2341.36,0.0609,5,118,208,177,4.68,4295,312,0.078,0.093,0.0728,208,343,308,15.08,12059,1028,0.219,0.306,0.0852,343,507,368,13.46,9845,1095,0.179,0.326,0.1112,516,663,577,8.35,9720,437,0.176,0.130,0.0450,663,755,742,33.82,19321,486,0.350,0.145,0.0252
"Mexico","Baja California","",0,3634868,122722,11263,3376.24,3098.60,0.0918,5,115,222,162,4.37,13323,2546,0.109,0.226,0.1911,237,263,257,8.16,3662,331,0.030,0.029,0.0903,272,443,365,8.19,24900,4179,0.203,0.371,0.1678,515,680,673,11.68,31282,1749,0.255,0.155,0.0559,680,755,729,32.13,45113,1489,0.368,0.132,0.0330
"Mexico","Baja California Sur","",0,804708,97650,2541,12134.84,3157.67,0.0260,4,117,289,199,16.02,12477,588,0.128,0.231,0.0471,289,462,359,26.17,17253,733,0.177,0.288,0.0425,462,643,519,44.08,25825,1018,0.264,0.401,0.0394,643,755,733,149.68,42227,209,0.432,0.082,0.0050,,,,,,,,,
"Mexico","Campeche","",0,1000616,31983,2104,3196.33,2102.70,0.0658,5,117,252,182,9.13,5659,777,0.177,0.369,0.1373,252,294,257,2.99,627,42,0.020,0.020,0.0672,294,425,366,3.03,2238,228,0.070,0.108,0.1019,425,678,576,20.63,15364,1002,0.480,0.476,0.0652,703,755,737,28.08,8036,46,0.251,0.022,0.0058
"Mexico","Chiapas","",0,5730367,29364,2289,512.43,399.45,0.0780,5,118,183,136,1.87,4718,793,0.161,0.347,0.1682,250,260,256,2.57,1052,124,0.036,0.054,0.1178,356,374,366,0.85,737,98,0.025,0.043,0.1335,510,639,561,4.05,11187,608,0.381,0.266,0.0544,715,755,739,4.13,6389,42,0.218,0.018,0.0065
"Mexico","Chihuahua","",0,3801486,114452,9387,3010.72,2469.30,0.0820,5,119,403,293,13.14,42140,5027,0.368,0.536,0.1193,403,523,444,6.78,14647,2320,0.128,0.247,0.1584,523,593,554,2.99,5696,248,0.050,0.026,0.0435,593,738,731,25.93,41963,1414,0.367,0.151,0.0337,738,755,738,24.00,11075,414,0.097,0.044,0.0374
"Mexico","Ciudad de Mexico","",0,9018645,1288534,40111,14287.45,4447.56,0.0311,5,114,157,142,9.26,30938,4663,0.024,0.116,0.1507,157,486,362,66.70,607892,26964,0.472,0.672,0.0444,486,672,566,45.54,328612,7001,0.255,0.175,0.0213,672,738,731,101.17,227122,841,0.176,0.021,0.0037,738,755,738,92.95,103949,823,0.081,0.021,0.0079
"Mexico","Coahuila","",0,3218720,140628,8531,4369.07,2650.43,0.0607,5,120,243,200,10.00,24263,1689,0.173,0.198,0.0696,243,320,308,10.99,18723,1838,0.133,0.215,0.0982,320,496,365,12.01,25466,2749,0.181,0.322,0.1079,496,648,575,9.79,24423,1110,0.174,0.130,0.0454,675,755,728,46.10,44212,1036,0.314,0.121,0.0234
"Mexico","Colima","",0,785153,52434,2113,6678.19,2691.20,0.0403,5,121,235,211,9.16,4092,478,0.078,0.226,0.1167,235,311,256,10.45,3010,275,0.057,0.130,0.0913,311,432,366,8.85,3656,379,0.070,0.179,0.1036,502,677,571,48.66,21285,833,0.406,0.394,0.0391,706,755,742,78.11,19082,83,0.364,0.039,0.0044
"Mexico","Durango","",0,1868996,65951,3378,3528.69,1807.39,0.0512,3,122,501,308,15.79,34101,2458,0.517,0.728,0.0721,501,659,569,13.61,14733,571,0.223,0.169,0.0388,659,755,727,31.15,17132,348,0.260,0.103,0.0203,,,,,,,,,,,,,,,,,,
