Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Netherlands","Aruba","",0,106766,33535,198,31409.81,1854.52,0.0059,5,174,296,233,75.33,4537,40,0.135,0.202,0.0088,296,390,351,58.42,2820,26,0.084,0.132,0.0093,390,514,428,62.24,3679,39,0.110,0.196,0.0106,514,647,568,113.53,4805,64,0.143,0.324,0.0133,647,755,714,726.72,17646,27,0.526,0.137,0.0015
"Netherlands","Bonaire, Sint Eustatius and Saba","",0,26221,7448,31,28404.71,1182.26,0.0042,5,216,270,248,25.78,137,3,0.018,0.087,0.0197,293,351,343,6.06,42,0,0.006,0.000,0.0000,453,507,463,583.62,1424,14,0.191,0.452,0.0098,507,636,618,58.24,731,2,0.098,0.075,0.0032,636,755,720,558.22,5108,12,0.686,0.378,0.0023
"Netherlands","Curacao","",0,164100,38479,259,23448.51,1578.31,0.0067,5,209,379,316,63.18,4564,20,0.119,0.078,0.0044,379,488,435,184.99,7674,101,0.199,0.390,0.0132,497,499,499,0.80,3,0,0.000,0.001,0.0853,499,659,547,42.72,4915,53,0.128,0.204,0.0107,659,755,716,497.27,21301,85,0.554,0.327,0.0040
"Netherlands","Drenthe","",0,493682,124673,393,25253.71,796.06,0.0032,5,227,298,269,33.02,5906,55,0.047,0.141,0.0094,298,387,334,50.54,13353,172,0.107,0.437,0.0129,387,512,428,39.20,14514,88,0.116,0.224,0.0061,512,605,540,27.27,5034,2,0.040,0.006,0.0005,605,755,749,606.68,86035,80,0.690,0.203,0.0009
"Netherlands","Flevoland","",0,423020,139568,228,32993.24,538.98,0.0016,5,186,392,333,80.32,23989,111,0.172,0.487,0.0046,392,511,453,37.53,11955,42,0.086,0.183,0.0035,511,609,542,34.15,7386,7,0.053,0.031,0.0010,609,686,670,123.40,19967,35,0.143,0.154,0.0018,686,755,748,760.23,76862,35,0.551,0.156,0.0005
"Netherlands","Friesland","",0,649957,184995,522,28462.65,803.13,0.0028,5,198,296,266,25.18,6328,31,0.034,0.060,0.0050,296,390,335,38.96,17067,242,0.092,0.464,0.0142,390,510,429,37.47,19839,141,0.107,0.269,0.0071,607,699,672,135.38,39836,78,0.215,0.149,0.0020,699,755,750,718.23,93240,27,0.504,0.052,0.0003
"Netherlands","Gelderland","",0,2085952,669876,1958,32113.68,938.66,0.0029,5,190,296,282,47.11,35941,253,0.054,0.129,0.0070,296,391,334,71.41,75332,825,0.112,0.421,0.0109,391,510,455,44.59,70653,278,0.105,0.142,0.0039,596,695,669,127.82,121462,417,0.181,0.213,0.0034,695,755,749,751.80,339986,158,0.508,0.081,0.0005
"Netherlands","Groningen","",0,585865,156401,330,26695.74,563.27,0.0021,5,294,389,350,64.03,17022,140,0.109,0.424,0.0082,389,439,400,30.50,7775,54,0.050,0.165,0.0070,439,502,456,29.38,7636,30,0.049,0.090,0.0039,502,607,538,79.78,11650,5,0.074,0.015,0.0004,607,755,750,564.41,106268,79,0.679,0.240,0.0007
"Netherlands","Limburg","",0,1117201,364188,1344,32598.25,1203.01,0.0037,5,195,398,333,85.20,65192,653,0.179,0.486,0.0100,398,514,458,59.33,45514,248,0.125,0.185,0.0055,514,593,544,37.34,13825,32,0.038,0.024,0.0023,593,702,674,191.13,95840,344,0.263,0.256,0.0036,702,755,747,504.12,144974,71,0.398,0.053,0.0005
"Netherlands","Noord-Brabant","",0,2562955,858693,2054,33504.02,801.42,0.0024,5,180,306,281,64.23,67443,454,0.079,0.221,0.0067,306,387,332,65.14,83959,788,0.098,0.383,0.0094,387,510,456,55.71,111700,375,0.130,0.183,0.0034,601,691,678,133.91,134398,285,0.157,0.139,0.0021,691,755,748,653.75,425783,148,0.496,0.072,0.0003
