Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Peru","Amazonas","",0,426800,41890,1307,9814.90,3062.32,0.0312,3,118,333,216,43.12,18289,561,0.437,0.430,0.0307,333,637,456,31.06,13438,695,0.321,0.532,0.0517,637,755,747,148.77,10187,53,0.243,0.040,0.0052,,,,,,,,,,,,,,,,,,
"Peru","Ancash","",0,1180600,119037,6915,10082.75,5857.19,0.0581,5,117,165,128,42.05,8649,1306,0.073,0.189,0.1510,165,319,196,18.03,20506,1479,0.172,0.214,0.0721,319,394,379,22.48,12044,805,0.101,0.116,0.0668,394,585,452,36.56,34862,3033,0.293,0.439,0.0870,639,755,747,185.30,41458,252,0.348,0.036,0.0061
"Peru","Apurimac","",0,430700,35814,1568,8315.30,3640.59,0.0438,5,120,161,128,5.15,562,30,0.016,0.019,0.0542,161,304,231,20.68,5731,271,0.160,0.173,0.0473,304,396,357,19.77,4677,295,0.131,0.188,0.0631,396,625,454,50.34,15212,911,0.425,0.581,0.0599,671,755,747,147.79,9339,50,0.261,0.032,0.0054
"Peru","Arequipa","",0,1497400,198896,9942,13282.76,6639.51,0.0500,4,118,310,214,46.63,46085,4090,0.232,0.411,0.0888,310,422,388,18.42,17436,1615,0.088,0.162,0.0926,422,642,531,48.62,51935,3989,0.261,0.401,0.0768,642,755,747,350.47,83671,266,0.421,0.027,0.0032,,,,,,,,,
"Peru","Ayacucho","",0,668200,46689,2238,6987.28,3349.30,0.0479,4,119,329,212,22.42,14903,822,0.319,0.367,0.0551,329,639,425,20.22,19091,1290,0.409,0.577,0.0676,639,677,666,2.82,632,26,0.014,0.011,0.0407,677,755,747,104.78,12111,103,0.259,0.046,0.0085,,,,,,,,,
"Peru","Cajamarca","",0,1453700,92318,4294,6350.55,2953.84,0.0465,3,120,322,214,21.99,24228,1541,0.262,0.359,0.0636,322,645,454,27.33,41793,2593,0.453,0.604,0.0620,645,755,747,88.30,26343,165,0.285,0.038,0.0063,,,,,,,,,,,,,,,,,,
"Peru","Callao","",0,1129899,143180,10311,12671.93,9125.59,0.0720,5,117,172,128,123.51,19048,3083,0.133,0.299,0.1619,172,328,204,18.63,23035,2049,0.161,0.199,0.0890,328,572,438,126.32,56983,4760,0.398,0.462,0.0835,572,633,592,6.03,2073,102,0.014,0.010,0.0493,633,755,747,169.56,42271,351,0.295,0.034,0.0083
"Peru","Cusco","",0,1357100,113107,4973,8334.46,3664.43,0.0440,5,119,146,128,8.99,1446,37,0.013,0.008,0.0259,146,325,216,32.30,23035,1515,0.204,0.305,0.0658,325,642,451,27.39,49487,3230,0.438,0.649,0.0653,642,673,651,2.74,938,26,0.008,0.005,0.0276,673,755,747,121.61,38310,169,0.339,0.034,0.0044
"Peru","Huancavelica","",0,365300,23659,1219,6476.59,3336.98,0.0515,5,119,157,128,13.79,867,28,0.037,0.023,0.0324,157,332,210,34.79,6948,361,0.294,0.296,0.0519,332,646,452,24.64,8440,772,0.357,0.633,0.0915,646,659,652,1.29,58,5,0.002,0.004,0.0867,659,755,747,138.46,7369,55,0.311,0.045,0.0075
"Peru","Huanuco","",0,760300,49978,2785,6573.46,3663.03,0.0557,5,119,279,211,26.24,17148,932,0.343,0.335,0.0544,279,324,293,10.90,2433,78,0.049,0.028,0.0319,324,409,368,14.74,5926,841,0.119,0.302,0.1420,409,630,452,16.07,10189,851,0.204,0.305,0.0835,630,755,747,102.48,14411,94,0.288,0.034,0.0065
"Peru","Ica","",0,975200,97412,8755,9988.93,8977.65,0.0899,5,117,163,128,39.98,8025,1406,0.082,0.161,0.1752,163,320,193,32.70,23293,2172,0.239,0.248,0.0932,320,429,378,22.58,12823,2257,0.132,0.258,0.1760,429,635,463,14.99,15165,2569,0.156,0.293,0.1694,635,755,747,238.24,38447,406,0.395,0.046,0.0106
"Peru","Junin","",0,1361500,120798,7258,8872.42,5330.89,0.0601,4,119,316,209,19.69,25705,2326,0.213,0.320,0.0905,316,415,386,26.42,20228,1719,0.167,0.237,0.0850,415,650,463,30.31,41148,2995,0.341,0.413,0.0728,650,755,747,134.14,34005,242,0.282,0.033,0.0071,,,,,,,,,
"Peru","La Libertad","",0,2016800,140626,10659,6972.73,5285.11,0.0758,5,118,167,128,27.10,11171,2163,0.079,0.203,0.1936,167,334,238,13.25,25685,2606,0.183,0.245,0.1015,334,582,481,22.43,49797,5367,0.354,0.504,0.1078,582,620,592,3.55,1575,80,0.011,0.007,0.0505,620,755,747,140.29,52674,501,0.375,0.047,0.0095
"Peru","Lambayeque","",0,1310800,102601,8871,7827.36,6767.62,0.0865,5,117,175,128,73.87,15256,2549,0.149,0.287,0.1671,175,288,197,12.77,13792,1549,0.134,0.175,0.1123,288,347,328,8.04,4528,547,0.044,0.062,0.1208,390,526,454,24.29,20109,2895,0.196,0.326,0.1440,608,755,747,152.48,41579,293,0.405,0.033,0.0070
