Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Russia","Adygea Republic","",0,453376,35988,844,7937.78,1861.59,0.0235,5,127,219,160,9.15,2461,17,0.068,0.021,0.0071,219,484,326,22.30,11279,170,0.313,0.202,0.0151,484,606,566,12.86,4512,200,0.125,0.236,0.0442,606,706,689,24.37,7969,335,0.221,0.396,0.0420,706,755,755,111.31,9925,129,0.276,0.153,0.0130
"Russia","Altai Krai","",0,2350080,184845,7651,7865.48,3255.63,0.0414,5,128,226,174,9.47,10070,112,0.054,0.015,0.0111,226,485,297,10.02,39126,2097,0.212,0.274,0.0536,485,596,561,11.75,21631,1554,0.117,0.203,0.0718,596,706,669,22.53,45678,2759,0.247,0.361,0.0604,706,755,755,194.37,69125,1185,0.374,0.155,0.0171
"Russia","Altai Republic","",0,218063,29226,579,13402.55,2655.20,0.0198,5,128,202,163,15.74,1605,7,0.055,0.012,0.0044,202,459,277,78.98,15072,222,0.516,0.384,0.0147,459,601,542,25.30,4294,107,0.147,0.185,0.0250,601,703,647,25.55,4093,170,0.140,0.294,0.0416,703,755,752,92.17,4239,78,0.145,0.134,0.0184
"Russia","Amur Oblast","",0,798424,70847,700,8873.36,876.73,0.0099,5,128,208,151,5.94,2558,42,0.036,0.060,0.0164,208,465,294,20.68,19249,234,0.272,0.334,0.0121,465,604,564,17.58,11644,147,0.164,0.209,0.0126,604,714,687,32.95,21308,189,0.301,0.270,0.0089,714,755,755,161.66,16392,93,0.231,0.133,0.0057
"Russia","Arkhangelsk Oblast","",0,1155028,183410,1571,15879.27,1360.14,0.0086,4,126,210,138,10.56,7982,236,0.044,0.150,0.0296,210,476,326,34.61,52684,721,0.287,0.459,0.0137,476,702,654,40.05,58999,534,0.322,0.340,0.0090,702,755,753,291.88,64139,85,0.350,0.054,0.0013,,,,,,,,,
"Russia","Astrakhan Oblast","",0,1017514,98876,2740,9717.41,2692.84,0.0277,5,126,188,139,6.43,2622,29,0.027,0.011,0.0112,188,488,364,18.03,29509,722,0.298,0.263,0.0245,488,621,554,28.38,26215,929,0.265,0.339,0.0354,621,705,666,25.53,20421,689,0.207,0.251,0.0337,705,755,755,85.28,20565,390,0.208,0.142,0.0190
"Russia","Bashkortostan Republic","",0,4063293,164835,4945,4056.69,1216.99,0.0300,4,129,221,137,2.19,4426,11,0.027,0.002,0.0024,221,484,346,4.13,29488,471,0.179,0.095,0.0160,484,710,664,16.69,84813,3910,0.515,0.791,0.0461,710,755,755,83.53,46452,572,0.282,0.116,0.0123,,,,,,,,,
"Russia","Belgorod Oblast","",0,1549876,100955,1969,6513.75,1270.42,0.0195,4,127,210,147,4.90,4484,32,0.044,0.016,0.0072,210,492,347,12.09,31801,636,0.315,0.323,0.0200,492,710,652,22.47,43055,1066,0.426,0.541,0.0248,710,755,755,85.16,21867,243,0.217,0.124,0.0111,,,,,,,,,
"Russia","Bryansk Oblast","",0,1210981,122786,3325,10139.38,2745.71,0.0271,5,126,204,139,7.61,3991,4,0.033,0.001,0.0010,204,476,338,16.65,31266,278,0.255,0.083,0.0089,476,593,533,26.98,22611,879,0.184,0.264,0.0389,593,704,655,42.26,34085,1631,0.278,0.491,0.0479,704,755,750,127.08,31278,562,0.255,0.169,0.0180
"Russia","Buryatia Republic","",0,984511,108353,2719,11005.77,2761.78,0.0251,5,127,190,141,5.81,2546,29,0.024,0.011,0.0114,190,461,306,27.58,33051,801,0.305,0.295,0.0242,461,601,528,32.27,20457,969,0.189,0.356,0.0473,601,702,669,24.19,17538,563,0.162,0.207,0.0321,702,755,747,159.67,35097,370,0.324,0.136,0.0105
