Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Sweden","Blekinge","",0,159606,28127,141,17622.77,883.43,0.0050,5,131,178,142,6.71,217,9,0.008,0.064,0.0415,234,400,350,88.54,7286,97,0.259,0.688,0.0133,400,543,456,56.49,5007,16,0.178,0.116,0.0033,543,625,597,7.81,530,0,0.019,0.000,0.0000,625,755,740,301.77,14973,17,0.532,0.119,0.0011
"Sweden","Dalarna","",0,287965,64335,252,22341.26,875.11,0.0039,5,131,200,161,8.55,736,26,0.011,0.103,0.0353,200,385,329,58.32,11790,128,0.183,0.508,0.0109,385,539,443,69.78,13347,44,0.207,0.174,0.0033,539,639,599,11.58,1622,13,0.025,0.051,0.0079,639,754,739,406.52,36662,41,0.570,0.164,0.0011
"Sweden","Gavleborg","",0,287382,69214,490,24084.32,1705.05,0.0071,5,130,212,162,18.36,1813,51,0.026,0.105,0.0283,224,376,333,94.98,15110,302,0.218,0.616,0.0200,376,534,442,76.03,17677,97,0.255,0.198,0.0055,534,608,596,6.89,955,1,0.014,0.002,0.0010,608,754,739,372.90,33552,40,0.485,0.081,0.0012
"Sweden","Gotland","",0,59685,10884,51,18235.74,854.49,0.0047,5,133,223,199,6.70,229,-0,0.021,-0.000,-0.0000,235,390,315,63.45,2332,38,0.214,0.754,0.0165,390,521,452,41.53,1349,8,0.124,0.149,0.0056,521,631,560,32.77,572,2,0.053,0.044,0.0039,648,755,731,348.65,6396,3,0.588,0.061,0.0005
"Sweden","Halland","",0,333848,100336,317,30054.40,949.53,0.0032,5,191,384,350,93.91,18629,165,0.186,0.520,0.0089,384,532,427,92.40,20743,79,0.207,0.249,0.0038,532,633,601,10.47,2247,8,0.022,0.025,0.0036,633,738,734,621.56,43164,21,0.430,0.066,0.0005,738,755,738,533.64,16636,25,0.166,0.078,0.0015
"Sweden","Jamtland Harjedalen","",0,130810,30604,112,23395.76,856.20,0.0037,5,130,211,144,9.71,401,29,0.013,0.255,0.0713,211,382,350,50.68,4879,39,0.159,0.348,0.0080,382,533,448,69.15,6523,21,0.213,0.188,0.0032,533,636,579,8.82,645,7,0.021,0.063,0.0109,636,755,728,428.77,18198,17,0.595,0.152,0.0009
"Sweden","Jonkoping","",0,363598,82185,467,22603.26,1284.39,0.0057,5,130,208,154,31.84,3181,37,0.039,0.078,0.0115,208,383,350,63.76,18633,296,0.227,0.635,0.0159,383,542,428,68.59,20345,79,0.248,0.169,0.0039,640,738,735,375.38,27434,26,0.334,0.057,0.0010,738,755,738,350.42,12021,25,0.146,0.054,0.0021
"Sweden","Kalmar","",0,245446,56692,239,23097.54,973.74,0.0042,5,132,199,161,5.01,400,23,0.007,0.096,0.0575,238,388,350,67.80,9492,140,0.167,0.586,0.0147,388,540,447,84.43,13996,44,0.247,0.183,0.0031,540,616,588,8.25,936,3,0.017,0.013,0.0032,616,755,741,430.29,31814,29,0.561,0.123,0.0009
"Sweden","Kronoberg","",0,201468,46253,274,22957.99,1360.02,0.0059,5,131,169,141,4.88,186,24,0.004,0.087,0.1282,169,413,350,83.20,13291,196,0.287,0.717,0.0148,413,548,469,75.90,8184,23,0.177,0.084,0.0028,548,643,594,12.91,1170,8,0.025,0.028,0.0065,643,755,736,402.06,23474,24,0.508,0.089,0.0010
"Sweden","Norrbotten","",0,250093,45760,269,18297.19,1075.60,0.0059,5,131,213,153,16.26,1174,40,0.026,0.148,0.0338,235,364,308,54.01,7640,74,0.167,0.274,0.0096,364,581,447,70.29,17822,115,0.389,0.428,0.0065,581,666,649,11.08,1522,20,0.033,0.075,0.0132,666,754,735,223.78,17525,22,0.383,0.084,0.0013
"Sweden","Orebro","",0,304805,85432,253,28028.41,830.04,0.0030,5,130,173,141,6.85,580,29,0.007,0.115,0.0500,193,385,295,61.33,14282,110,0.167,0.433,0.0077,385,536,442,79.04,15486,63,0.181,0.248,0.0041,536,628,597,12.36,1888,9,0.022,0.037,0.0050,628,755,735,606.15,53237,41,0.623,0.161,0.0008
"Sweden","Ostergotland","",0,465495,89190,516,19160.25,1108.50,0.0058,5,131,200,154,10.90,1414,68,0.016,0.131,0.0479,200,392,350,55.12,18025,277,0.202,0.537,0.0154,392,536,455,71.74,20963,100,0.235,0.194,0.0048,536,634,595,8.72,2232,21,0.025,0.040,0.0094,634,755,735,386.93,46710,52,0.524,0.101,0.0011
"Sweden","Skane","",0,1377827,328017,1870,23806.83,1357.21,0.0057,5,133,182,153,3.89,1549,68,0.005,0.036,0.0438,182,410,350,111.85,109921,1321,0.335,0.706,0.0120,410,534,469,44.25,43561,184,0.133,0.098,0.0042,534,628,585,11.49,8512,22,0.026,0.012,0.0026,628,755,736,316.78,164956,278,0.503,0.149,0.0017
"Sweden","Sormland","",0,297540,58602,293,19695.50,984.74,0.0050,5,231,382,350,45.13,9493,131,0.162,0.448,0.0138,382,534,442,71.81,14015,88,0.239,0.302,0.0063,534,603,594,8.08,949,8,0.016,0.029,0.0088,603,738,733,430.99,26083,22,0.445,0.075,0.0008,738,755,738,322.60,8305,19,0.142,0.066,0.0023
"Sweden","Stockholm","",0,2377080,542070,2764,22804.03,1162.77,0.0051,5,130,211,155,12.80,9940,259,0.018,0.094,0.0261,226,376,323,68.11,115221,1322,0.213,0.478,0.0115,376,525,442,59.15,117021,652,0.216,0.236,0.0056,525,632,588,12.92,22214,91,0.041,0.033,0.0041,632,755,732,357.15,279524,451,0.516,0.163,0.0016
"Sweden","Uppsala","",0,383712,84157,422,21932.33,1099.78,0.0050,5,130,202,154,15.17,1510,55,0.018,0.131,0.0367,202,384,328,57.44,18692,224,0.222,0.530,0.0120,384,535,442,71.95,18318,78,0.218,0.184,0.0042,535,614,601,7.85,1593,7,0.019,0.016,0.0042,614,755,736,382.27,44168,61,0.525,0.145,0.0014
"Sweden","Varmland","",0,282413,60185,218,21310.99,771.92,0.0036,5,231,377,329,33.26,6586,86,0.109,0.393,0.0130,377,553,446,58.83,12710,56,0.211,0.257,0.0044,553,622,566,7.72,1004,8,0.017,0.038,0.0082,622,754,736,472.80,38996,31,0.648,0.142,0.0008,754,755,754,130.55,706,3,0.012,0.013,0.0040
"Sweden","Vasterbotten","",0,271736,51021,191,18775.94,702.89,0.0037,5,133,210,178,4.62,445,3,0.009,0.016,0.0069,229,361,328,54.49,8708,73,0.171,0.380,0.0083,361,532,393,64.28,13941,79,0.273,0.415,0.0057,532,650,567,15.42,2898,19,0.057,0.100,0.0066,650,755,735,273.99,25211,19,0.494,0.102,0.0008
"Sweden","Vasternorrland","",0,245347,49852,404,20318.98,1646.65,0.0081,5,130,214,154,9.97,1032,45,0.021,0.110,0.0432,228,394,329,80.76,12522,258,0.251,0.639,0.0206,394,537,449,94.05,12574,88,0.252,0.219,0.0070,537,613,582,4.44,583,1,0.012,0.002,0.0017,613,755,736,328.68,23207,11,0.466,0.027,0.0005
"Sweden","Vastmanland","",0,275845,70923,255,25711.18,924.43,0.0036,5,131,212,143,13.61,1310,34,0.018,0.135,0.0262,223,391,308,73.11,14839,132,0.209,0.517,0.0089,391,534,442,48.96,10123,39,0.143,0.152,0.0038,534,599,582,12.04,1339,3,0.019,0.011,0.0022,599,755,736,495.25,43393,48,0.612,0.189,0.0011
"Sweden","Vastra Gotaland","",0,1725881,417315,2149,24179.82,1245.16,0.0051,5,129,212,142,20.49,12685,248,0.030,0.116,0.0196,226,385,350,72.67,84746,1104,0.203,0.514,0.0130,385,534,448,59.25,87590,438,0.210,0.204,0.0050,534,636,599,14.15,12523,46,0.030,0.021,0.0036,636,755,736,413.71,221418,320,0.531,0.149,0.0014
