Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Alabama","",1001,4959043,1266566,17648,25540.53,3558.75,0.0139,5,57,237,176,36.53,139661,2378,0.110,0.135,0.0170,237,446,350,81.75,380889,8350,0.301,0.473,0.0219,446,510,478,21.86,28757,575,0.023,0.033,0.0200,510,669,586,92.51,295001,4794,0.233,0.272,0.0163,669,755,728,291.34,424203,1590,0.335,0.090,0.0037
"US","Alaska","",2013,735124,234183,1115,31856.26,1516.75,0.0048,5,216,405,317,92.94,53967,265,0.230,0.238,0.0049,405,507,437,25.57,11989,75,0.051,0.067,0.0062,507,683,613,160.27,81564,512,0.348,0.459,0.0063,683,738,731,357.34,59640,200,0.255,0.179,0.0033,738,755,738,298.10,24769,36,0.106,0.032,0.0014
"US","Arizona","",4001,7350602,1954739,27213,26592.91,3702.15,0.0139,5,58,235,164,48.68,208688,5324,0.107,0.196,0.0255,235,446,352,126.31,641800,11787,0.328,0.433,0.0184,446,505,462,10.04,36151,653,0.018,0.024,0.0181,505,624,584,43.38,226310,2547,0.116,0.094,0.0113,624,755,728,287.12,845722,6977,0.433,0.256,0.0082
"US","Arkansas","",5001,3035276,809648,10137,26674.61,3339.73,0.0125,4,57,211,185,25.61,54845,648,0.068,0.064,0.0118,211,451,351,95.58,278927,5055,0.345,0.499,0.0181,451,650,563,74.71,180996,2727,0.224,0.269,0.0151,650,755,723,287.69,295995,1738,0.366,0.171,0.0059,,,,,,,,,
"US","California","",6001,41183542,8856822,83086,21505.73,2017.46,0.0094,4,57,251,181,22.67,818315,15644,0.092,0.188,0.0191,251,503,330,104.10,3048057,46967,0.344,0.565,0.0154,503,660,576,36.16,1132374,10496,0.128,0.126,0.0093,660,755,721,282.69,3867551,10172,0.437,0.122,0.0026,,,,,,,,,
"US","Colorado","",8001,6276142,1295247,11664,20637.63,1858.47,0.0090,5,55,142,94,8.50,28788,1583,0.022,0.136,0.0550,217,408,301,78.53,378397,4054,0.292,0.348,0.0107,408,522,459,27.23,123686,803,0.095,0.069,0.0065,522,673,664,50.26,261837,2285,0.202,0.196,0.0087,673,755,720,232.82,479543,2641,0.370,0.226,0.0055
"US","Connecticut","",9001,4508618,715610,10313,15872.05,2287.40,0.0144,5,56,172,89,21.57,47351,4360,0.066,0.423,0.0921,172,408,354,58.23,237608,3338,0.332,0.324,0.0140,408,515,431,27.72,64547,586,0.090,0.057,0.0091,515,637,602,15.81,50385,457,0.070,0.044,0.0091,637,755,717,203.58,316976,1591,0.443,0.154,0.0050
"US","Delaware","",10001,1154550,253970,2648,21997.31,2293.53,0.0104,5,57,148,95,17.36,10523,549,0.041,0.207,0.0521,214,413,323,69.01,72382,874,0.285,0.330,0.0121,413,521,449,31.08,20745,212,0.082,0.080,0.0102,521,650,605,39.62,34941,406,0.138,0.153,0.0116,650,755,720,262.88,109639,554,0.432,0.209,0.0051
"US","District of Columbia","",11001,1411498,133342,1310,9446.84,928.09,0.0098,5,56,161,103,12.82,10346,553,0.078,0.422,0.0534,161,239,198,5.40,4462,67,0.033,0.051,0.0150,239,514,354,20.94,34510,523,0.259,0.399,0.0151,514,652,601,17.64,15436,52,0.116,0.040,0.0034,652,755,707,147.67,68750,118,0.516,0.090,0.0017
"US","Florida","",12001,21746763,5784439,67965,26599.08,3125.29,0.0117,5,105,247,175,52.35,657948,12340,0.114,0.182,0.0188,247,420,351,72.09,1296836,18760,0.224,0.276,0.0145,420,504,449,28.97,351144,4658,0.061,0.069,0.0133,504,661,568,106.94,1373753,23613,0.237,0.347,0.0172,661,755,717,293.86,2077251,7367,0.359,0.108,0.0035
