Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Ukraine","Cherkasy Oblast","",0,1206351,153515,2860,12725.57,2370.79,0.0186,5,133,153,140,0.93,188,6,0.001,0.002,0.0295,164,388,306,56.89,46444,563,0.303,0.197,0.0121,388,545,442,53.70,35055,733,0.228,0.256,0.0209,545,708,645,53.30,46544,1283,0.303,0.448,0.0276,708,755,752,90.50,25540,284,0.166,0.099,0.0111
"Ukraine","Chernihiv Oblast","",0,1005745,119129,2675,11844.85,2659.72,0.0225,5,130,160,140,1.69,356,4,0.003,0.002,0.0124,160,385,308,50.63,33942,677,0.285,0.253,0.0199,385,539,443,42.88,23224,667,0.195,0.249,0.0287,539,704,654,64.12,36555,1032,0.307,0.386,0.0282,704,755,752,107.02,25239,308,0.212,0.115,0.0122
"Ukraine","Chernivtsi Oblast","",0,904374,144369,3098,15963.42,3425.57,0.0215,4,127,351,302,47.28,37712,658,0.261,0.212,0.0174,351,536,416,58.46,39075,996,0.271,0.321,0.0255,536,694,645,66.02,37887,1141,0.262,0.368,0.0301,694,755,738,108.79,29959,314,0.208,0.101,0.0105,,,,,,,,,
"Ukraine","Crimea Republic*","",0,1913731,146444,4811,7652.28,2513.94,0.0329,5,138,151,144,0.71,166,2,0.001,0.000,0.0130,158,422,333,18.37,36243,1010,0.247,0.210,0.0279,422,594,545,20.69,35986,1280,0.246,0.266,0.0356,594,710,665,44.53,54374,2085,0.371,0.433,0.0383,710,755,755,57.60,19977,470,0.136,0.098,0.0235
"Ukraine","Dnipropetrovsk Oblast","",0,3206477,283812,9270,8851.21,2891.02,0.0327,5,182,185,183,0.52,65,1,0.000,0.000,0.0164,195,381,309,38.16,67288,1828,0.237,0.197,0.0272,381,538,443,34.39,67382,2612,0.237,0.282,0.0388,538,706,654,58.66,105749,4318,0.373,0.466,0.0408,706,755,753,62.25,43258,526,0.152,0.057,0.0122
"Ukraine","Donetsk Oblast","",0,4165901,203072,5455,4874.62,1309.44,0.0269,5,159,167,163,0.64,220,1,0.001,0.000,0.0046,215,386,323,12.49,44076,985,0.217,0.181,0.0223,386,532,444,18.07,45610,1365,0.225,0.250,0.0299,532,707,641,24.68,76361,2718,0.376,0.498,0.0356,707,755,750,35.76,36364,386,0.179,0.071,0.0106
"Ukraine","Ivano-Frankivsk Oblast","",0,1373252,176759,3327,12871.56,2422.72,0.0188,5,130,239,218,12.49,10440,190,0.059,0.057,0.0182,239,348,309,42.03,31964,548,0.181,0.165,0.0172,348,515,402,51.30,43041,1275,0.244,0.383,0.0296,544,694,657,54.69,38198,901,0.216,0.271,0.0236,694,755,735,147.95,53401,410,0.302,0.123,0.0077
"Ukraine","Kharkiv Oblast","",0,2675598,292964,6697,10949.48,2502.99,0.0229,4,131,379,288,29.66,77502,1354,0.265,0.202,0.0175,379,535,441,43.79,70350,2163,0.240,0.323,0.0307,535,698,647,56.35,92395,2620,0.315,0.391,0.0284,698,755,747,71.63,53100,588,0.181,0.088,0.0111,,,,,,,,,
"Ukraine","Kherson Oblast","",0,1037640,100207,2830,9657.20,2727.34,0.0282,5,199,202,201,0.51,21,1,0.000,0.000,0.0404,211,393,320,27.66,21068,615,0.210,0.217,0.0292,393,532,443,25.88,14523,528,0.145,0.187,0.0364,532,701,643,102.47,42586,1507,0.425,0.532,0.0354,701,755,752,108.47,21990,184,0.219,0.065,0.0084
"Ukraine","Khmelnytskyi Oblast","",0,1264705,192158,3594,15193.90,2841.77,0.0187,5,132,138,135,0.59,49,2,0.000,0.000,0.0329,142,374,292,38.25,43279,771,0.225,0.214,0.0178,374,538,437,68.93,45330,1101,0.236,0.306,0.0243,538,701,646,76.03,56117,1372,0.292,0.382,0.0245,701,755,744,151.58,47677,361,0.248,0.101,0.0076
"Ukraine","Kiev","",0,2950800,408437,8704,13841.57,2949.71,0.0213,4,129,383,321,53.33,127404,2380,0.312,0.273,0.0187,383,547,443,44.86,87203,2785,0.214,0.320,0.0319,547,706,652,46.59,111852,2918,0.274,0.335,0.0261,706,755,755,116.96,83198,648,0.204,0.074,0.0078,,,,,,,,,
"Ukraine","Kiev Oblast","",0,1767940,214657,4876,12141.65,2758.01,0.0227,4,130,380,308,53.17,68447,1115,0.319,0.229,0.0163,380,547,440,53.52,58142,1617,0.271,0.332,0.0278,547,706,659,46.47,56659,1864,0.264,0.382,0.0329,706,755,745,65.27,31827,293,0.148,0.060,0.0092,,,,,,,,,
"Ukraine","Kirovohrad Oblast","",0,945549,40780,1678,4312.84,1774.63,0.0411,5,144,152,149,0.56,46,1,0.001,0.001,0.0213,216,383,317,15.99,9211,295,0.226,0.176,0.0321,383,522,457,18.91,10648,500,0.261,0.298,0.0470,553,710,669,19.27,12389,665,0.304,0.397,0.0537,710,755,753,41.33,8243,187,0.202,0.111,0.0227
"Ukraine","Luhansk Oblast","",0,2151833,74667,2334,3469.93,1084.66,0.0313,5,219,394,337,7.49,14397,440,0.193,0.188,0.0305,394,517,449,9.89,11872,496,0.159,0.212,0.0418,522,526,526,0.57,58,6,0.001,0.002,0.0981,526,702,638,24.90,32809,1228,0.439,0.526,0.0374,702,755,746,29.10,15361,166,0.206,0.071,0.0108
"Ukraine","Lviv Oblast","",0,2522021,293989,6384,11656.88,2531.30,0.0217,5,128,180,154,7.09,6419,155,0.022,0.024,0.0242,180,376,310,26.10,63319,1881,0.215,0.295,0.0297,376,539,439,46.76,66710,1590,0.227,0.249,0.0238,539,696,645,54.98,78953,2157,0.269,0.338,0.0273,696,755,741,117.93,79261,626,0.270,0.098,0.0079
"Ukraine","Mykolaiv Oblast","",0,2522021,135684,3448,5379.97,1367.16,0.0254,4,200,386,311,17.81,39282,713,0.290,0.207,0.0182,386,548,451,15.97,30380,1137,0.224,0.330,0.0374,548,708,660,35.54,44972,1409,0.331,0.409,0.0313,708,755,752,37.23,20849,191,0.154,0.055,0.0092,,,,,,,,,
"Ukraine","Odessa Oblast","",0,2380308,308074,5792,12942.61,2433.30,0.0188,4,134,383,314,42.97,81575,1334,0.265,0.230,0.0164,383,525,438,48.59,58244,1629,0.189,0.281,0.0280,525,702,649,74.54,97472,2518,0.316,0.435,0.0258,702,755,749,138.20,71113,324,0.231,0.056,0.0045,,,,,,,,,
"Ukraine","Poltava Oblast","",0,1400439,167932,4069,11991.38,2905.52,0.0242,5,186,194,190,0.60,72,1,0.000,0.000,0.0144,203,388,320,38.53,43992,920,0.262,0.226,0.0209,388,542,446,42.49,33683,935,0.201,0.230,0.0278,542,709,659,74.05,61810,1854,0.368,0.456,0.0300,709,755,750,77.82,28565,372,0.170,0.091,0.0130
"Ukraine","Rivne Oblast","",0,1157301,164016,2443,14172.29,2110.95,0.0149,4,127,383,296,37.11,44913,549,0.274,0.225,0.0122,383,541,439,44.35,33029,621,0.201,0.254,0.0188,548,702,651,69.79,47002,1026,0.287,0.420,0.0218,702,755,745,146.32,39276,255,0.239,0.104,0.0065,,,,,,,,,
"Ukraine","Sevastopol*","",0,443211,65708,2033,14825.44,4586.98,0.0309,4,146,468,373,22.48,13963,629,0.213,0.310,0.0451,468,600,573,51.21,14535,439,0.221,0.216,0.0302,600,707,657,79.52,24019,769,0.366,0.378,0.0320,707,755,754,140.57,13336,206,0.203,0.101,0.0154,,,,,,,,,
"Ukraine","Sumy Oblast","",0,1081417,174632,3115,16148.44,2880.48,0.0178,5,149,151,149,0.50,16,0,0.000,0.000,0.0000,179,383,310,73.62,46114,626,0.264,0.201,0.0136,383,537,438,54.64,31682,698,0.181,0.224,0.0220,537,697,647,96.63,51331,1424,0.294,0.457,0.0277,697,755,744,146.23,45559,375,0.261,0.120,0.0082
"Ukraine","Ternopil Oblast","",0,1045879,141071,2319,13488.27,2217.27,0.0164,5,130,272,238,30.19,16645,202,0.118,0.087,0.0121,272,365,307,28.81,18940,279,0.134,0.121,0.0148,365,523,439,51.66,33607,696,0.238,0.300,0.0207,546,696,644,55.13,35611,845,0.252,0.364,0.0237,696,755,742,128.73,36660,302,0.260,0.130,0.0082
"Ukraine","Vinnytsia Oblast","",0,1560394,144444,3440,9256.89,2204.57,0.0238,4,130,349,309,16.67,22074,391,0.153,0.114,0.0177,349,531,420,47.82,48189,1288,0.334,0.374,0.0267,531,701,664,46.24,39869,1332,0.276,0.387,0.0334,701,755,739,85.79,34598,444,0.240,0.129,0.0128,,,,,,,,,
"Ukraine","Volyn Oblast","",0,1035329,123967,2315,11973.68,2236.00,0.0187,5,130,181,159,6.44,2398,51,0.019,0.022,0.0214,181,376,303,37.99,33585,503,0.271,0.217,0.0150,376,535,443,36.61,25438,623,0.205,0.269,0.0245,562,710,660,55.27,41430,976,0.334,0.422,0.0236,710,755,749,91.55,21216,164,0.171,0.071,0.0077
"Ukraine","Zakarpattia Oblast","",0,1256802,107958,2627,8589.90,2090.23,0.0243,5,130,188,168,6.72,3741,150,0.035,0.057,0.0402,188,350,292,27.84,23805,474,0.221,0.180,0.0199,350,520,407,40.45,33452,956,0.310,0.364,0.0286,554,704,671,32.00,24879,708,0.230,0.270,0.0285,704,755,743,59.19,22213,349,0.206,0.133,0.0157
"Ukraine","Zaporizhia Oblast","",0,1705836,203787,5726,11946.46,3356.71,0.0281,4,181,395,313,53.03,67950,1025,0.333,0.179,0.0151,395,538,444,36.83,36295,1414,0.178,0.247,0.0390,538,712,644,71.38,77626,2840,0.381,0.496,0.0366,712,755,751,66.21,21919,465,0.108,0.081,0.0212,,,,,,,,,
"Ukraine","Zhytomyr Oblast","",0,1220193,183149,3452,15009.84,2829.06,0.0188,5,129,166,148,2.16,726,17,0.004,0.005,0.0231,166,368,299,45.75,41993,694,0.229,0.201,0.0165,368,538,421,63.69,45269,1074,0.247,0.311,0.0237,538,700,645,80.68,50732,1400,0.277,0.406,0.0276,700,755,743,159.81,44719,277,0.244,0.080,0.0062
