Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"United Kingdom","Anguilla","",0,15002,2496,9,16637.78,599.92,0.0036,5,303,326,318,3.20,7,0,0.003,0.000,0.0000,410,439,417,2.47,7,0,0.003,0.000,0.0000,445,483,459,43.79,84,0,0.034,0.000,0.0000,560,688,627,130.38,1391,4,0.557,0.436,0.0028,688,755,721,211.44,1005,5,0.403,0.579,0.0052
"United Kingdom","Bermuda","",0,62272,11246,121,18059.48,1943.09,0.0108,5,55,131,83,6.87,140,9,0.012,0.075,0.0649,268,377,326,26.90,506,3,0.045,0.025,0.0059,387,515,444,93.72,1809,21,0.161,0.174,0.0116,515,664,604,192.21,3208,73,0.285,0.604,0.0228,664,755,725,306.33,5539,15,0.492,0.124,0.0027
"United Kingdom","British Virgin Islands","",0,30237,5999,61,19839.93,2017.40,0.0102,5,204,249,221,10.38,61,0,0.010,0.000,0.0000,429,487,479,11.15,95,0,0.016,0.000,0.0000,509,600,539,465.65,2394,36,0.399,0.590,0.0150,613,633,623,30.76,83,0,0.014,0.000,0.0000,649,755,721,441.84,3274,25,0.546,0.405,0.0075
"United Kingdom","Cayman Islands","",0,65720,17825,16,27122.64,243.46,0.0009,5,82,164,119,6.59,148,0,0.008,0.000,0.0000,252,382,346,4.85,194,1,0.011,0.063,0.0052,382,527,414,3.39,210,0,0.012,0.000,0.0000,533,695,666,399.00,7450,7,0.418,0.444,0.0010,695,755,745,429.43,9799,7,0.550,0.435,0.0007
"United Kingdom","Channel Islands","",0,0,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom","England","",0,55977200,15453895,102438,27607.48,1830.00,0.0066,4,161,305,295,38.99,1051189,9061,0.068,0.088,0.0086,305,465,350,91.84,2581126,64292,0.167,0.628,0.0249,465,583,542,71.03,1928111,3954,0.125,0.039,0.0021,583,755,740,284.84,9931365,23233,0.643,0.227,0.0023,,,,,,,,,
"United Kingdom","Falkland Islands","",0,3483,100,0,2871.09,0.00,0.0000,5,66,100,81,22.68,13,0,0.130,0.000,0.0000,287,341,330,23.83,16,0,0.159,0.000,0.0000,349,398,383,32.16,25,0,0.250,0.000,0.0000,644,666,656,31.58,10,0,0.101,0.000,0.0000,707,755,755,39.05,18,0,0.177,0.000,0.0000
"United Kingdom","Gibraltar","",0,33691,14566,101,43234.10,2997.83,0.0069,5,48,113,66,20.42,147,0,0.010,0.000,0.0000,178,299,293,42.44,723,2,0.050,0.017,0.0024,299,452,348,337.57,3397,93,0.233,0.917,0.0273,483,598,545,84.47,1137,3,0.078,0.030,0.0027,598,755,733,436.97,9149,4,0.628,0.040,0.0004
"United Kingdom","Isle of Man","",0,85032,22178,77,26081.95,905.54,0.0035,5,55,117,78,16.24,334,24,0.015,0.310,0.0714,387,442,412,80.63,1137,4,0.051,0.052,0.0035,515,599,546,244.05,5409,9,0.244,0.117,0.0017,599,648,638,99.88,2679,20,0.121,0.253,0.0073,648,755,714,631.61,12571,20,0.567,0.260,0.0016
"United Kingdom","Montserrat","",0,4999,163,2,3260.65,400.08,0.0123,5,50,89,63,9.20,11,0,0.067,0.080,0.0146,373,395,382,12.60,7,0,0.043,0.000,0.0000,557,632,622,15.40,20,0,0.123,0.000,0.0000,660,674,667,6.80,3,0,0.018,0.000,0.0000,692,744,715,133.63,119,0,0.730,0.080,0.0013
