Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Alabama","Autauga",1001,55869,15358,177,27489.31,3168.13,0.0115,5,59,229,175,32.13,1500,23,0.098,0.130,0.0154,251,474,350,126.73,5160,82,0.336,0.464,0.0159,517,674,585,97.23,3267,44,0.213,0.247,0.0134,674,738,738,318.03,3573,9,0.233,0.052,0.0026,738,755,738,318.03,1461,12,0.095,0.067,0.0081
"US","Alabama","Baldwin",1003,223234,54572,628,24446.10,2813.19,0.0115,5,117,228,181,47.02,4450,33,0.082,0.053,0.0075,228,264,250,35.66,1547,24,0.028,0.038,0.0153,264,444,347,78.95,14409,237,0.264,0.377,0.0164,504,668,574,122.67,16232,274,0.297,0.437,0.0169,668,755,727,245.38,16621,43,0.305,0.068,0.0026
"US","Alabama","Barbour",1005,24685,5416,90,21940.45,3645.94,0.0166,5,68,226,175,45.61,768,7,0.142,0.078,0.0092,226,293,273,27.99,341,2,0.063,0.022,0.0058,293,506,369,72.31,1242,50,0.229,0.557,0.0404,522,672,586,100.22,1343,20,0.248,0.223,0.0150,672,755,726,231.23,1732,10,0.320,0.113,0.0058
"US","Alabama","Bibb",1007,22394,6333,98,28279.90,4376.17,0.0155,5,61,232,196,40.06,591,6,0.093,0.064,0.0106,232,449,328,112.57,1975,53,0.312,0.545,0.0270,449,510,479,21.70,117,5,0.018,0.049,0.0414,510,670,589,122.49,1658,29,0.262,0.300,0.0177,670,755,728,317.50,1999,5,0.316,0.048,0.0023
"US","Alabama","Blount",1009,57826,14585,213,25222.22,3683.46,0.0146,5,101,247,181,40.26,1572,15,0.108,0.069,0.0094,247,444,324,111.99,4877,120,0.334,0.561,0.0245,444,513,479,25.63,466,5,0.032,0.024,0.0111,513,673,584,94.85,3745,52,0.257,0.246,0.0140,673,755,728,215.73,3911,22,0.268,0.103,0.0056
"US","Alabama","Bullock",1011,10101,2268,49,22453.22,4851.00,0.0216,5,59,173,124,135.93,377,10,0.166,0.205,0.0267,173,279,200,52.37,274,7,0.121,0.143,0.0256,279,471,342,114.84,582,24,0.257,0.491,0.0414,535,649,584,50.99,275,2,0.121,0.040,0.0071,677,755,727,215.03,743,4,0.327,0.082,0.0054
"US","Alabama","Butler",1013,19448,5007,112,25745.58,5758.95,0.0224,5,72,239,109,68.03,893,38,0.178,0.338,0.0423,239,459,347,65.56,1252,31,0.250,0.278,0.0249,459,509,479,18.87,92,2,0.018,0.022,0.0267,509,674,583,84.22,1197,29,0.239,0.260,0.0243,674,755,716,213.03,1577,12,0.315,0.108,0.0077
"US","Alabama","Calhoun",1015,113605,31269,568,27524.32,4999.78,0.0182,5,63,116,75,4.32,136,3,0.004,0.005,0.0221,116,243,189,51.26,3199,37,0.102,0.064,0.0114,243,507,331,101.50,11393,286,0.364,0.504,0.0251,507,668,606,131.55,7845,192,0.251,0.339,0.0245,668,755,728,254.66,8742,51,0.280,0.090,0.0059
"US","Alabama","Chambers",1017,33254,8386,149,25218.02,4480.66,0.0178,5,55,114,78,40.81,334,22,0.040,0.147,0.0655,114,229,141,30.67,730,18,0.087,0.122,0.0250,229,440,351,95.51,2435,81,0.290,0.542,0.0332,516,661,587,102.15,2072,20,0.247,0.137,0.0098,673,755,716,233.69,2606,7,0.311,0.047,0.0027
"US","Alabama","Cherokee",1019,26196,5019,74,19159.41,2824.86,0.0147,5,64,206,194,25.27,336,8,0.067,0.109,0.0241,206,256,241,29.39,298,5,0.059,0.068,0.0169,256,503,332,52.72,1245,32,0.248,0.433,0.0258,525,661,589,96.58,1241,17,0.247,0.230,0.0137,661,755,727,273.78,1908,12,0.380,0.166,0.0064
"US","Alabama","Chilton",1021,44428,10381,185,23365.90,4164.04,0.0178,5,59,207,182,45.76,919,9,0.089,0.048,0.0098,207,280,219,49.29,1012,23,0.097,0.127,0.0232,280,434,349,67.46,2128,77,0.205,0.416,0.0361,513,673,586,88.48,2533,54,0.244,0.292,0.0213,673,755,727,252.14,3384,15,0.326,0.082,0.0045
"US","Alabama","Choctaw",1023,12588,1954,33,15522.72,2621.54,0.0169,5,60,153,118,53.30,185,12,0.095,0.361,0.0644,153,234,182,25.98,149,0,0.076,0.007,0.0016,289,393,331,23.67,143,11,0.073,0.333,0.0769,501,671,621,90.32,317,3,0.162,0.092,0.0096,671,755,730,283.52,1025,5,0.525,0.151,0.0049
"US","Alabama","Clarke",1025,23622,6977,93,29536.03,3937.01,0.0133,5,66,237,199,159.34,1031,15,0.148,0.163,0.0147,237,286,274,50.67,388,3,0.056,0.030,0.0071,286,424,325,198.71,2060,40,0.295,0.427,0.0193,526,674,589,92.41,1315,25,0.188,0.270,0.0191,674,755,727,378.46,2132,7,0.306,0.076,0.0033
"US","Alabama","Clay",1027,13235,4042,73,30540.23,5515.68,0.0181,5,127,295,235,69.74,808,12,0.200,0.158,0.0142,295,433,350,65.13,654,41,0.162,0.559,0.0623,433,516,469,28.18,120,5,0.030,0.069,0.0419,516,671,585,141.67,907,10,0.224,0.138,0.0111,671,755,728,443.29,1536,4,0.380,0.056,0.0026
"US","Alabama","Cleburne",1029,14909,3512,65,23556.24,4359.78,0.0185,5,127,263,232,52.99,460,5,0.131,0.078,0.0111,263,337,330,63.05,511,10,0.146,0.149,0.0189,337,467,351,64.52,512,25,0.146,0.392,0.0497,511,671,610,202.16,1010,16,0.288,0.252,0.0162,671,738,737,221.21,751,3,0.214,0.043,0.0037
"US","Alabama","Coffee",1031,52342,13231,214,25277.98,4088.49,0.0162,5,109,231,210,31.08,1028,5,0.078,0.023,0.0047,231,441,351,108.35,4233,107,0.320,0.499,0.0252,441,500,478,15.86,220,11,0.017,0.054,0.0521,500,669,564,123.95,3784,69,0.286,0.323,0.0183,669,755,728,248.23,3839,23,0.290,0.107,0.0060
"US","Alabama","Colbert",1033,55240,15965,224,28901.16,4055.03,0.0140,5,63,233,176,52.23,1529,23,0.096,0.101,0.0148,233,497,314,87.78,4831,116,0.303,0.517,0.0240,497,508,504,8.20,46,1,0.003,0.006,0.0316,508,674,587,72.34,2930,69,0.184,0.307,0.0235,674,755,728,521.65,6646,16,0.416,0.073,0.0025
"US","Alabama","Conecuh",1035,12067,2819,63,23361.23,5220.85,0.0223,5,100,253,183,59.83,527,12,0.187,0.184,0.0220,253,328,317,56.02,250,4,0.089,0.060,0.0150,328,454,348,52.13,315,13,0.112,0.206,0.0412,454,675,584,114.20,832,34,0.295,0.540,0.0409,675,755,727,278.11,892,1,0.316,0.016,0.0011
