Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Alaska","Aleutians East",2013,3337,1011,3,30296.67,899.01,0.0030,5,269,320,308,49.15,36,0,0.036,0.000,0.0000,353,428,380,704.82,325,2,0.321,0.670,0.0062,537,585,565,46.15,32,0,0.032,0.000,0.0000,585,681,618,47.35,51,0,0.051,0.000,0.0000,698,755,738,1022.48,560,0,0.554,0.000,0.0000
"US","Alaska","Aleutians West",2016,5634,1670,2,29641.46,354.99,0.0012,5,266,310,279,186.37,102,0,0.061,0.000,0.0000,310,485,393,212.99,594,1,0.355,0.505,0.0017,485,566,553,85.02,88,0,0.053,0.000,0.0000,566,675,611,80.05,157,1,0.094,0.505,0.0064,675,755,729,622.12,726,0,0.435,0.000,0.0000
"US","Alaska","Anchorage",2020,288000,98904,481,34341.67,1670.14,0.0049,5,125,219,189,24.80,2675,17,0.027,0.035,0.0062,219,396,299,121.01,23551,135,0.238,0.280,0.0057,396,501,436,27.31,4502,25,0.046,0.052,0.0055,501,680,612,144.88,30654,221,0.310,0.460,0.0072,680,755,729,434.37,37489,82,0.379,0.170,0.0022
"US","Alaska","Bethel",2050,18386,8733,37,47498.10,2012.40,0.0042,5,140,336,309,245.24,2118,8,0.243,0.224,0.0039,336,505,345,318.07,1803,14,0.206,0.375,0.0077,505,694,622,186.07,2984,6,0.342,0.154,0.0019,694,754,742,343.74,1831,10,0.210,0.259,0.0052,754,755,754,99.31,35,0,0.004,0.000,0.0000
"US","Alaska","Bristol Bay",2060,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Alaska","Bristol Bay plus Lake and Peninsula",2164,2427,785,1,32344.46,412.03,0.0013,5,261,351,279,356.00,161,0,0.205,0.000,0.0000,351,371,361,31.73,9,0,0.012,0.000,0.0000,415,488,425,37.08,21,0,0.027,0.000,0.0000,539,687,612,312.73,353,1,0.450,1.010,0.0029,687,755,737,393.49,230,0,0.294,0.000,0.0000
"US","Alaska","Denali",2068,2097,379,1,18073.44,476.87,0.0026,5,239,339,278,62.47,58,0,0.153,0.000,0.0000,362,380,368,22.89,5,0,0.013,0.000,0.0000,386,509,429,44.83,44,0,0.116,0.000,0.0000,517,691,591,132.57,184,1,0.486,1.010,0.0055,691,755,732,154.98,83,0,0.220,0.000,0.0000
"US","Alaska","Dillingham",2070,4916,1496,11,30431.24,2237.59,0.0074,5,228,324,279,84.01,103,1,0.069,0.092,0.0098,324,415,351,51.87,100,0,0.067,0.000,0.0000,435,466,446,37.84,21,1,0.014,0.092,0.0482,536,685,640,259.15,739,7,0.494,0.635,0.0094,685,755,742,423.11,526,2,0.351,0.191,0.0040
"US","Alaska","Fairbanks North Star",2090,96849,26544,124,27407.61,1280.34,0.0047,5,138,404,323,74.85,6179,26,0.233,0.208,0.0042,404,517,460,58.15,1829,17,0.069,0.135,0.0091,517,684,613,190.08,9194,64,0.346,0.516,0.0070,684,738,733,358.07,6698,16,0.252,0.128,0.0024,738,755,738,303.29,2885,0,0.109,0.003,0.0001
"US","Alaska","Haines",2100,2529,502,1,19849.74,395.41,0.0020,5,272,302,279,32.82,10,0,0.020,0.000,0.0000,317,366,326,12.65,7,0,0.014,0.000,0.0000,366,393,371,8.30,3,0,0.006,0.000,0.0000,556,669,572,275.21,208,1,0.414,1.010,0.0049,669,755,741,293.00,264,0,0.526,0.000,0.0000
