Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Arizona","Apache",4001,71886,21469,576,29865.34,8012.69,0.0268,5,57,228,129,60.90,3365,154,0.157,0.268,0.0458,228,341,323,115.66,3924,76,0.183,0.131,0.0193,341,497,369,112.86,4183,205,0.195,0.356,0.0490,604,679,640,96.08,2504,52,0.117,0.090,0.0206,679,738,733,252.18,4792,58,0.223,0.101,0.0121
"US","Arizona","Cochise",4003,125922,30410,529,24149.87,4201.01,0.0174,5,113,237,168,28.13,1821,67,0.060,0.126,0.0367,237,517,334,116.38,10315,225,0.339,0.426,0.0218,517,683,682,71.92,6386,114,0.210,0.215,0.0178,683,738,731,311.13,9036,102,0.297,0.194,0.0113,738,755,738,238.81,3207,26,0.105,0.050,0.0082
"US","Arizona","Coconino",4005,143476,42602,448,29692.77,3122.47,0.0105,5,55,210,162,33.92,3203,121,0.075,0.270,0.0377,210,436,354,119.43,13926,204,0.327,0.456,0.0147,436,481,445,17.10,772,6,0.018,0.014,0.0078,495,671,660,57.82,7128,50,0.167,0.112,0.0070,671,755,727,360.76,17675,69,0.415,0.154,0.0039
"US","Arizona","Gila",4007,54018,16631,346,30787.89,6405.27,0.0208,5,225,412,351,103.24,5311,169,0.319,0.488,0.0318,482,618,579,71.33,2104,33,0.127,0.094,0.0155,618,686,665,93.10,2491,22,0.150,0.063,0.0088,686,738,729,273.11,3915,54,0.235,0.156,0.0138,738,755,738,226.98,1392,12,0.084,0.035,0.0087
"US","Arizona","Graham",4009,38837,11747,168,30246.93,4325.77,0.0143,5,234,414,352,211.89,4555,53,0.388,0.314,0.0116,521,620,588,91.41,1433,17,0.122,0.104,0.0122,620,691,667,84.94,1778,42,0.151,0.250,0.0236,691,738,731,280.84,2186,21,0.186,0.125,0.0096,738,755,738,214.28,872,5,0.074,0.030,0.0057
"US","Arizona","Greenlee",4011,9498,2168,31,22825.86,3263.85,0.0143,5,114,199,187,17.27,55,1,0.025,0.033,0.0183,241,437,315,90.23,507,9,0.234,0.293,0.0179,519,626,598,93.49,428,5,0.197,0.176,0.0127,626,687,656,116.34,406,8,0.187,0.244,0.0186,687,755,726,297.75,766,8,0.353,0.269,0.0109
"US","Arizona","La Paz",4012,21108,5063,128,23986.17,6064.05,0.0253,5,60,218,136,61.49,497,15,0.098,0.114,0.0295,218,412,348,181.50,1925,58,0.380,0.456,0.0303,417,460,425,9.14,34,7,0.007,0.053,0.2023,514,646,603,63.63,708,19,0.140,0.150,0.0272,646,755,728,254.22,1882,30,0.372,0.237,0.0161
"US","Arizona","Maricopa",4013,4485414,1232982,15339,27488.70,3419.75,0.0124,5,59,235,164,58.09,137454,3161,0.111,0.206,0.0230,235,438,352,132.37,388517,6528,0.315,0.426,0.0168,438,506,463,11.66,28603,469,0.023,0.031,0.0164,506,628,584,47.47,157962,1599,0.128,0.104,0.0101,628,755,728,295.80,522696,3628,0.424,0.237,0.0069
"US","Arizona","Mohave",4015,212181,56190,1337,26482.11,6301.22,0.0238,4,68,249,173,31.96,3971,226,0.071,0.169,0.0568,249,478,346,129.96,18886,499,0.336,0.373,0.0264,478,636,585,49.45,9806,241,0.175,0.180,0.0245,636,755,729,320.76,23612,375,0.420,0.281,0.0159,,,,,,,,,
"US","Arizona","Navajo",4017,110924,37103,832,33449.03,7500.63,0.0224,5,54,232,156,59.74,5671,225,0.153,0.271,0.0397,232,410,323,110.81,10038,280,0.271,0.336,0.0279,494,597,583,46.46,2499,40,0.067,0.048,0.0161,597,682,661,102.90,6047,106,0.163,0.127,0.0175,682,755,728,321.29,12255,150,0.330,0.180,0.0122
"US","Arizona","Out of AZ",80004,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Arizona","Pima",4019,1047279,246168,3557,23505.48,3396.42,0.0144,5,59,258,163,29.56,26044,628,0.106,0.177,0.0241,258,501,353,116.22,90921,1785,0.369,0.502,0.0196,504,605,584,27.55,15305,158,0.062,0.044,0.0103,605,678,667,56.60,27762,330,0.113,0.093,0.0119,678,755,729,253.77,86923,667,0.353,0.187,0.0077
"US","Arizona","Pinal",4021,462789,127297,1501,27506.49,3243.38,0.0118,4,58,246,167,36.77,10462,206,0.082,0.137,0.0197,246,509,352,127.07,43010,699,0.338,0.466,0.0163,509,626,584,50.34,16796,137,0.132,0.091,0.0081,626,755,729,316.54,57237,462,0.450,0.308,0.0081,,,,,,,,,
"US","Arizona","Santa Cruz",4023,46498,16472,217,35425.18,4666.87,0.0132,5,69,231,146,133.58,2775,60,0.168,0.275,0.0215,231,412,321,158.39,4888,111,0.297,0.513,0.0228,615,679,664,66.71,1129,6,0.069,0.027,0.0052,679,738,730,510.11,5247,15,0.319,0.069,0.0028,738,755,738,412.06,1547,7,0.094,0.031,0.0043
"US","Arizona","Unassigned",90004,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Arizona","Yavapai",4025,235099,46894,1111,19946.49,4725.67,0.0237,5,96,238,159,14.90,2364,79,0.050,0.071,0.0333,238,446,352,90.16,16006,413,0.341,0.371,0.0258,505,620,585,43.79,6968,131,0.149,0.118,0.0188,620,690,667,69.63,8199,228,0.175,0.205,0.0278,690,755,730,151.03,12554,246,0.268,0.221,0.0196
"US","Arizona","Yuma",4027,213787,61539,1089,28785.19,5093.86,0.0177,5,68,69,69,0.51,2,0,0.000,0.000,0.0000,81,237,152,95.57,12423,338,0.202,0.310,0.0272,237,507,324,184.05,24850,508,0.404,0.467,0.0205,507,634,584,40.01,3922,55,0.064,0.050,0.0139,634,755,728,352.49,20370,191,0.331,0.175,0.0094
