Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","California","Alameda",6001,1671329,259356,1678,15517.95,1003.99,0.0065,5,57,259,203,16.72,21957,390,0.085,0.232,0.0177,259,434,354,54.33,63451,826,0.245,0.492,0.0130,434,501,445,7.12,5401,53,0.021,0.031,0.0097,501,655,584,26.71,32061,189,0.124,0.113,0.0059,655,755,720,262.52,136797,228,0.527,0.136,0.0017
"US","California","Alpine",6003,1129,126,0,11160.32,0.00,0.0000,5,272,391,286,170.95,76,0,0.605,0.000,0.0000,391,441,407,31.89,9,0,0.071,0.000,0.0000,549,567,557,19.49,2,0,0.016,0.000,0.0000,573,648,598,46.94,14,0,0.111,0.000,0.0000,662,755,734,50.49,21,0,0.166,0.000,0.0000
"US","California","Amador",6005,39752,8795,77,22124.67,1937.01,0.0088,5,146,251,201,22.46,283,16,0.032,0.208,0.0567,251,477,325,189.80,3402,30,0.387,0.390,0.0088,477,675,567,59.27,2065,20,0.235,0.261,0.0097,675,738,733,269.29,2346,7,0.267,0.088,0.0029,738,755,738,200.42,778,4,0.088,0.055,0.0055
"US","California","Butte",6007,219185,38274,360,17461.96,1642.45,0.0094,5,116,263,222,27.94,2968,52,0.078,0.146,0.0177,263,425,330,76.70,9910,135,0.259,0.375,0.0136,425,516,463,11.20,1659,10,0.043,0.027,0.0059,516,675,586,73.86,10852,115,0.284,0.319,0.0106,675,755,731,178.16,12924,51,0.338,0.143,0.0040
"US","California","Calaveras",6009,45905,7485,106,16305.41,2309.12,0.0142,5,139,247,203,11.70,241,11,0.032,0.102,0.0449,253,392,331,60.30,1619,11,0.216,0.099,0.0065,413,512,417,9.91,280,7,0.037,0.063,0.0240,512,678,579,58.90,2218,32,0.296,0.302,0.0144,678,755,733,217.51,3075,20,0.411,0.188,0.0065
"US","California","Colusa",6011,21547,4417,21,20499.37,974.61,0.0048,5,148,265,179,59.82,536,6,0.121,0.288,0.0113,265,426,330,112.27,1617,7,0.366,0.350,0.0046,524,674,566,73.00,954,4,0.216,0.200,0.0044,674,738,727,140.30,879,2,0.199,0.088,0.0021,738,755,738,121.46,321,0,0.073,0.000,0.0000
"US","California","Contra Costa",6013,1153526,194961,1164,16901.31,1009.08,0.0060,5,56,102,74,2.38,934,28,0.005,0.024,0.0296,102,260,203,23.42,16591,198,0.085,0.170,0.0119,260,499,355,59.69,53419,590,0.274,0.507,0.0111,499,660,585,46.59,31410,217,0.161,0.186,0.0069,660,755,720,249.76,92823,135,0.476,0.116,0.0015
"US","California","Del Norte",6015,27811,5614,45,20186.26,1618.06,0.0080,5,164,253,217,11.43,89,2,0.016,0.045,0.0225,253,377,323,57.57,733,0,0.131,0.000,0.0000,377,509,435,35.31,554,6,0.099,0.133,0.0108,509,650,576,186.29,2226,34,0.397,0.756,0.0153,650,755,738,207.76,1969,3,0.351,0.069,0.0016
"US","California","El Dorado",6017,192843,29040,188,15058.88,974.89,0.0065,5,110,239,182,9.97,1001,4,0.034,0.019,0.0036,239,421,351,68.49,8817,101,0.304,0.537,0.0115,421,504,449,11.52,1191,9,0.041,0.046,0.0073,504,668,586,57.69,7034,48,0.242,0.255,0.0068,668,755,723,160.17,10984,28,0.378,0.148,0.0025
"US","California","Fresno",6019,999101,243167,2536,24338.58,2538.28,0.0104,5,63,257,206,44.78,29414,409,0.121,0.161,0.0139,257,513,331,171.06,82339,1316,0.339,0.519,0.0160,513,518,513,2.56,120,3,0.000,0.001,0.0250,530,677,586,59.64,45329,527,0.186,0.208,0.0116,677,755,730,284.06,86537,285,0.356,0.112,0.0033
