Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Florida","Alachua",12001,269043,66429,549,24690.85,2040.57,0.0083,5,108,204,187,28.57,4091,22,0.062,0.040,0.0054,204,274,238,55.26,5452,47,0.082,0.085,0.0086,274,420,353,67.13,13199,178,0.199,0.324,0.0135,508,665,570,85.83,14572,0,0.219,0.000,0.0000,665,755,726,348.62,26289,265,0.396,0.482,0.0101
"US","Florida","Baker",12003,29210,8543,130,29246.83,4450.53,0.0152,5,139,241,199,223.35,1362,7,0.159,0.050,0.0048,290,424,349,72.17,1496,33,0.175,0.255,0.0222,488,667,563,136.32,2489,1,0.291,0.008,0.0004,667,738,729,307.09,1776,65,0.208,0.496,0.0363,738,755,738,250.36,822,4,0.096,0.029,0.0046
"US","Florida","Bay",12005,174705,45824,754,26229.36,4315.85,0.0165,5,113,252,185,75.48,6035,105,0.132,0.139,0.0174,252,430,368,106.87,13349,266,0.291,0.352,0.0199,502,668,562,129.76,12116,0,0.264,0.000,0.0000,668,738,728,250.94,9695,323,0.212,0.428,0.0333,738,755,738,187.64,3736,39,0.082,0.051,0.0103
"US","Florida","Bradford",12007,28200,7384,133,26184.40,4716.31,0.0180,5,141,278,199,74.65,1172,13,0.159,0.096,0.0109,278,435,334,163.37,1701,40,0.230,0.301,0.0235,495,666,582,150.25,2307,0,0.312,0.002,0.0001,666,738,728,244.43,1418,72,0.192,0.541,0.0507,738,755,738,179.82,663,4,0.090,0.026,0.0053
"US","Florida","Brevard",12009,601941,131075,1935,21775.39,3214.60,0.0148,5,110,224,160,21.89,7070,211,0.054,0.109,0.0298,224,428,352,52.50,29290,580,0.223,0.300,0.0198,428,501,457,21.61,6554,118,0.050,0.061,0.0180,501,663,577,109.10,38788,2,0.296,0.001,0.0000,663,755,725,270.14,49254,1022,0.376,0.528,0.0207
"US","Florida","Broward",12011,1952778,595110,5463,30475.05,2797.55,0.0092,5,112,245,174,72.29,70192,1086,0.118,0.199,0.0155,245,419,351,67.43,129009,1220,0.217,0.223,0.0095,419,504,445,39.36,41555,529,0.070,0.097,0.0127,504,660,570,105.73,115575,0,0.194,0.000,0.0000,660,755,714,359.38,233894,2385,0.393,0.437,0.0102
"US","Florida","Calhoun",12013,14105,4051,85,28720.31,6026.23,0.0210,5,133,244,198,132.51,548,6,0.135,0.075,0.0117,244,494,347,117.62,1098,35,0.271,0.414,0.0320,494,649,576,169.59,1306,-0,0.322,-0.002,-0.0001,667,738,731,236.65,742,40,0.183,0.471,0.0539,738,755,738,211.91,327,0,0.081,0.000,0.0000
"US","Florida","Charlotte",12015,188910,34618,685,18325.13,3626.07,0.0198,5,242,409,349,55.63,7884,244,0.228,0.356,0.0310,409,511,437,24.24,2741,64,0.079,0.094,0.0235,511,666,584,98.49,10115,0,0.292,0.000,0.0000,666,738,727,170.33,8155,241,0.236,0.352,0.0296,738,755,738,121.34,3059,7,0.088,0.010,0.0023
"US","Florida","Citrus",12017,149657,28809,906,19250.02,6053.84,0.0314,5,134,257,181,25.08,2727,98,0.095,0.108,0.0360,257,429,350,53.86,7394,315,0.257,0.348,0.0426,507,665,584,104.90,9154,0,0.318,0.000,0.0000,665,738,728,166.45,5844,390,0.203,0.431,0.0668,738,755,738,136.00,2550,54,0.089,0.060,0.0212
"US","Florida","Clay",12019,219252,52768,764,24067.28,3484.57,0.0145,5,116,257,177,36.75,4985,83,0.094,0.108,0.0166,257,421,350,82.11,11802,217,0.224,0.284,0.0184,421,500,452,19.91,2251,31,0.043,0.040,0.0136,500,664,556,101.83,14691,0,0.278,0.000,0.0000,664,755,726,271.89,18793,413,0.356,0.540,0.0220
"US","Florida","Collier",12021,384902,83112,961,21593.03,2496.74,0.0116,5,56,242,175,54.99,12442,203,0.150,0.211,0.0163,242,413,353,52.90,18573,271,0.223,0.282,0.0146,413,507,445,26.08,6474,81,0.078,0.084,0.0125,507,660,577,85.25,21048,0,0.253,0.000,0.0000,660,755,725,199.34,24726,410,0.298,0.427,0.0166
"US","Florida","Columbia",12023,71686,20922,340,29185.62,4742.91,0.0163,5,111,276,182,159.40,4085,70,0.195,0.207,0.0172,276,425,349,74.84,3605,90,0.172,0.265,0.0250,501,666,570,206.65,6714,0,0.321,0.000,0.0000,666,738,728,269.05,4225,159,0.202,0.467,0.0376,738,755,738,217.38,1864,12,0.089,0.035,0.0064
"US","Florida","DeSoto",12027,38001,9167,141,24123.05,3710.43,0.0154,5,58,248,174,75.05,1560,25,0.170,0.176,0.0159,248,516,303,133.23,2905,73,0.317,0.515,0.0250,516,674,589,153.05,2512,0,0.274,0.000,0.0000,674,738,726,202.36,1617,43,0.176,0.305,0.0266,738,755,738,141.00,629,1,0.069,0.008,0.0019
"US","Florida","Dixie",12029,16826,3974,52,23618.21,3090.46,0.0131,5,136,264,198,184.30,796,9,0.200,0.170,0.0111,264,293,281,19.32,75,0,0.019,0.005,0.0037,293,500,356,72.63,706,13,0.178,0.251,0.0185,500,672,584,133.42,1340,0,0.337,0.000,0.0000,672,755,728,173.72,1007,28,0.253,0.538,0.0278
"US","Florida","Duval",12031,957755,249788,3092,26080.57,3228.38,0.0124,5,106,241,171,56.81,28105,322,0.113,0.104,0.0114,241,426,350,97.82,62602,935,0.251,0.302,0.0149,426,495,449,17.50,9121,210,0.037,0.068,0.0230,495,665,556,123.31,66127,-1,0.265,-0.000,-0.0000,665,755,726,290.27,83104,1610,0.333,0.521,0.0194
"US","Florida","Escambia",12033,318315,80553,1197,25306.06,3760.43,0.0149,5,115,250,175,73.70,11598,211,0.144,0.176,0.0182,250,440,351,98.48,22776,440,0.283,0.368,0.0193,440,505,457,12.33,1703,37,0.021,0.031,0.0220,505,666,583,132.70,20921,0,0.260,0.000,0.0000,666,755,726,228.74,22959,491,0.285,0.410,0.0214
"US","Florida","Flagler",12035,115080,21886,301,19018.07,2615.57,0.0138,5,59,122,92,5.73,172,4,0.008,0.013,0.0234,122,254,182,19.02,1599,23,0.073,0.076,0.0144,254,502,350,52.78,5759,88,0.263,0.291,0.0152,502,660,583,112.48,7023,0,0.321,0.001,0.0000,660,755,726,193.68,7355,188,0.336,0.623,0.0255
"US","Florida","Franklin",12037,12125,3095,46,25525.77,3793.81,0.0149,5,147,240,197,264.91,588,3,0.190,0.065,0.0051,240,311,272,55.26,242,1,0.078,0.022,0.0042,311,431,357,105.73,466,12,0.151,0.269,0.0265,509,658,568,151.09,907,0,0.293,0.000,0.0000,683,755,726,210.31,827,26,0.267,0.565,0.0314
"US","Florida","Gadsden",12039,45660,13273,167,29069.21,3657.47,0.0126,5,68,131,115,27.03,276,2,0.021,0.015,0.0090,131,282,194,114.74,2790,54,0.210,0.321,0.0192,282,435,350,114.63,2476,34,0.187,0.205,0.0138,504,664,569,124.99,2906,-0,0.219,-0.000,-0.0000,664,755,725,248.51,4579,69,0.345,0.412,0.0150
