Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Georgia","Appling",13001,18385,4586,115,24944.25,6255.10,0.0251,5,65,291,204,90.07,1199,38,0.261,0.331,0.0318,291,478,345,89.75,1034,33,0.225,0.288,0.0320,483,496,489,3.05,5,1,0.001,0.007,0.1450,509,673,585,138.81,1219,35,0.266,0.303,0.0285,673,755,729,245.09,1142,8,0.249,0.073,0.0073
"US","Georgia","Atkinson",13003,8165,1972,42,24151.87,5143.91,0.0213,5,69,257,158,71.65,449,3,0.228,0.082,0.0077,257,412,351,99.69,479,15,0.243,0.366,0.0322,418,475,435,22.54,45,3,0.023,0.080,0.0750,521,672,577,142.93,539,14,0.273,0.335,0.0261,672,755,730,183.47,443,5,0.225,0.120,0.0113
"US","Georgia","Bacon",13005,11164,3372,67,30204.23,6001.43,0.0199,5,62,278,162,59.39,635,16,0.188,0.236,0.0249,278,393,351,132.03,635,15,0.188,0.227,0.0240,393,468,428,223.84,298,4,0.088,0.053,0.0119,506,680,581,158.19,994,24,0.295,0.354,0.0239,680,738,728,231.28,596,2,0.177,0.029,0.0033
"US","Georgia","Baker",13007,3038,514,14,16919.03,4608.29,0.0272,5,54,114,79,35.88,33,2,0.064,0.141,0.0603,149,213,190,35.22,36,-0,0.070,-0.008,-0.0030,251,447,363,61.55,129,5,0.250,0.361,0.0393,520,638,584,90.19,137,4,0.267,0.288,0.0293,692,755,727,174.79,154,0,0.300,0.000,0.0000
"US","Georgia","Baldwin",13009,44889,9328,216,20780.15,4811.87,0.0232,5,60,127,90,20.99,339,25,0.036,0.117,0.0743,127,275,216,92.67,1944,39,0.208,0.180,0.0200,275,515,351,64.02,2216,70,0.238,0.325,0.0317,518,668,584,123.44,2159,61,0.231,0.282,0.0282,668,755,720,188.09,2682,22,0.288,0.103,0.0083
"US","Georgia","Banks",13011,19233,3776,77,19632.92,4003.54,0.0204,5,63,139,121,21.27,97,1,0.026,0.013,0.0103,139,262,216,29.01,424,7,0.112,0.091,0.0165,262,443,330,88.44,1233,25,0.327,0.328,0.0205,507,656,595,99.62,904,24,0.239,0.316,0.0269,656,755,720,165.03,1049,15,0.278,0.197,0.0144
"US","Georgia","Barrow",13013,83240,21514,231,25845.75,2775.11,0.0107,5,60,128,111,9.63,317,14,0.015,0.060,0.0438,128,261,190,31.54,2039,34,0.095,0.148,0.0168,261,514,356,120.37,7707,97,0.358,0.418,0.0125,514,663,582,92.89,4671,55,0.217,0.238,0.0118,663,755,720,265.89,6812,33,0.317,0.142,0.0048
"US","Georgia","Bartow",13015,107737,27893,420,25889.90,3898.38,0.0151,5,53,112,62,10.34,376,34,0.013,0.081,0.0900,112,242,194,35.41,2427,49,0.087,0.116,0.0200,242,507,352,119.93,11756,150,0.421,0.358,0.0128,507,659,585,94.87,5701,117,0.204,0.279,0.0206,659,755,720,189.81,7671,73,0.275,0.173,0.0095
"US","Georgia","Ben Hill",13017,16699,4195,111,25121.26,6647.10,0.0265,5,59,281,201,87.13,877,34,0.209,0.302,0.0382,281,502,352,133.42,1184,45,0.282,0.403,0.0377,509,674,577,179.29,1130,25,0.269,0.225,0.0221,674,738,728,173.30,738,8,0.176,0.070,0.0106,738,755,738,151.15,295,1,0.070,0.010,0.0038
"US","Georgia","Berrien",13019,19397,4792,64,24704.85,3299.48,0.0134,5,64,262,202,31.35,468,12,0.098,0.188,0.0257,262,446,343,91.82,1244,20,0.260,0.316,0.0163,446,498,477,11.50,70,4,0.015,0.064,0.0586,498,667,575,213.07,1626,24,0.339,0.377,0.0148,667,755,730,300.61,1388,4,0.290,0.065,0.0030
"US","Georgia","Bibb",13021,153158,36217,705,23646.82,4603.09,0.0195,5,60,121,86,10.31,419,21,0.012,0.030,0.0499,121,266,214,80.93,5948,167,0.164,0.237,0.0281,266,503,348,79.06,9523,262,0.263,0.371,0.0275,503,668,581,125.37,9907,190,0.274,0.270,0.0192,668,755,720,211.19,10470,69,0.289,0.098,0.0066
