Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Idaho","Ada",16001,481586,116174,965,24123.21,2003.80,0.0083,5,128,233,176,47.04,11005,115,0.095,0.119,0.0104,233,409,323,93.37,35479,302,0.305,0.313,0.0085,409,511,441,18.86,6151,42,0.053,0.043,0.0068,511,680,616,92.03,32406,359,0.279,0.372,0.0111,680,755,735,170.00,30606,129,0.263,0.134,0.0042
"US","Idaho","Adams",16003,4293,664,14,15467.04,3261.12,0.0211,5,136,169,146,14.91,9,0,0.013,0.000,0.0000,169,221,204,8.62,13,0,0.020,0.000,0.0000,235,431,335,161.66,307,3,0.463,0.226,0.0103,518,685,630,68.25,211,10,0.318,0.714,0.0474,685,755,728,78.27,112,0,0.169,0.000,0.0000
"US","Idaho","Bannock",16005,87808,20472,234,23314.50,2664.91,0.0114,4,117,511,317,97.16,8854,110,0.433,0.471,0.0124,511,683,604,80.63,5463,95,0.267,0.407,0.0174,683,738,732,257.40,4625,22,0.226,0.094,0.0047,738,755,738,203.53,1713,8,0.084,0.036,0.0049,,,,,,,,,
"US","Idaho","Bear Lake",16007,6125,899,15,14677.55,2448.98,0.0167,5,172,229,198,18.94,29,0,0.032,0.000,0.0000,234,455,291,74.61,345,2,0.384,0.135,0.0059,501,686,603,81.47,348,13,0.388,0.853,0.0367,686,738,729,97.63,121,0,0.135,0.023,0.0028,738,755,738,66.94,44,0,0.049,0.000,0.0000
"US","Idaho","Benewah",16009,9298,1973,36,21219.62,3871.80,0.0182,5,158,253,203,24.41,129,3,0.065,0.084,0.0234,253,381,332,70.12,388,4,0.197,0.111,0.0103,538,615,598,76.90,264,6,0.134,0.159,0.0216,615,723,677,152.08,763,16,0.386,0.432,0.0204,723,755,755,73.03,181,6,0.092,0.157,0.0313
"US","Idaho","Bingham",16011,46811,9646,144,20606.27,3076.20,0.0149,5,128,385,301,94.25,4113,60,0.426,0.418,0.0146,385,500,414,34.80,739,16,0.077,0.112,0.0218,514,523,517,1.00,4,0,0.000,0.000,0.0027,533,683,613,69.58,2379,53,0.247,0.370,0.0224,683,755,730,199.18,2418,15,0.251,0.106,0.0063
"US","Idaho","Blaine",16013,23021,5073,30,22036.40,1303.16,0.0059,5,52,128,71,145.69,511,5,0.101,0.166,0.0097,200,338,301,68.20,964,6,0.190,0.199,0.0062,338,421,365,80.36,676,5,0.133,0.174,0.0077,506,668,632,49.52,749,9,0.148,0.301,0.0121,668,755,715,268.02,1940,3,0.383,0.103,0.0016
"US","Idaho","Boise",16015,7831,1018,13,12999.62,1660.07,0.0128,5,149,244,181,22.60,67,1,0.066,0.090,0.0175,244,410,323,70.23,245,1,0.240,0.070,0.0037,496,683,620,87.73,457,9,0.449,0.699,0.0199,683,738,731,80.83,142,1,0.139,0.110,0.0101,738,755,749,63.98,58,1,0.057,0.060,0.0135
"US","Idaho","Bonner",16017,45738,8255,168,18048.45,3673.09,0.0204,5,73,78,75,0.57,1,0,0.000,0.000,0.0000,142,211,186,10.63,188,0,0.023,0.000,0.0000,211,521,333,75.60,3186,43,0.386,0.259,0.0136,521,696,638,98.80,3289,96,0.398,0.573,0.0293,696,755,744,97.75,1595,29,0.193,0.175,0.0185
"US","Idaho","Bonneville",16019,119062,30573,270,25678.22,2267.73,0.0088,5,124,218,199,35.97,1619,9,0.053,0.032,0.0053,218,379,320,106.73,9929,130,0.325,0.482,0.0131,379,510,415,65.83,3488,38,0.114,0.140,0.0108,510,682,611,71.93,6693,60,0.219,0.223,0.0090,682,754,732,264.78,8897,35,0.291,0.131,0.0040
"US","Idaho","Boundary",16021,12245,1982,56,16186.20,4573.30,0.0283,5,154,221,182,16.25,43,1,0.022,0.016,0.0211,221,310,282,74.72,301,2,0.152,0.032,0.0060,310,480,355,68.76,530,8,0.267,0.139,0.0147,524,699,638,141.53,840,38,0.424,0.687,0.0458,699,755,735,74.48,248,7,0.125,0.121,0.0274
"US","Idaho","Butte",16023,2597,472,7,18174.82,2695.42,0.0148,5,197,306,269,135.16,118,0,0.251,0.000,0.0000,306,427,318,65.85,84,1,0.178,0.144,0.0120,544,689,607,101.27,175,4,0.371,0.573,0.0229,689,738,737,108.97,62,2,0.132,0.284,0.0320,738,755,738,108.20,26,1,0.055,0.126,0.0339
"US","Idaho","Camas",16025,1106,132,2,11934.90,1808.32,0.0152,5,202,325,239,165.46,55,0,0.418,0.000,0.0000,338,426,366,68.72,15,0,0.114,0.000,0.0000,567,635,620,102.17,33,1,0.250,0.505,0.0306,642,674,649,9.95,2,0,0.015,0.000,0.0000,692,755,732,78.66,24,1,0.185,0.505,0.0414
"US","Idaho","Canyon",16027,229849,57578,647,25050.36,2814.89,0.0112,5,121,239,177,65.23,7529,90,0.131,0.139,0.0119,239,414,309,89.85,17202,186,0.299,0.287,0.0108,414,518,422,13.77,2616,29,0.045,0.045,0.0112,518,678,631,93.47,15902,268,0.276,0.414,0.0168,678,755,730,150.86,14157,72,0.246,0.111,0.0051
"US","Idaho","Caribou",16029,7155,1461,23,20419.29,3214.54,0.0157,5,181,329,272,126.21,458,11,0.313,0.477,0.0240,329,399,341,62.61,148,0,0.101,0.002,0.0003,527,684,599,77.57,352,11,0.241,0.478,0.0312,684,738,730,238.43,312,0,0.213,0.006,0.0004,738,755,738,156.67,97,0,0.066,0.000,0.0000
"US","Idaho","Cassia",16031,24030,4538,51,18884.73,2122.35,0.0112,4,67,218,190,36.62,575,3,0.127,0.055,0.0049,218,486,271,119.52,2372,24,0.523,0.477,0.0103,486,690,602,57.10,1080,16,0.238,0.318,0.0150,690,755,746,81.73,515,8,0.114,0.158,0.0157,,,,,,,,,
"US","Idaho","Clark",16033,845,107,0,12662.72,0.00,0.0000,5,171,274,238,94.67,40,0,0.374,0.000,0.0000,279,336,292,55.62,13,0,0.122,0.000,0.0000,400,448,438,35.50,6,0,0.056,0.000,0.0000,587,691,615,113.61,30,0,0.280,0.000,0.0000,691,738,734,82.84,13,0,0.119,0.000,0.0000
"US","Idaho","Clearwater",16035,8756,2176,31,24851.53,3540.43,0.0142,5,205,454,305,263.82,1020,13,0.469,0.421,0.0128,454,523,489,19.30,48,1,0.022,0.033,0.0210,532,649,587,125.86,533,12,0.245,0.386,0.0224,649,738,730,198.15,461,3,0.212,0.110,0.0074,738,755,738,138.88,111,2,0.051,0.058,0.0161
"US","Idaho","Custer",16037,4315,516,7,11958.29,1622.25,0.0136,5,149,260,220,48.90,74,1,0.144,0.144,0.0136,260,390,319,62.34,153,2,0.297,0.289,0.0132,571,685,608,69.76,142,3,0.275,0.433,0.0214,685,738,735,75.55,83,1,0.160,0.144,0.0122,738,755,738,71.61,33,0,0.064,0.000,0.0000
"US","Idaho","Elmore",16039,27510,6048,60,21984.73,2181.03,0.0099,5,133,226,188,24.90,260,1,0.043,0.017,0.0039,226,394,333,63.69,1292,9,0.214,0.145,0.0067,394,519,427,35.30,546,8,0.090,0.125,0.0138,519,684,613,130.75,2274,32,0.376,0.538,0.0142,684,755,745,185.57,1655,10,0.274,0.159,0.0058
"US","Idaho","Franklin",16041,13876,2313,28,16669.07,2017.87,0.0121,5,204,403,302,102.98,1023,14,0.442,0.502,0.0138,403,492,434,29.76,125,2,0.054,0.072,0.0161,492,683,650,53.76,571,10,0.247,0.359,0.0176,683,738,725,110.05,393,1,0.170,0.036,0.0026,738,755,748,83.60,161,2,0.070,0.054,0.0094
"US","Idaho","Fremont",16043,13098,2156,24,16460.53,1832.34,0.0111,5,152,210,195,29.24,92,0,0.043,0.014,0.0037,210,384,275,102.92,871,14,0.404,0.577,0.0159,384,505,403,27.18,174,0,0.081,0.000,0.0000,505,676,607,42.30,483,4,0.224,0.166,0.0083,676,749,734,153.84,578,5,0.268,0.214,0.0089
"US","Idaho","Gem",16045,18112,3486,77,19246.91,4251.33,0.0221,5,147,213,175,27.16,185,2,0.053,0.022,0.0091,213,441,309,148.30,1536,34,0.441,0.444,0.0222,441,511,487,12.04,92,4,0.027,0.046,0.0386,511,685,617,70.78,1086,30,0.312,0.390,0.0277,685,755,744,87.40,575,8,0.165,0.105,0.0140
"US","Idaho","Gooding",16047,15179,2726,52,17959.02,3425.79,0.0191,5,68,146,122,11.59,59,0,0.022,0.007,0.0057,146,223,218,24.31,172,1,0.063,0.015,0.0045,223,487,286,100.27,1089,23,0.399,0.443,0.0212,494,683,600,124.84,1051,19,0.386,0.371,0.0184,683,755,744,52.84,361,9,0.132,0.169,0.0243
"US","Idaho","Idaho",16049,16667,2880,45,17279.65,2699.95,0.0156,5,198,420,302,109.92,1137,17,0.395,0.378,0.0150,420,530,498,23.76,177,1,0.061,0.022,0.0057,530,614,574,77.64,499,7,0.173,0.157,0.0142,614,689,623,75.90,503,14,0.175,0.316,0.0283,689,738,731,100.98,406,5,0.141,0.104,0.0116
"US","Idaho","Jefferson",16051,29871,5970,61,19985.94,2042.11,0.0102,5,59,75,62,0.77,3,0,0.001,0.000,0.0000,131,376,318,90.02,2270,20,0.380,0.328,0.0088,376,506,417,43.59,749,12,0.125,0.200,0.0163,506,684,642,63.44,1466,19,0.246,0.313,0.0130,684,755,733,164.51,1495,10,0.250,0.171,0.0070
"US","Idaho","Jerome",16053,24412,5085,61,20829.92,2498.77,0.0120,5,64,143,121,24.13,205,3,0.040,0.043,0.0129,143,222,172,31.38,398,3,0.078,0.057,0.0087,222,428,289,123.14,1934,17,0.380,0.277,0.0087,507,680,600,117.93,1750,31,0.344,0.514,0.0179,680,755,750,75.21,703,7,0.138,0.115,0.0100
"US","Idaho","Kootenai",16055,165697,38331,549,23133.19,3313.28,0.0143,5,129,226,178,28.50,2163,30,0.056,0.055,0.0139,226,431,322,125.33,14927,163,0.389,0.298,0.0110,431,520,482,18.09,1889,22,0.049,0.040,0.0117,520,684,636,96.80,12166,238,0.317,0.434,0.0196,684,755,746,100.29,7204,98,0.188,0.178,0.0136
"US","Idaho","Latah",16057,40108,6558,48,16350.85,1196.77,0.0073,5,150,438,298,86.62,2927,8,0.446,0.175,0.0029,438,517,443,17.43,284,3,0.043,0.059,0.0099,533,680,602,49.42,1523,28,0.232,0.587,0.0185,680,738,733,188.59,1374,4,0.209,0.074,0.0026,738,755,738,144.29,506,5,0.077,0.096,0.0091
"US","Idaho","Lemhi",16059,8027,1238,25,15422.95,3114.49,0.0202,5,165,226,205,41.73,68,0,0.055,0.000,0.0000,226,369,282,129.56,404,9,0.327,0.360,0.0223,369,432,415,12.71,42,0,0.034,0.000,0.0000,519,691,632,56.81,456,12,0.368,0.484,0.0266,691,755,729,103.28,252,4,0.204,0.159,0.0158
"US","Idaho","Lewis",16061,3838,1115,26,29051.59,6774.36,0.0233,5,159,173,165,2.87,1,0,0.001,0.000,0.0000,214,434,320,202.19,385,9,0.345,0.349,0.0236,434,529,502,48.46,54,2,0.048,0.078,0.0377,529,689,599,159.98,408,12,0.366,0.465,0.0297,689,755,733,255.86,270,3,0.243,0.119,0.0115
"US","Idaho","Lincoln",16063,5366,905,14,16865.45,2609.02,0.0155,5,60,108,73,20.31,29,0,0.032,0.000,0.0000,136,413,279,165.49,454,11,0.501,0.790,0.0244,554,655,605,64.85,183,1,0.202,0.072,0.0055,655,697,670,50.50,74,2,0.082,0.143,0.0270,697,755,730,74.54,136,0,0.151,0.000,0.0000
"US","Idaho","Madison",16065,39907,12555,46,31460.65,1152.68,0.0037,5,95,118,105,1.70,11,0,0.001,0.000,0.0000,127,392,265,179.82,6125,21,0.488,0.458,0.0034,392,517,398,49.41,1199,7,0.096,0.153,0.0059,517,680,655,47.49,1780,13,0.142,0.282,0.0073,680,755,735,373.77,3458,5,0.275,0.112,0.0015
"US","Idaho","Minidoka",16067,21038,3672,55,17454.13,2614.32,0.0150,5,67,98,84,3.14,10,0,0.003,0.000,0.0000,107,219,186,47.58,535,2,0.146,0.039,0.0040,219,484,269,105.38,1799,31,0.490,0.564,0.0172,493,683,603,64.60,915,18,0.249,0.336,0.0202,683,755,733,52.71,417,4,0.114,0.068,0.0090
"US","Idaho","Nez Perce",16069,40407,8711,134,21558.15,3316.26,0.0154,5,147,397,298,141.51,3256,31,0.374,0.233,0.0096,397,454,421,13.96,205,4,0.024,0.029,0.0190,516,677,605,90.31,2634,49,0.302,0.368,0.0187,677,738,730,203.80,1836,19,0.211,0.142,0.0103,738,755,738,124.95,565,12,0.065,0.092,0.0219
"US","Idaho","Oneida",16071,4531,780,10,17214.74,2207.02,0.0128,5,234,411,320,133.97,309,3,0.396,0.303,0.0098,411,497,428,24.72,33,1,0.042,0.101,0.0306,511,687,630,90.49,232,6,0.297,0.602,0.0260,687,738,730,158.91,145,0,0.186,0.000,0.0000,738,755,738,109.91,47,1,0.061,0.075,0.0159
"US","Idaho","Owyhee",16073,11823,2145,49,18142.60,4144.46,0.0228,5,139,238,178,61.32,314,5,0.146,0.102,0.0160,238,463,308,119.17,737,23,0.344,0.471,0.0313,463,514,498,7.70,33,3,0.015,0.062,0.0923,528,680,617,84.07,613,10,0.286,0.205,0.0164,680,755,755,103.44,444,8,0.207,0.165,0.0183
"US","Idaho","Payette",16075,23951,5258,81,21953.15,3381.90,0.0154,5,129,253,215,66.55,893,7,0.170,0.083,0.0075,253,405,309,81.46,1473,24,0.280,0.290,0.0160,405,522,425,14.20,248,6,0.047,0.074,0.0241,522,683,633,97.74,1637,33,0.311,0.413,0.0204,683,755,729,113.02,999,10,0.190,0.122,0.0099
"US","Idaho","Power",16077,7680,1444,18,18802.08,2343.75,0.0125,5,123,446,241,89.58,648,9,0.449,0.505,0.0140,472,496,476,2.99,4,0,0.003,0.000,0.0000,516,686,618,126.17,455,7,0.315,0.416,0.0164,686,738,733,192.19,255,2,0.177,0.088,0.0062,738,755,738,151.30,89,0,0.062,0.009,0.0018
"US","Idaho","Shoshone",16079,12882,2543,72,19740.72,5589.19,0.0283,5,158,243,203,66.06,213,18,0.084,0.249,0.0841,243,431,330,103.48,832,16,0.327,0.218,0.0188,507,605,588,91.52,493,14,0.194,0.197,0.0288,605,700,636,98.90,548,19,0.215,0.257,0.0338,700,755,741,76.93,339,7,0.133,0.091,0.0193
"US","Idaho","Teton",16081,12142,2651,8,21833.31,658.87,0.0030,5,142,221,198,24.21,114,0,0.043,0.000,0.0000,221,327,292,86.31,507,2,0.191,0.253,0.0040,327,511,350,87.88,604,2,0.228,0.253,0.0033,511,667,610,53.29,468,2,0.176,0.210,0.0036,667,755,721,227.89,956,2,0.361,0.311,0.0026
"US","Idaho","Twin Falls",16083,86878,19906,274,22912.59,3153.85,0.0138,5,130,215,198,28.35,1196,11,0.060,0.041,0.0094,215,417,291,120.10,7475,91,0.375,0.331,0.0121,417,508,444,13.32,669,7,0.034,0.025,0.0103,508,681,600,108.09,6852,101,0.344,0.370,0.0148,681,755,730,101.89,3342,43,0.168,0.158,0.0130
"US","Idaho","Unassigned",90016,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Idaho","Valley",16085,11392,2435,15,21374.65,1316.71,0.0062,5,148,237,202,17.47,83,1,0.034,0.067,0.0122,237,461,338,82.95,748,5,0.307,0.333,0.0067,461,679,618,90.94,739,7,0.304,0.470,0.0095,679,738,723,238.33,630,1,0.259,0.067,0.0016,738,755,738,207.87,258,2,0.106,0.133,0.0077
"US","Idaho","Washington",16087,10194,2241,54,21983.52,5297.23,0.0241,5,103,216,205,39.63,259,3,0.116,0.064,0.0133,216,237,222,32.47,64,1,0.028,0.014,0.0123,237,408,306,116.05,857,17,0.382,0.316,0.0199,535,685,589,130.37,687,25,0.306,0.463,0.0364,685,755,749,108.99,316,7,0.141,0.128,0.0218
