Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Illinois","Adams",17001,65435,21875,196,33430.12,2995.34,0.0090,5,145,217,204,24.02,690,6,0.032,0.031,0.0089,217,423,298,174.33,7332,108,0.335,0.551,0.0147,423,498,483,18.20,559,10,0.026,0.049,0.0172,498,631,568,106.41,4435,27,0.203,0.139,0.0062,631,755,721,288.96,8840,45,0.404,0.227,0.0050
"US","Illinois","Alexander",17003,5760,1263,13,21927.08,2256.94,0.0103,5,125,194,177,15.28,28,0,0.022,0.000,0.0000,194,415,295,80.56,417,10,0.330,0.748,0.0233,508,623,582,85.07,220,0,0.175,0.001,0.0000,623,672,641,57.99,109,2,0.086,0.155,0.0186,672,755,729,299.31,464,0,0.367,0.000,0.0000
"US","Illinois","Bond",17005,16426,4268,29,25983.20,1765.49,0.0068,5,91,117,110,2.13,7,0,0.002,0.003,0.0148,154,423,293,129.06,1912,23,0.448,0.797,0.0121,423,509,455,23.56,164,0,0.038,0.000,0.0000,520,643,581,52.23,495,1,0.116,0.037,0.0022,643,755,722,276.70,1689,4,0.396,0.134,0.0023
"US","Illinois","Boone",17007,53543,13510,107,25232.06,1998.39,0.0079,5,70,168,112,24.54,621,21,0.046,0.197,0.0339,168,406,296,132.51,5315,50,0.393,0.468,0.0094,406,519,447,32.18,911,7,0.067,0.065,0.0076,519,626,595,34.05,947,5,0.070,0.049,0.0056,626,755,729,252.86,5736,24,0.425,0.224,0.0042
"US","Illinois","Brown",17009,6578,2357,14,35831.56,2128.31,0.0059,5,174,323,303,121.77,359,3,0.152,0.216,0.0084,323,436,354,206.45,316,3,0.134,0.214,0.0095,436,496,482,24.78,43,0,0.018,0.000,0.0000,496,647,573,126.63,351,5,0.149,0.336,0.0134,647,755,728,1202.19,1285,4,0.545,0.254,0.0028
"US","Illinois","Bureau",17011,32628,8188,124,25095.01,3800.42,0.0151,5,66,113,81,1.20,14,1,0.002,0.008,0.0724,154,422,295,149.50,3361,77,0.410,0.622,0.0229,422,515,465,27.74,402,5,0.049,0.044,0.0137,515,623,589,32.79,564,6,0.069,0.046,0.0100,623,755,728,263.33,3846,35,0.470,0.285,0.0092
"US","Illinois","Calhoun",17013,4739,1503,5,31715.55,1055.07,0.0033,5,167,253,246,54.65,62,0,0.041,0.000,0.0000,276,416,301,157.42,418,2,0.278,0.404,0.0048,416,476,424,35.24,33,0,0.022,0.000,0.0000,531,634,595,53.39,156,0,0.104,0.000,0.0000,634,755,719,469.51,817,3,0.544,0.608,0.0037
"US","Illinois","Carroll",17015,14304,4096,46,28635.35,3215.88,0.0112,5,172,408,292,191.41,1559,33,0.381,0.711,0.0210,503,579,543,179.04,331,0,0.081,0.000,0.0000,579,628,594,50.34,232,1,0.057,0.021,0.0041,628,738,736,235.18,1446,6,0.353,0.137,0.0044,738,755,738,231.05,350,2,0.086,0.043,0.0057
"US","Illinois","Cass",17017,12147,4545,35,37416.65,2881.37,0.0077,5,126,253,226,36.06,338,11,0.074,0.314,0.0325,253,420,322,211.74,1496,13,0.329,0.371,0.0087,420,506,429,20.75,130,3,0.029,0.090,0.0242,506,651,600,95.00,658,4,0.145,0.116,0.0062,651,755,728,452.21,1860,4,0.409,0.113,0.0021
"US","Illinois","Champaign",17019,209689,60908,278,29046.83,1325.77,0.0046,5,144,255,227,65.01,4258,14,0.070,0.050,0.0033,255,422,292,78.56,13677,111,0.225,0.398,0.0081,422,516,448,20.96,2530,22,0.042,0.080,0.0088,516,631,587,50.26,5677,40,0.093,0.144,0.0070,631,755,715,388.93,34163,84,0.561,0.303,0.0025
