Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Iowa","Adair",19001,7151,1552,48,21703.26,6712.35,0.0309,5,189,444,297,132.29,820,32,0.528,0.668,0.0391,511,642,629,50.62,182,3,0.117,0.061,0.0161,642,706,687,88.80,257,9,0.166,0.178,0.0333,706,738,729,92.57,171,3,0.110,0.059,0.0164,738,755,741,92.15,80,2,0.052,0.041,0.0246
"US","Iowa","Adams",19003,3602,798,13,22154.36,3609.11,0.0163,5,195,414,295,120.21,303,4,0.380,0.311,0.0133,427,500,462,18.88,25,0,0.031,0.000,0.0000,537,657,610,128.82,194,4,0.243,0.305,0.0205,657,695,664,71.63,81,3,0.101,0.198,0.0319,695,755,740,176.85,184,3,0.231,0.212,0.0149
"US","Iowa","Allamakee",19005,13687,2782,59,20325.86,4310.66,0.0212,5,53,132,95,37.41,120,4,0.043,0.068,0.0337,148,451,314,117.56,1370,47,0.493,0.797,0.0343,451,503,472,9.43,34,1,0.012,0.011,0.0197,503,649,603,60.28,443,2,0.159,0.041,0.0055,649,755,727,115.80,817,5,0.294,0.089,0.0064
"US","Iowa","Appanoose",19007,12426,2785,63,22412.68,5070.01,0.0226,5,96,138,124,5.23,14,1,0.005,0.016,0.0709,163,505,293,220.34,1270,46,0.456,0.732,0.0363,541,686,623,86.27,861,8,0.309,0.132,0.0097,686,738,736,132.30,501,5,0.180,0.074,0.0093,738,755,738,127.64,174,1,0.062,0.022,0.0079
"US","Iowa","Audubon",19009,5496,1080,18,19650.66,3275.11,0.0167,5,93,141,103,14.92,12,1,0.011,0.056,0.0824,166,439,283,122.27,473,8,0.438,0.447,0.0170,439,526,502,20.01,46,2,0.042,0.112,0.0443,544,738,735,142.10,479,6,0.443,0.328,0.0124,738,755,738,130.64,80,0,0.074,0.000,0.0000
"US","Iowa","Benton",19011,25645,5884,71,22944.04,2768.57,0.0121,5,120,200,190,14.04,119,0,0.020,0.000,0.0000,200,358,293,199.88,1920,42,0.326,0.590,0.0218,358,446,384,30.88,424,13,0.072,0.179,0.0300,526,641,603,75.61,988,2,0.168,0.027,0.0019,641,755,723,168.41,2292,14,0.390,0.200,0.0062
"US","Iowa","Black Hawk",19013,131228,31934,445,24334.75,3391.04,0.0139,5,70,135,96,65.49,1772,48,0.055,0.109,0.0273,190,237,220,28.33,1311,21,0.041,0.048,0.0163,237,421,293,158.31,10920,215,0.342,0.483,0.0197,483,625,581,42.51,4008,38,0.125,0.084,0.0094,625,755,722,210.25,12121,100,0.380,0.226,0.0083
"US","Iowa","Boone",19015,26234,5286,48,20149.42,1829.69,0.0091,4,65,80,72,0.99,3,0,0.001,0.000,0.0000,84,515,300,98.57,2681,34,0.507,0.712,0.0127,527,646,615,54.93,879,3,0.166,0.065,0.0036,646,755,727,127.51,1731,11,0.327,0.229,0.0063,,,,,,,,,
"US","Iowa","Bremer",19017,25062,5357,79,21374.99,3152.18,0.0147,5,131,244,223,41.02,404,1,0.075,0.013,0.0025,244,448,294,217.98,2318,53,0.433,0.672,0.0229,448,510,470,9.10,95,0,0.018,0.006,0.0049,510,636,622,45.17,672,7,0.125,0.090,0.0106,636,755,734,129.12,1812,12,0.338,0.150,0.0065
"US","Iowa","Buchanan",19019,21175,4454,55,21034.24,2597.40,0.0123,5,60,130,99,4.34,32,0,0.007,0.002,0.0031,130,498,296,136.77,1891,33,0.425,0.601,0.0175,509,651,615,81.13,935,6,0.210,0.110,0.0065,651,738,729,138.42,1314,12,0.295,0.218,0.0091,738,755,738,114.47,308,4,0.069,0.082,0.0146
