Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Kansas","Allen",20001,12369,3887,44,31425.34,3557.28,0.0113,5,139,159,154,2.34,3,0,0.001,0.000,0.0000,164,204,201,5.09,15,0,0.004,0.000,0.0000,217,486,345,92.97,1226,20,0.315,0.455,0.0163,495,630,599,77.94,587,6,0.151,0.128,0.0096,630,755,729,456.54,2059,19,0.530,0.435,0.0093
"US","Kansas","Anderson",20003,7858,2065,24,26278.95,3054.21,0.0116,5,139,203,174,20.87,29,0,0.014,0.000,0.0000,203,310,287,86.28,343,0,0.166,0.000,0.0000,310,464,344,151.69,467,18,0.226,0.750,0.0385,464,636,600,61.59,257,3,0.125,0.127,0.0118,636,755,726,368.92,974,3,0.472,0.127,0.0031
"US","Kansas","Atchison",20005,16072,4206,33,26169.74,2053.26,0.0078,5,126,245,218,52.76,294,2,0.070,0.051,0.0057,245,424,321,89.91,1235,12,0.294,0.349,0.0093,424,477,461,16.43,87,1,0.021,0.031,0.0116,529,646,563,92.89,872,11,0.207,0.328,0.0124,646,755,728,317.94,1798,9,0.428,0.269,0.0049
"US","Kansas","Barber",20007,4427,1022,8,23085.61,1807.09,0.0078,5,232,337,293,118.82,256,3,0.251,0.355,0.0111,337,387,344,86.97,107,4,0.104,0.531,0.0399,528,630,620,54.21,108,1,0.106,0.126,0.0094,630,688,667,146.60,163,0,0.159,0.000,0.0000,688,755,729,270.16,381,1,0.373,0.126,0.0027
"US","Kansas","Barton",20009,25779,6403,85,24838.05,3297.26,0.0133,5,99,129,109,6.71,35,1,0.006,0.012,0.0295,145,434,298,140.04,2547,46,0.398,0.546,0.0182,446,500,454,3.37,29,2,0.004,0.022,0.0662,530,651,599,95.50,1355,8,0.212,0.089,0.0056,651,755,730,290.39,2449,27,0.382,0.315,0.0109
"US","Kansas","Bourbon",20011,14534,4318,46,29709.65,3164.99,0.0107,5,143,202,167,18.03,69,1,0.016,0.021,0.0142,217,411,345,117.52,1208,22,0.280,0.478,0.0182,411,496,435,24.22,138,2,0.032,0.042,0.0139,496,636,563,128.60,991,16,0.230,0.341,0.0158,636,755,727,377.67,1904,5,0.441,0.103,0.0025
"US","Kansas","Brown",20013,9564,2652,47,27728.98,4914.26,0.0177,5,98,155,147,4.91,14,0,0.005,0.000,0.0000,161,440,301,226.68,1220,38,0.460,0.810,0.0312,513,613,587,53.74,237,1,0.090,0.021,0.0041,613,684,655,111.88,406,3,0.153,0.062,0.0071,684,755,727,268.19,781,5,0.294,0.116,0.0070
"US","Kansas","Butler",20015,66911,18539,164,27706.95,2451.02,0.0088,5,67,74,71,0.81,4,0,0.000,0.000,0.0000,111,136,122,1.87,22,0,0.001,0.000,0.0000,143,508,307,109.29,7587,91,0.409,0.552,0.0119,508,647,597,81.33,3384,42,0.183,0.257,0.0124,647,755,727,339.69,7554,33,0.407,0.203,0.0044
"US","Kansas","Chase",20017,2648,665,8,25113.29,3021.15,0.0120,5,184,239,195,154.83,75,1,0.113,0.126,0.0135,246,344,329,144.26,151,2,0.227,0.253,0.0134,366,431,366,41.16,26,0,0.038,0.000,0.0000,448,494,470,36.25,23,0,0.035,0.000,0.0000,514,755,725,297.58,388,6,0.584,0.726,0.0150
"US","Kansas","Chautauqua",20019,3249,826,16,25423.21,4924.59,0.0194,5,62,80,71,9.23,3,0,0.004,0.000,0.0000,194,260,251,17.85,19,0,0.023,0.000,0.0000,268,434,343,163.13,241,6,0.292,0.376,0.0250,514,656,621,121.27,253,5,0.306,0.288,0.0183,656,755,728,277.32,306,6,0.371,0.398,0.0208
"US","Kansas","Cherokee",20021,19939,6023,82,30207.13,4112.54,0.0136,5,56,87,70,1.60,7,0,0.001,0.000,0.0000,119,258,238,59.58,547,7,0.091,0.086,0.0129,258,472,322,111.49,1925,45,0.320,0.550,0.0234,472,645,567,66.35,1177,26,0.195,0.316,0.0220,645,755,728,401.62,2378,5,0.395,0.062,0.0021
"US","Kansas","Cheyenne",20023,2656,657,14,24736.45,5271.08,0.0213,5,191,316,242,185.62,215,9,0.328,0.645,0.0419,316,451,351,146.46,145,5,0.221,0.362,0.0350,537,625,596,67.77,49,0,0.075,0.000,0.0000,625,674,660,64.01,52,1,0.079,0.072,0.0195,674,755,727,253.39,186,0,0.284,0.000,0.0000
"US","Kansas","Clark",20025,1994,486,7,24373.12,3510.53,0.0144,5,84,153,105,91.27,34,1,0.070,0.144,0.0297,218,432,309,197.09,202,6,0.415,0.864,0.0300,530,624,585,90.77,68,0,0.140,0.000,0.0000,630,674,646,70.71,33,0,0.067,0.000,0.0000,674,755,727,246.74,136,0,0.280,0.000,0.0000
"US","Kansas","Clay",20027,8002,1939,32,24231.44,3999.00,0.0165,5,81,95,88,4.37,3,0,0.002,0.009,0.0921,156,417,300,205.57,779,26,0.402,0.812,0.0334,428,483,443,8.37,19,1,0.010,0.028,0.0490,505,663,597,106.47,479,2,0.247,0.063,0.0042,663,755,729,258.31,658,1,0.340,0.032,0.0015
"US","Kansas","Cloud",20029,8786,2181,36,24823.58,4097.43,0.0165,5,181,230,220,17.41,35,0,0.016,0.000,0.0000,230,430,290,180.40,912,23,0.418,0.641,0.0253,535,606,580,67.84,187,1,0.086,0.021,0.0041,606,698,680,134.65,596,7,0.273,0.201,0.0121,698,755,729,148.87,401,3,0.184,0.091,0.0082
"US","Kansas","Coffey",20031,8179,2350,39,28732.12,4768.31,0.0166,5,58,110,73,30.69,50,8,0.021,0.206,0.1610,165,441,330,102.34,670,15,0.285,0.386,0.0225,457,510,473,9.17,27,0,0.012,0.000,0.0000,520,636,599,137.79,412,3,0.175,0.078,0.0074,636,755,727,330.24,1191,13,0.507,0.335,0.0110
"US","Kansas","Comanche",20033,1700,436,13,25647.06,7647.06,0.0298,5,228,348,309,230.00,140,8,0.322,0.578,0.0536,377,437,426,38.82,15,4,0.035,0.306,0.2625,543,592,561,69.41,27,1,0.062,0.082,0.0395,592,688,633,245.29,146,2,0.336,0.157,0.0139,688,748,727,244.71,93,0,0.214,0.002,0.0003
"US","Kansas","Cowley",20035,34908,9964,146,28543.60,4182.42,0.0147,5,93,96,94,0.60,1,0,0.000,0.000,0.0000,125,444,300,121.09,3898,107,0.391,0.731,0.0274,444,510,472,7.51,118,1,0.012,0.008,0.0101,524,637,599,64.05,1540,17,0.155,0.116,0.0110,637,755,725,351.72,4427,22,0.444,0.151,0.0050
"US","Kansas","Crawford",20037,38818,11576,117,29821.22,3014.07,0.0101,5,134,186,146,43.28,350,0,0.030,0.000,0.0000,186,258,223,81.97,828,7,0.072,0.060,0.0085,258,479,346,101.94,3565,69,0.308,0.592,0.0194,479,631,549,77.26,1910,26,0.165,0.219,0.0134,631,755,727,406.74,4936,14,0.426,0.122,0.0029
"US","Kansas","Decatur",20039,2827,601,18,21259.29,6367.17,0.0300,5,165,189,174,12.73,5,0,0.008,0.000,0.0000,231,434,282,227.80,257,12,0.427,0.669,0.0469,443,463,461,14.86,4,0,0.006,0.000,0.0000,485,511,500,35.73,12,0,0.020,0.000,0.0000,565,753,684,172.27,320,6,0.533,0.336,0.0189
"US","Kansas","Dickinson",20041,18466,4703,69,25468.43,3736.60,0.0147,5,129,142,133,1.14,2,1,0.001,0.010,0.2792,150,427,330,96.34,1699,43,0.361,0.623,0.0253,427,491,474,11.81,72,1,0.015,0.016,0.0153,491,652,584,81.01,1185,16,0.252,0.235,0.0137,652,755,729,266.92,1749,9,0.372,0.126,0.0050
"US","Kansas","Doniphan",20043,7599,2402,32,31609.42,4211.08,0.0133,5,169,423,307,179.76,933,22,0.388,0.693,0.0238,448,497,487,55.67,51,0,0.021,0.000,0.0000,497,620,582,59.48,319,4,0.133,0.126,0.0127,620,738,730,323.20,905,5,0.377,0.157,0.0056,738,755,738,263.85,185,0,0.077,0.000,0.0000
"US","Kansas","Douglas",20045,122259,24780,129,20268.45,1055.14,0.0052,5,57,80,65,1.99,38,0,0.002,0.000,0.0000,133,260,218,41.57,2461,14,0.099,0.106,0.0056,260,506,305,64.58,6864,71,0.277,0.553,0.0104,514,647,597,36.10,3153,18,0.127,0.140,0.0057,647,755,720,272.14,12272,26,0.495,0.203,0.0021
"US","Kansas","Edwards",20047,2798,557,13,19907.08,4646.18,0.0233,5,196,249,217,49.68,40,0,0.071,0.000,0.0000,249,345,300,186.56,190,8,0.341,0.617,0.0422,362,439,393,27.88,26,2,0.046,0.182,0.0918,547,694,650,131.52,199,1,0.358,0.078,0.0051,694,755,732,97.57,93,0,0.166,0.000,0.0000
"US","Kansas","Elk",20049,2530,559,8,22094.86,3162.06,0.0143,5,234,419,350,115.42,177,5,0.317,0.629,0.0284,443,461,449,4.35,1,0,0.003,0.000,0.0000,530,609,604,67.98,67,1,0.121,0.096,0.0114,609,692,680,110.67,132,1,0.236,0.169,0.0102,692,755,730,336.36,181,1,0.324,0.126,0.0056
"US","Kansas","Ellis",20051,28553,7020,79,24585.86,2766.78,0.0113,5,131,263,225,96.28,1198,12,0.171,0.151,0.0100,263,455,302,146.18,2536,62,0.361,0.782,0.0244,455,509,473,3.68,31,-0,0.004,-0.001,-0.0019,542,634,589,45.63,703,3,0.100,0.038,0.0043,634,755,729,279.38,2550,3,0.363,0.038,0.0012
"US","Kansas","Ellsworth",20053,6101,2001,31,32797.90,5081.13,0.0155,5,156,208,166,14.10,19,0,0.009,0.000,0.0000,230,444,282,315.85,1191,25,0.595,0.808,0.0210,500,533,526,8.69,10,-0,0.005,-0.008,-0.0243,554,615,606,50.16,112,3,0.056,0.097,0.0270,615,755,729,256.84,668,3,0.334,0.098,0.0046
"US","Kansas","Finney",20055,36466,11460,105,31426.53,2879.39,0.0092,5,65,157,103,148.30,1563,10,0.136,0.095,0.0064,202,432,300,193.39,4229,61,0.369,0.578,0.0143,517,617,582,58.66,963,6,0.084,0.053,0.0058,617,674,663,70.37,1017,14,0.089,0.136,0.0140,674,755,733,351.70,3401,12,0.297,0.117,0.0036
