Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Kentucky","Adair",21001,19202,5202,96,27090.93,4999.48,0.0185,5,128,222,206,15.68,166,0,0.032,0.003,0.0015,222,394,326,136.60,1258,30,0.242,0.313,0.0239,394,469,431,59.73,340,5,0.065,0.051,0.0143,515,683,644,101.03,1770,30,0.340,0.308,0.0167,683,755,735,207.17,1491,13,0.287,0.133,0.0085
"US","Kentucky","Allen",21003,21315,6407,92,30058.64,4316.21,0.0144,5,198,283,274,38.33,340,3,0.053,0.033,0.0088,283,418,381,84.54,1293,16,0.202,0.176,0.0125,510,653,581,142.76,1719,28,0.268,0.299,0.0160,653,738,733,342.48,1980,19,0.309,0.202,0.0094,738,755,738,288.62,658,4,0.103,0.045,0.0063
"US","Kentucky","Anderson",21005,22747,5958,60,26192.46,2637.71,0.0101,5,159,222,189,14.55,90,0,0.015,0.000,0.0000,222,445,349,88.58,1578,18,0.265,0.305,0.0116,496,670,605,108.10,1953,28,0.328,0.473,0.0145,670,738,733,269.09,1749,8,0.294,0.133,0.0046,738,755,738,236.21,559,1,0.094,0.018,0.0019
"US","Kentucky","Ballard",21007,7888,1227,27,15555.27,3422.92,0.0220,5,160,211,174,11.79,24,0,0.020,0.000,0.0000,211,467,316,52.74,357,8,0.291,0.298,0.0226,467,523,479,11.92,26,1,0.021,0.041,0.0430,541,656,576,51.22,286,10,0.233,0.373,0.0352,656,755,730,202.21,520,7,0.424,0.261,0.0136
"US","Kentucky","Barren",21009,44249,12329,197,27862.78,4452.08,0.0160,5,77,215,184,26.17,472,6,0.038,0.032,0.0132,215,328,280,67.66,1846,29,0.150,0.146,0.0156,328,502,364,76.59,2185,65,0.177,0.331,0.0298,502,645,605,155.12,3461,43,0.281,0.221,0.0126,645,755,732,225.23,4395,56,0.356,0.283,0.0127
"US","Kentucky","Bath",21011,12500,2660,36,21280.00,2880.00,0.0135,5,242,414,353,84.80,714,17,0.269,0.471,0.0237,414,522,449,43.20,259,6,0.097,0.179,0.0248,522,639,582,76.64,519,6,0.195,0.166,0.0115,639,695,683,87.92,384,4,0.144,0.111,0.0104,695,755,729,146.08,717,2,0.270,0.057,0.0029
"US","Kentucky","Bell",21013,26032,8521,126,32732.79,4840.20,0.0148,4,133,232,170,38.80,437,10,0.051,0.080,0.0229,232,514,351,100.57,2727,48,0.320,0.385,0.0178,514,662,583,241.28,2734,40,0.321,0.317,0.0146,662,755,733,305.51,2630,28,0.309,0.225,0.0108,,,,,,,,,
"US","Kentucky","Boone",21015,133581,35469,259,26552.43,1938.90,0.0073,5,219,337,317,82.65,5834,11,0.164,0.041,0.0018,337,444,355,93.69,6301,75,0.178,0.288,0.0119,444,518,463,17.46,1094,38,0.031,0.145,0.0344,518,649,611,62.04,6101,47,0.172,0.181,0.0077,649,755,728,316.20,15006,67,0.423,0.257,0.0044
"US","Kentucky","Bourbon",21017,19787,5731,48,28963.46,2425.84,0.0084,5,118,450,348,97.39,1641,13,0.286,0.271,0.0079,450,471,465,11.42,40,1,0.007,0.028,0.0333,471,516,484,14.35,79,5,0.014,0.104,0.0633,523,644,590,138.07,1398,15,0.244,0.304,0.0104,644,755,734,303.33,2573,14,0.449,0.302,0.0056
"US","Kentucky","Boyd",21019,46718,15476,155,33126.42,3317.78,0.0100,5,190,440,322,135.34,4652,68,0.301,0.437,0.0146,440,509,469,14.47,292,5,0.019,0.031,0.0166,509,651,600,113.45,3397,30,0.219,0.192,0.0088,651,738,733,403.57,5457,41,0.353,0.264,0.0075,738,755,738,314.25,1693,10,0.109,0.067,0.0061
