Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Louisiana","Acadia",22001,62045,14881,282,23984.21,4545.09,0.0190,5,59,246,180,105.60,2939,96,0.198,0.342,0.0328,246,439,349,63.87,3368,94,0.226,0.334,0.0279,464,507,497,14.04,267,4,0.018,0.013,0.0132,507,665,573,125.88,3845,55,0.258,0.197,0.0144,665,755,727,207.29,4308,32,0.290,0.115,0.0075
"US","Louisiana","Allen",22003,25627,7320,124,28563.62,4838.65,0.0169,5,106,232,182,161.31,1400,35,0.191,0.283,0.0250,281,511,329,58.53,1412,32,0.193,0.258,0.0227,511,669,579,102.24,1510,25,0.206,0.201,0.0165,669,738,733,348.42,1996,4,0.273,0.032,0.0020,738,755,738,295.59,634,4,0.087,0.029,0.0056
"US","Louisiana","Ascension",22005,126604,32803,278,25909.92,2195.82,0.0085,5,121,250,181,39.66,2984,46,0.091,0.165,0.0154,250,416,356,82.07,7440,56,0.227,0.202,0.0075,452,501,474,16.63,834,4,0.025,0.016,0.0052,501,658,566,160.96,9240,76,0.282,0.275,0.0083,658,755,720,288.97,10924,35,0.333,0.126,0.0032
"US","Louisiana","Assumption",22007,21890,5197,67,23741.43,3060.76,0.0129,5,56,121,75,37.73,237,11,0.046,0.171,0.0482,121,261,187,34.08,537,13,0.103,0.190,0.0238,261,435,369,113.61,1364,11,0.263,0.165,0.0081,507,667,577,120.74,1386,21,0.267,0.314,0.0152,667,755,715,209.14,1511,10,0.291,0.150,0.0067
"US","Louisiana","Avoyelles",22009,40144,10688,195,26624.15,4857.51,0.0182,5,97,265,181,65.04,1566,54,0.147,0.279,0.0347,265,428,351,88.01,2355,60,0.220,0.309,0.0256,506,635,574,155.42,2721,54,0.255,0.277,0.0199,635,675,649,68.78,345,4,0.032,0.022,0.0126,675,755,724,273.54,3306,14,0.309,0.073,0.0043
"US","Louisiana","Beauregard",22011,37497,8697,134,23193.86,3573.62,0.0154,5,96,245,184,57.42,953,34,0.110,0.257,0.0362,245,414,351,83.39,1896,31,0.218,0.230,0.0162,414,499,427,21.92,385,10,0.044,0.076,0.0263,499,671,594,135.64,2899,47,0.333,0.348,0.0161,671,755,728,216.95,2538,11,0.292,0.081,0.0043
"US","Louisiana","Bienville",22013,13241,3666,104,27686.73,7854.39,0.0284,5,57,219,180,49.24,412,31,0.113,0.297,0.0748,219,417,323,134.36,1210,46,0.330,0.447,0.0384,470,498,478,9.52,26,1,0.007,0.010,0.0382,498,665,566,103.69,821,17,0.224,0.164,0.0207,665,755,728,258.89,1158,6,0.316,0.055,0.0049
"US","Louisiana","Bossier",22015,127039,34913,448,27482.11,3526.48,0.0128,5,109,225,181,33.06,2445,74,0.070,0.166,0.0305,225,424,353,93.73,10452,190,0.299,0.423,0.0181,424,504,443,15.17,1095,24,0.031,0.055,0.0223,504,660,574,104.28,7595,100,0.218,0.224,0.0132,660,755,724,333.27,13058,42,0.374,0.093,0.0032
"US","Louisiana","Caddo",22017,240203,62726,1070,26113.75,4454.57,0.0171,5,129,226,184,40.37,5083,143,0.081,0.134,0.0282,226,425,352,86.83,17481,387,0.279,0.362,0.0222,425,509,476,12.36,1988,48,0.032,0.045,0.0241,509,661,567,99.06,12762,210,0.203,0.196,0.0164,661,755,714,282.81,23023,103,0.367,0.097,0.0045
"US","Louisiana","Calcasieu",22019,203436,51231,674,25182.86,3313.08,0.0132,5,59,112,75,7.59,500,39,0.010,0.058,0.0778,112,247,181,78.98,7319,172,0.143,0.255,0.0235,247,499,351,77.20,15054,231,0.294,0.343,0.0154,499,665,568,104.02,11902,182,0.232,0.270,0.0153,665,755,724,233.52,16499,53,0.322,0.078,0.0032
