Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Maine","Androscoggin",23001,108277,19500,203,18009.36,1874.82,0.0104,5,60,194,120,11.79,548,7,0.028,0.034,0.0127,194,405,358,60.83,4284,49,0.220,0.243,0.0115,405,532,451,74.09,3611,30,0.185,0.149,0.0084,532,710,687,90.50,7056,73,0.362,0.360,0.0104,710,755,755,173.96,4078,45,0.209,0.221,0.0110
"US","Maine","Aroostook",23003,67055,9374,117,13979.57,1744.84,0.0125,5,251,407,345,41.62,1243,42,0.133,0.360,0.0339,407,521,448,15.88,615,5,0.066,0.042,0.0080,532,628,589,52.88,1632,30,0.174,0.259,0.0186,628,722,688,132.62,4207,32,0.449,0.276,0.0077,722,755,755,232.57,1689,7,0.180,0.061,0.0043
"US","Maine","Cumberland",23005,295003,41291,310,13996.81,1050.84,0.0075,4,54,227,121,8.54,2210,70,0.054,0.226,0.0317,227,407,357,55.74,10499,110,0.254,0.354,0.0104,407,520,449,30.04,4578,21,0.111,0.066,0.0045,520,755,755,226.72,24057,111,0.583,0.357,0.0046,,,,,,,,,
"US","Maine","Franklin",23007,30199,4767,50,15785.29,1655.68,0.0105,5,234,412,368,51.89,869,12,0.182,0.233,0.0134,412,536,450,39.67,477,3,0.100,0.052,0.0054,536,720,689,111.00,2542,30,0.533,0.605,0.0119,720,731,722,115.33,320,1,0.067,0.020,0.0031,731,755,755,186.23,557,4,0.117,0.081,0.0072
"US","Maine","Hancock",23009,54987,5801,73,10549.77,1327.59,0.0126,5,185,216,191,2.86,25,0,0.004,0.000,0.0000,268,403,327,22.37,849,33,0.146,0.447,0.0384,403,522,446,15.46,475,5,0.082,0.064,0.0098,532,717,618,56.36,3221,28,0.555,0.383,0.0087,717,755,755,188.79,1229,7,0.212,0.102,0.0061
"US","Maine","Kennebec",23011,122302,18667,194,15263.04,1586.24,0.0104,5,59,96,82,6.14,100,5,0.005,0.028,0.0543,237,403,358,43.78,3436,40,0.184,0.205,0.0116,403,527,450,45.46,2987,24,0.160,0.121,0.0079,527,718,689,81.99,8535,84,0.457,0.431,0.0098,718,755,755,200.37,3604,38,0.193,0.194,0.0105
"US","Maine","Knox",23013,39772,4837,22,12161.82,553.15,0.0045,5,61,87,69,1.84,11,0,0.002,0.000,0.0000,238,393,360,25.37,584,4,0.121,0.183,0.0069,393,513,467,20.84,530,1,0.109,0.046,0.0019,522,662,645,47.75,1097,7,0.227,0.334,0.0067,662,755,755,200.09,2607,9,0.539,0.400,0.0034
"US","Maine","Lincoln",23015,34634,4254,22,12282.73,635.21,0.0052,5,232,259,253,2.60,13,0,0.003,0.000,0.0000,264,410,334,19.69,543,1,0.128,0.046,0.0019,410,524,469,29.94,489,1,0.115,0.046,0.0021,524,644,615,42.30,725,3,0.171,0.135,0.0041,644,755,755,227.15,2458,17,0.578,0.757,0.0068
"US","Maine","Out of ME",80023,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Maine","Oxford",23017,57975,9414,123,16238.03,2121.60,0.0131,5,217,264,241,8.64,97,2,0.010,0.015,0.0193,274,405,332,57.49,2069,50,0.220,0.405,0.0241,405,530,451,51.19,1431,17,0.152,0.136,0.0117,530,720,689,96.01,4315,44,0.458,0.354,0.0101,720,755,755,165.49,1491,12,0.158,0.099,0.0082
"US","Maine","Penobscot",23019,152148,22066,273,14502.98,1794.31,0.0124,5,267,401,347,33.15,3605,77,0.163,0.280,0.0212,401,528,480,19.01,2497,17,0.113,0.062,0.0068,528,651,606,75.05,6112,90,0.277,0.329,0.0147,651,722,693,92.99,6107,51,0.277,0.188,0.0084,722,755,755,215.00,3617,35,0.164,0.129,0.0098
"US","Maine","Piscataquis",23021,16785,2436,26,14512.96,1549.00,0.0107,5,367,440,405,41.17,215,3,0.088,0.116,0.0140,440,528,479,28.30,199,3,0.082,0.116,0.0151,528,648,616,98.18,747,5,0.307,0.187,0.0065,648,724,689,115.22,778,11,0.319,0.434,0.0145,724,755,755,189.75,332,3,0.136,0.115,0.0090
"US","Maine","Sagadahoc",23023,35856,4143,25,11554.55,697.23,0.0060,5,56,82,70,2.37,15,1,0.004,0.020,0.0351,177,209,191,3.24,24,0,0.006,0.000,0.0000,238,406,355,43.40,827,5,0.200,0.198,0.0060,406,512,446,32.94,585,6,0.141,0.245,0.0105,539,755,755,202.14,2666,15,0.644,0.593,0.0056
"US","Maine","Somerset",23025,50484,7994,88,15834.72,1743.13,0.0110,5,251,405,358,26.82,1163,19,0.145,0.216,0.0164,405,531,451,42.96,1043,5,0.130,0.058,0.0049,531,670,615,86.42,2893,26,0.362,0.297,0.0090,670,724,690,85.29,1745,20,0.218,0.224,0.0113,724,755,755,130.24,1116,11,0.140,0.123,0.0097
"US","Maine","Unassigned",90023,-1,122,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Maine","Waldo",23027,39715,4903,52,12345.46,1309.33,0.0106,5,249,347,330,16.87,311,3,0.064,0.058,0.0098,400,516,478,21.65,470,2,0.096,0.040,0.0045,520,654,599,58.44,1534,13,0.313,0.249,0.0084,654,720,715,83.85,1358,11,0.277,0.205,0.0079,720,755,755,199.97,1005,8,0.205,0.154,0.0079
"US","Maine","Washington",23029,31378,3396,45,10822.87,1434.13,0.0133,5,267,417,331,33.88,718,14,0.211,0.312,0.0196,417,463,437,9.31,93,1,0.027,0.023,0.0109,463,531,492,10.99,117,3,0.035,0.063,0.0243,535,718,616,72.92,1913,23,0.563,0.521,0.0123,718,755,755,152.08,548,4,0.161,0.093,0.0076
"US","Maine","York",23031,207641,33432,220,16100.87,1059.52,0.0066,5,180,259,244,6.81,657,5,0.020,0.024,0.0080,259,406,346,66.93,8359,102,0.250,0.462,0.0121,406,521,447,37.69,3940,16,0.118,0.074,0.0041,521,646,620,35.01,4520,23,0.135,0.107,0.0052,646,755,755,223.39,15459,64,0.462,0.290,0.0041
