Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Maryland","Allegany",24001,70416,16150,340,22935.13,4828.45,0.0211,5,232,412,316,174.14,6015,178,0.372,0.525,0.0297,412,525,450,16.33,633,12,0.039,0.035,0.0190,525,669,605,72.06,3229,50,0.200,0.148,0.0156,669,690,678,45.64,470,10,0.029,0.030,0.0219,696,755,718,234.66,5425,69,0.336,0.202,0.0126
"US","Maryland","Anne Arundel",24003,579234,85896,1020,14829.24,1760.95,0.0119,5,58,157,130,12.23,5033,205,0.059,0.201,0.0407,215,406,354,59.88,27998,310,0.326,0.304,0.0111,406,517,445,23.12,8068,121,0.094,0.119,0.0151,517,667,588,19.31,10598,124,0.123,0.121,0.0117,696,755,708,216.67,29793,225,0.347,0.221,0.0076
"US","Maryland","Baltimore",24005,827370,126632,2373,15305.37,2868.12,0.0187,5,149,248,187,21.68,10416,187,0.082,0.079,0.0180,248,400,303,42.90,32791,645,0.259,0.272,0.0197,400,520,445,34.43,15525,414,0.123,0.174,0.0267,520,646,617,16.66,10790,164,0.085,0.069,0.0152,696,755,709,249.64,45511,468,0.359,0.197,0.0103
"US","Maryland","Baltimore City",24510,593490,106551,1700,17953.29,2864.41,0.0160,5,151,241,190,27.66,8237,167,0.077,0.098,0.0202,241,397,303,45.49,24702,393,0.232,0.231,0.0159,397,521,445,42.44,13268,379,0.125,0.223,0.0286,521,649,618,20.23,8651,101,0.081,0.060,0.0117,696,755,708,344.03,41581,317,0.390,0.186,0.0076
"US","Maryland","Calvert",24009,92525,10715,136,11580.65,1469.87,0.0127,5,152,224,193,13.60,404,5,0.038,0.033,0.0112,224,411,354,54.54,2915,44,0.272,0.326,0.0152,411,516,427,11.18,537,13,0.050,0.098,0.0248,531,668,620,25.95,1662,15,0.155,0.111,0.0091,696,755,709,197.24,4629,34,0.432,0.250,0.0073
"US","Maryland","Caroline",24011,33406,5815,77,17407.05,2304.98,0.0132,5,61,151,110,28.95,293,2,0.050,0.030,0.0080,263,415,354,62.80,1387,14,0.239,0.176,0.0098,415,512,449,17.06,286,9,0.049,0.120,0.0323,531,652,611,46.52,904,21,0.155,0.274,0.0233,696,755,708,240.35,2201,24,0.379,0.306,0.0107
"US","Maryland","Carroll",24013,168447,20514,382,12178.31,2267.78,0.0186,5,58,155,118,10.00,1081,110,0.053,0.287,0.1016,243,404,352,43.76,5646,89,0.275,0.234,0.0158,404,518,436,20.47,1988,41,0.097,0.106,0.0204,532,640,612,23.15,2121,33,0.103,0.087,0.0156,696,755,708,168.72,7510,85,0.366,0.224,0.0114
"US","Maryland","Cecil",24015,102855,14735,250,14325.99,2430.61,0.0170,5,59,153,111,10.03,462,29,0.031,0.116,0.0630,153,403,323,55.45,4551,91,0.309,0.364,0.0200,403,514,451,25.88,1319,32,0.089,0.130,0.0246,514,670,617,36.01,2963,36,0.201,0.142,0.0120,696,755,716,152.81,5084,56,0.345,0.225,0.0111
"US","Maryland","Charles",24017,163257,26823,334,16429.92,2045.85,0.0125,5,153,250,193,12.96,1452,15,0.054,0.045,0.0103,250,414,356,42.68,6406,61,0.239,0.184,0.0096,414,520,436,18.54,1813,54,0.068,0.162,0.0299,520,667,586,32.76,3829,51,0.143,0.152,0.0133,696,755,709,314.38,11755,66,0.438,0.198,0.0056
"US","Maryland","Dorchester",24019,31929,7408,104,23201.48,3257.23,0.0140,5,142,217,182,27.40,278,2,0.037,0.015,0.0055,217,420,357,93.18,1977,41,0.267,0.392,0.0206,420,520,454,26.65,444,19,0.060,0.185,0.0434,520,668,599,60.26,1474,20,0.199,0.193,0.0136,696,755,720,288.45,2902,17,0.392,0.161,0.0058
"US","Maryland","Frederick",24021,259547,43691,499,16833.56,1922.58,0.0114,5,60,168,121,14.01,2561,120,0.059,0.240,0.0468,168,412,356,70.78,14705,164,0.337,0.330,0.0112,412,516,444,19.92,2599,58,0.059,0.117,0.0224,522,638,577,22.59,4106,32,0.094,0.064,0.0078,696,755,710,260.13,17444,102,0.399,0.205,0.0059
"US","Maryland","Garrett",24023,29014,5338,112,18398.01,3860.21,0.0210,5,230,406,309,115.43,1780,61,0.333,0.543,0.0342,406,516,451,11.93,200,4,0.038,0.036,0.0201,523,682,645,76.62,1825,21,0.342,0.188,0.0116,682,691,682,50.04,55,0,0.010,0.000,0.0000,696,755,707,151.96,1429,26,0.268,0.234,0.0183
