Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Michigan","Alcona",26001,10405,1675,67,16098.03,6439.21,0.0400,5,208,254,223,6.92,18,1,0.011,0.013,0.0482,254,397,316,103.60,382,22,0.228,0.330,0.0579,397,507,448,93.99,312,8,0.186,0.122,0.0262,540,696,641,82.08,648,21,0.387,0.307,0.0318,696,755,718,72.37,289,14,0.172,0.207,0.0481
"US","Michigan","Alger",26003,9108,1671,13,18346.51,1427.32,0.0078,5,241,329,267,57.97,254,2,0.152,0.155,0.0080,329,404,363,55.56,166,3,0.099,0.229,0.0180,404,527,443,22.07,85,2,0.051,0.160,0.0246,560,650,624,88.93,341,2,0.204,0.157,0.0060,650,755,727,264.71,814,4,0.487,0.316,0.0050
"US","Michigan","Allegan",26005,118081,26572,324,22503.20,2743.88,0.0122,5,144,213,177,5.87,307,-0,0.012,-0.000,-0.0000,213,394,299,87.51,6620,111,0.249,0.343,0.0168,394,523,448,70.15,3992,43,0.150,0.133,0.0108,523,692,664,109.10,8167,90,0.307,0.277,0.0110,692,755,731,193.94,7292,77,0.274,0.239,0.0106
"US","Michigan","Alpena",26007,28405,5406,127,19031.86,4471.04,0.0235,5,262,397,313,97.20,1325,33,0.245,0.261,0.0250,397,514,448,69.28,800,15,0.148,0.120,0.0190,536,705,665,115.19,2234,48,0.413,0.380,0.0216,705,738,731,91.18,632,11,0.117,0.090,0.0181,738,755,738,82.38,302,5,0.056,0.038,0.0161
"US","Michigan","Antrim",26009,23324,4195,57,17985.77,2443.83,0.0136,5,231,388,311,54.49,830,19,0.198,0.332,0.0228,388,524,443,70.23,746,11,0.178,0.191,0.0146,524,643,626,74.69,731,8,0.174,0.143,0.0112,643,685,665,74.34,588,6,0.140,0.109,0.0106,685,755,730,138.10,1266,14,0.302,0.238,0.0107
"US","Michigan","Arenac",26011,14883,3130,62,21030.71,4165.83,0.0198,5,65,141,98,9.07,38,1,0.012,0.016,0.0267,239,402,306,101.12,687,21,0.219,0.340,0.0307,402,520,445,81.70,457,5,0.146,0.080,0.0109,525,682,632,113.69,937,16,0.299,0.260,0.0172,682,755,730,197.81,995,17,0.318,0.279,0.0174
"US","Michigan","Baraga",26013,8209,1988,53,24217.32,6456.33,0.0267,5,220,330,295,187.23,537,28,0.270,0.519,0.0512,360,410,379,17.91,39,3,0.020,0.056,0.0757,410,530,469,80.28,216,7,0.109,0.129,0.0318,548,687,654,120.84,602,7,0.303,0.134,0.0118,687,755,729,196.49,567,7,0.285,0.133,0.0125
"US","Michigan","Barry",26015,61550,14032,155,22797.73,2518.28,0.0110,5,122,197,135,4.55,118,0,0.008,0.003,0.0038,197,394,311,91.52,3513,40,0.250,0.260,0.0115,394,524,450,81.98,2284,27,0.163,0.175,0.0119,524,693,665,110.50,4339,51,0.309,0.330,0.0118,693,755,730,203.64,3763,36,0.268,0.234,0.0096
"US","Michigan","Bay",26017,103125,26542,551,25737.70,5343.03,0.0208,5,152,233,201,11.82,518,16,0.020,0.029,0.0305,233,389,298,111.49,6373,235,0.240,0.427,0.0369,389,524,446,90.44,4008,75,0.151,0.137,0.0188,524,680,680,87.98,6182,77,0.233,0.140,0.0125,680,755,729,294.20,9189,122,0.346,0.221,0.0132
"US","Michigan","Benzie",26019,17766,3353,63,18873.13,3546.10,0.0188,5,150,188,179,6.47,23,1,0.007,0.016,0.0434,197,401,312,86.29,886,30,0.264,0.477,0.0339,401,512,449,54.20,369,5,0.110,0.080,0.0137,534,692,666,106.61,1004,10,0.300,0.159,0.0100,692,755,729,226.56,1076,18,0.321,0.279,0.0164
"US","Michigan","Berrien",26021,153401,34163,499,22270.39,3252.91,0.0146,5,58,150,134,15.80,844,59,0.025,0.119,0.0703,224,394,301,103.29,9665,166,0.283,0.332,0.0172,394,525,448,47.14,4249,56,0.124,0.113,0.0133,525,630,603,56.67,3148,33,0.092,0.067,0.0106,630,755,730,183.13,15544,176,0.455,0.352,0.0113
"US","Michigan","Branch",26023,43517,11122,163,25557.83,3745.66,0.0147,5,177,399,300,131.21,3454,84,0.311,0.515,0.0243,399,518,449,57.49,1160,10,0.104,0.064,0.0090,518,609,598,45.91,1009,11,0.091,0.069,0.0111,609,695,666,105.11,2413,25,0.217,0.155,0.0105,695,738,732,232.58,2226,25,0.200,0.154,0.0113
"US","Michigan","Calhoun",26025,134158,33233,538,24771.54,4010.20,0.0162,5,59,126,86,6.71,352,21,0.011,0.040,0.0610,126,154,134,8.21,165,10,0.005,0.019,0.0615,154,387,292,78.42,8737,196,0.263,0.364,0.0224,387,523,448,66.23,5330,91,0.160,0.169,0.0170,523,755,729,250.05,18681,222,0.562,0.413,0.0119
"US","Michigan","Cass",26027,51787,10954,128,21152.03,2471.66,0.0117,5,62,208,182,10.00,362,15,0.033,0.116,0.0410,208,389,301,86.06,3512,45,0.321,0.351,0.0128,389,523,432,46.00,1635,18,0.149,0.141,0.0110,523,637,606,57.43,1488,12,0.136,0.091,0.0079,637,755,730,120.32,3990,40,0.364,0.310,0.0100
"US","Michigan","Charlevoix",26029,26143,4830,56,18475.31,2142.06,0.0116,5,143,187,174,4.09,22,0,0.005,0.008,0.0204,190,392,314,65.18,983,11,0.204,0.191,0.0109,392,517,446,67.97,651,10,0.135,0.172,0.0148,526,676,668,73.48,1316,20,0.272,0.364,0.0155,676,755,729,178.82,1853,14,0.384,0.247,0.0075
"US","Michigan","Cheboygan",26031,25276,4507,93,17831.14,3679.38,0.0206,5,169,238,219,7.16,59,0,0.013,0.000,0.0000,238,369,305,49.41,761,32,0.169,0.344,0.0420,369,509,448,85.81,1084,11,0.240,0.122,0.0104,536,676,625,73.75,1336,28,0.296,0.301,0.0210,676,755,730,109.63,1249,19,0.277,0.209,0.0156
"US","Michigan","Chippewa",26033,37349,8175,89,21888.14,2382.93,0.0109,5,154,231,221,3.45,62,0,0.008,0.000,0.0000,231,390,296,73.76,1656,25,0.203,0.277,0.0149,390,519,430,48.57,786,10,0.096,0.108,0.0122,519,648,619,73.20,1344,18,0.164,0.199,0.0132,648,755,730,308.66,4344,38,0.531,0.423,0.0087
"US","Michigan","Clare",26035,30950,6586,150,21279.48,4846.53,0.0228,5,228,402,315,60.23,1505,65,0.228,0.434,0.0433,402,525,446,77.80,874,16,0.133,0.105,0.0180,525,694,629,100.58,2455,41,0.373,0.271,0.0166,694,738,731,171.89,1286,22,0.195,0.149,0.0173,738,755,738,131.50,428,4,0.065,0.023,0.0082
"US","Michigan","Clinton",26037,79595,20422,192,25657.39,2412.21,0.0094,5,111,201,188,8.91,298,3,0.015,0.016,0.0102,201,390,297,80.88,4510,56,0.221,0.292,0.0124,390,526,441,68.77,2734,24,0.134,0.124,0.0087,526,680,679,102.20,4919,41,0.241,0.212,0.0083,680,755,736,250.64,7926,60,0.388,0.314,0.0076
"US","Michigan","Crawford",26039,14028,2480,26,17678.93,1853.44,0.0105,5,229,388,301,59.24,458,-0,0.185,-0.000,-0.0000,388,501,438,75.56,421,9,0.170,0.347,0.0214,546,699,666,101.23,908,6,0.366,0.233,0.0067,699,738,732,133.59,425,3,0.171,0.122,0.0075,738,755,738,113.27,171,3,0.069,0.117,0.0178
"US","Michigan","Delta",26041,35784,9779,148,27327.86,4135.93,0.0151,5,156,389,295,132.49,3076,82,0.315,0.552,0.0265,389,505,449,59.27,960,11,0.098,0.072,0.0111,534,647,613,77.69,1798,12,0.184,0.079,0.0065,647,683,664,86.69,886,20,0.091,0.132,0.0221,683,755,729,318.58,3084,23,0.315,0.157,0.0075
"US","Michigan","Dickinson",26043,25239,7275,102,28824.44,4041.36,0.0140,5,207,398,296,172.79,2306,67,0.317,0.657,0.0291,398,517,447,41.21,390,5,0.054,0.049,0.0129,523,643,605,99.09,1230,7,0.169,0.068,0.0056,643,682,679,98.62,753,7,0.104,0.068,0.0092,682,755,729,342.53,2573,15,0.354,0.145,0.0058
"US","Michigan","Eaton",26045,110267,25960,370,23542.86,3355.49,0.0143,5,107,175,135,6.26,219,1,0.008,0.003,0.0046,202,391,313,68.03,5620,139,0.216,0.377,0.0248,391,523,440,86.29,4085,65,0.157,0.175,0.0159,523,679,665,105.87,6056,70,0.233,0.189,0.0115,679,755,730,264.63,9850,91,0.379,0.246,0.0092
"US","Michigan","Emmet",26047,33415,6255,73,18719.14,2184.65,0.0117,5,156,241,211,10.03,123,2,0.020,0.028,0.0165,241,395,294,84.30,1341,34,0.214,0.463,0.0252,395,517,443,63.98,894,5,0.143,0.075,0.0061,530,648,623,62.55,1095,8,0.175,0.106,0.0071,648,755,729,200.99,2794,23,0.447,0.311,0.0081
"US","Michigan","Federal Correctional Institution (FCI)",0,-1,324,5,0.00,0.00,0.0154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Michigan","Genesee",26049,405813,98895,1608,24369.60,3962.42,0.0163,5,57,122,76,14.91,1932,241,0.020,0.150,0.1245,156,215,182,7.31,1201,16,0.012,0.010,0.0136,215,385,301,77.28,20921,435,0.212,0.271,0.0208,385,522,446,91.83,17003,234,0.172,0.146,0.0138,522,755,729,226.02,57155,639,0.578,0.397,0.0112
"US","Michigan","Gladwin",26051,25448,5477,106,21522.32,4165.36,0.0194,5,171,223,189,9.04,51,1,0.009,0.010,0.0199,223,397,300,105.51,1393,41,0.254,0.385,0.0293,397,514,443,102.80,836,16,0.153,0.155,0.0197,530,673,615,78.40,1362,21,0.249,0.202,0.0157,673,755,729,207.91,1820,24,0.332,0.228,0.0133
"US","Michigan","Gogebic",26053,13975,3196,65,22869.41,4651.16,0.0203,5,146,229,191,35.56,142,0,0.044,0.000,0.0000,229,351,273,107.19,880,38,0.275,0.585,0.0432,351,508,369,48.80,383,13,0.120,0.193,0.0327,521,686,678,98.60,788,5,0.247,0.075,0.0062,686,755,729,265.12,1010,9,0.316,0.131,0.0085
"US","Michigan","Grand Traverse",26055,93087,16618,205,17852.12,2202.24,0.0123,5,152,235,217,9.77,391,2,0.024,0.009,0.0048,235,392,319,49.46,3689,59,0.222,0.290,0.0161,392,510,443,54.51,2367,33,0.142,0.159,0.0138,523,688,666,85.24,5021,57,0.302,0.277,0.0113,688,755,729,178.92,5170,51,0.311,0.248,0.0098
"US","Michigan","Gratiot",26057,40711,10424,173,25604.87,4249.47,0.0166,5,161,395,300,109.43,2646,88,0.254,0.507,0.0331,395,528,444,72.95,1357,21,0.130,0.119,0.0152,548,689,663,102.43,3286,27,0.315,0.158,0.0083,689,738,734,208.84,2300,23,0.221,0.135,0.0101,738,755,738,193.34,862,2,0.083,0.014,0.0028
"US","Michigan","Hillsdale",26059,45605,10162,184,22282.64,4034.65,0.0181,5,222,398,301,107.33,3018,46,0.297,0.251,0.0153,398,510,452,42.63,1097,21,0.108,0.113,0.0190,532,700,680,101.50,3714,73,0.365,0.395,0.0196,700,738,733,153.56,1478,15,0.145,0.080,0.0099,738,755,738,139.96,645,4,0.064,0.024,0.0069
"US","Michigan","Houghton",26061,35684,7604,88,21309.27,2466.09,0.0116,5,186,276,249,68.94,863,8,0.113,0.095,0.0097,276,342,319,69.13,1073,23,0.141,0.266,0.0218,342,407,352,65.83,711,9,0.093,0.102,0.0126,541,692,665,115.57,2364,21,0.311,0.240,0.0090,692,755,729,228.09,2112,24,0.278,0.278,0.0116
"US","Michigan","Huron",26063,30981,7932,141,25602.79,4551.18,0.0178,5,141,230,184,14.49,148,3,0.019,0.024,0.0232,236,386,321,116.04,1850,51,0.233,0.364,0.0277,386,522,441,139.89,2040,26,0.257,0.187,0.0129,542,695,680,103.68,2032,35,0.256,0.251,0.0174,695,755,732,201.22,1822,25,0.230,0.174,0.0135
