Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Minnesota","Aitkin",27001,15886,2850,59,17940.32,3713.96,0.0207,5,104,142,131,3.34,12,0,0.004,0.000,0.0000,157,409,299,146.61,1178,33,0.413,0.560,0.0280,409,522,442,29.08,199,4,0.070,0.068,0.0201,540,705,681,79.44,1025,16,0.360,0.278,0.0160,705,755,736,100.97,439,6,0.154,0.098,0.0132
"US","Minnesota","Anoka",27003,356921,96539,759,27047.72,2126.52,0.0079,4,64,150,120,12.76,1852,98,0.019,0.129,0.0528,150,393,297,141.03,30898,285,0.320,0.375,0.0092,393,521,444,49.83,10128,80,0.105,0.105,0.0079,521,755,734,236.93,53729,299,0.557,0.394,0.0056,,,,,,,,,
"US","Minnesota","Becker",27005,34423,8439,86,24515.59,2498.33,0.0102,5,142,213,188,13.92,128,1,0.015,0.015,0.0097,213,400,304,160.79,2911,40,0.345,0.465,0.0137,400,523,444,48.19,793,15,0.094,0.173,0.0187,523,694,617,104.90,2622,22,0.311,0.253,0.0083,694,755,737,186.53,1959,9,0.232,0.102,0.0045
"US","Minnesota","Beltrami",27007,47188,11088,118,23497.50,2500.64,0.0106,5,111,218,184,15.39,302,1,0.027,0.009,0.0034,218,403,309,103.86,3064,50,0.276,0.422,0.0163,403,524,443,22.04,716,12,0.065,0.099,0.0164,524,695,621,109.10,4472,43,0.403,0.363,0.0096,695,755,736,187.97,2555,14,0.230,0.116,0.0053
"US","Minnesota","Benton",27009,40889,13610,165,33285.24,4035.32,0.0121,5,83,150,106,18.22,198,3,0.015,0.018,0.0153,150,385,300,184.33,4156,86,0.305,0.524,0.0208,385,514,438,58.82,1480,9,0.109,0.054,0.0060,528,693,683,125.78,3829,36,0.281,0.217,0.0093,693,755,737,298.27,3984,32,0.293,0.192,0.0079
"US","Minnesota","Big Stone",27011,4991,1342,8,26888.40,1602.89,0.0060,5,169,374,312,133.84,456,3,0.340,0.379,0.0066,374,420,384,38.67,59,1,0.044,0.126,0.0171,420,492,454,49.89,74,0,0.055,0.001,0.0001,532,688,650,116.81,368,2,0.274,0.244,0.0053,688,752,738,236.83,359,2,0.268,0.274,0.0061
"US","Minnesota","Blue Earth",27013,67653,17184,89,25400.20,1315.54,0.0052,5,254,379,299,132.97,3827,27,0.223,0.304,0.0071,379,518,446,38.76,2049,10,0.119,0.117,0.0051,518,690,684,83.14,4437,29,0.258,0.328,0.0066,690,738,735,245.71,3759,14,0.219,0.152,0.0036,738,755,738,225.98,1561,3,0.091,0.035,0.0020
"US","Minnesota","Brown",27015,25008,6419,72,25667.79,2879.08,0.0112,5,198,371,303,180.58,2113,32,0.329,0.450,0.0153,371,507,432,53.02,886,6,0.138,0.080,0.0065,546,691,650,79.05,1790,23,0.279,0.322,0.0130,691,738,735,220.09,1119,7,0.174,0.098,0.0063,738,755,738,201.18,487,2,0.076,0.032,0.0047
"US","Minnesota","Carlton",27017,35871,8564,88,23874.44,2453.24,0.0103,5,65,139,94,5.97,78,0,0.009,0.000,0.0000,157,402,306,145.02,2913,47,0.340,0.534,0.0161,402,525,446,27.35,548,10,0.064,0.119,0.0190,525,697,680,91.19,2376,23,0.277,0.263,0.0097,697,755,739,268.74,2670,9,0.312,0.097,0.0032
"US","Minnesota","Carver",27019,105089,25866,107,24613.42,1018.18,0.0041,5,135,232,187,14.13,991,4,0.038,0.041,0.0045,232,377,300,122.11,5969,33,0.231,0.310,0.0056,377,521,442,58.85,3514,9,0.136,0.084,0.0026,521,686,665,93.68,6613,26,0.256,0.242,0.0039,686,755,732,238.59,8664,34,0.335,0.315,0.0039
