Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Mississippi","Adams",28001,30692,7061,139,23006.00,4528.87,0.0197,5,128,253,184,39.55,764,23,0.108,0.165,0.0301,253,336,303,47.11,775,18,0.110,0.128,0.0230,336,427,354,55.88,691,25,0.098,0.182,0.0366,512,660,568,83.12,1606,39,0.227,0.282,0.0244,660,755,745,220.35,2394,15,0.339,0.108,0.0063
"US","Mississippi","Alcorn",28003,36953,9785,140,26479.58,3788.60,0.0143,5,110,249,185,43.62,807,10,0.083,0.072,0.0124,249,419,352,78.02,2130,52,0.218,0.372,0.0244,419,487,460,19.59,214,8,0.022,0.057,0.0370,487,652,574,122.99,2582,32,0.264,0.230,0.0125,652,755,729,313.78,4057,38,0.415,0.272,0.0094
"US","Mississippi","Amite",28005,12297,3188,65,25925.02,5285.84,0.0204,5,133,226,184,41.47,218,6,0.069,0.099,0.0296,276,408,321,113.77,700,22,0.220,0.335,0.0311,497,669,585,125.07,843,15,0.264,0.228,0.0176,669,738,726,238.27,785,3,0.246,0.045,0.0037,738,755,743,197.12,331,6,0.104,0.087,0.0170
"US","Mississippi","Attala",28007,18174,5131,105,28232.64,5777.48,0.0205,5,55,150,105,51.23,336,23,0.065,0.219,0.0686,150,227,185,35.55,262,2,0.051,0.019,0.0077,227,466,315,103.55,1547,48,0.301,0.457,0.0310,493,657,570,170.68,1211,17,0.236,0.162,0.0141,657,755,755,444.04,1774,16,0.346,0.148,0.0087
"US","Mississippi","Benton",28009,8259,2242,46,27146.14,5569.68,0.0205,5,133,230,190,50.49,189,1,0.084,0.022,0.0054,230,306,276,70.59,281,16,0.125,0.349,0.0573,306,446,351,117.69,493,8,0.220,0.177,0.0165,513,663,570,100.01,491,14,0.219,0.305,0.0285,663,755,743,226.78,729,7,0.325,0.153,0.0097
"US","Mississippi","Bolivar",28011,30628,9105,166,29727.70,5419.88,0.0182,5,55,111,73,13.94,121,9,0.013,0.055,0.0753,111,264,187,94.62,1829,66,0.201,0.398,0.0361,264,475,352,129.78,2857,58,0.314,0.347,0.0201,475,668,587,85.31,1628,19,0.179,0.115,0.0117,668,755,723,216.50,2682,15,0.295,0.091,0.0056
"US","Mississippi","Calhoun",28013,14361,4535,59,31578.58,4108.35,0.0130,5,118,233,181,100.13,438,8,0.097,0.131,0.0176,233,429,337,113.85,1122,18,0.247,0.311,0.0164,429,513,450,23.47,124,2,0.027,0.038,0.0181,513,657,574,160.43,1083,17,0.239,0.289,0.0157,657,755,727,404.99,1714,10,0.378,0.171,0.0059
"US","Mississippi","Carroll",28015,9947,2530,49,25434.80,4926.11,0.0194,5,62,136,101,79.52,119,11,0.047,0.226,0.0927,136,227,177,44.23,177,1,0.070,0.020,0.0056,227,493,267,136.83,928,18,0.367,0.370,0.0195,522,659,573,99.53,490,10,0.194,0.209,0.0208,659,755,721,214.74,818,9,0.323,0.181,0.0109
"US","Mississippi","Chickasaw",28017,17103,5475,89,32011.93,5203.77,0.0163,5,54,119,112,17.66,119,12,0.022,0.133,0.0997,119,230,157,41.40,494,11,0.090,0.124,0.0223,230,431,331,117.41,1425,33,0.260,0.370,0.0231,502,648,585,93.49,935,8,0.171,0.090,0.0086,648,755,728,412.27,2443,22,0.446,0.249,0.0091
"US","Mississippi","Choctaw",28019,8210,2089,30,25444.58,3654.08,0.0144,5,155,252,188,32.76,118,3,0.056,0.098,0.0249,252,429,313,83.07,536,10,0.257,0.336,0.0188,429,516,489,23.14,70,2,0.033,0.067,0.0290,516,663,588,155.30,567,9,0.271,0.303,0.0160,663,755,729,227.16,732,3,0.350,0.105,0.0043
"US","Mississippi","Claiborne",28021,8988,2124,46,23631.51,5117.94,0.0217,5,63,224,156,88.67,440,16,0.207,0.348,0.0364,224,292,259,58.97,114,0,0.054,0.001,0.0003,292,506,353,122.16,478,14,0.225,0.306,0.0295,506,671,571,81.55,312,8,0.147,0.176,0.0259,671,755,721,299.18,783,8,0.369,0.172,0.0101
"US","Mississippi","Clarke",28023,15540,4144,103,26666.67,6628.06,0.0249,5,144,230,221,41.63,328,12,0.079,0.119,0.0373,285,459,368,86.23,992,25,0.239,0.248,0.0257,516,676,574,207.98,1223,15,0.295,0.147,0.0124,676,738,728,232.50,823,1,0.199,0.014,0.0017,738,755,738,157.79,334,7,0.081,0.065,0.0200
"US","Mississippi","Clay",28025,19316,4917,91,25455.58,4711.12,0.0185,5,58,161,153,28.99,241,9,0.049,0.101,0.0383,161,220,184,31.17,231,6,0.047,0.065,0.0256,253,492,350,84.70,1259,35,0.256,0.386,0.0279,492,659,578,139.47,1242,23,0.253,0.255,0.0187,659,755,722,292.50,1816,14,0.369,0.152,0.0076
"US","Mississippi","Coahoma",28027,22124,6394,119,28900.74,5378.77,0.0186,5,53,264,180,120.19,1211,34,0.189,0.288,0.0283,264,447,361,134.51,1691,44,0.264,0.369,0.0260,447,497,459,9.18,80,3,0.013,0.029,0.0433,497,660,587,107.26,1230,28,0.192,0.236,0.0228,660,755,714,269.53,2189,10,0.342,0.085,0.0046
"US","Mississippi","Copiah",28029,28065,7053,107,25130.95,3812.58,0.0152,5,55,234,154,46.04,1137,32,0.161,0.303,0.0285,234,496,318,71.90,1854,34,0.263,0.314,0.0181,496,658,595,90.43,1525,28,0.216,0.263,0.0184,658,738,722,197.08,1796,4,0.255,0.041,0.0025,738,755,745,220.02,782,10,0.111,0.093,0.0127
"US","Mississippi","Covington",28031,18636,6994,103,37529.51,5526.94,0.0147,5,63,238,166,69.60,787,20,0.112,0.198,0.0259,238,442,319,123.47,1760,60,0.252,0.584,0.0342,442,508,476,22.11,126,3,0.018,0.028,0.0227,508,659,568,167.95,1644,12,0.235,0.119,0.0075,659,755,722,514.70,2685,8,0.384,0.078,0.0030
"US","Mississippi","DeSoto",28033,184945,49379,522,26699.29,2822.46,0.0106,5,55,238,191,41.77,5264,54,0.107,0.103,0.0103,238,446,344,82.55,15580,195,0.316,0.374,0.0125,446,514,482,22.42,1505,19,0.030,0.037,0.0129,514,662,587,89.56,10518,156,0.213,0.298,0.0148,662,755,714,205.96,16614,99,0.336,0.191,0.0060
"US","Mississippi","Forrest",28035,74897,21733,294,29017.18,3925.39,0.0135,5,136,229,186,43.27,1623,28,0.075,0.096,0.0175,229,451,328,62.50,5329,81,0.245,0.275,0.0152,501,651,568,174.71,5754,101,0.265,0.342,0.0175,651,738,728,287.27,6040,18,0.278,0.061,0.0030,738,755,738,215.12,2315,24,0.107,0.080,0.0102
"US","Mississippi","Franklin",28037,7712,1906,35,24714.73,4538.38,0.0184,5,123,238,189,45.38,161,1,0.084,0.039,0.0084,238,406,329,117.87,578,16,0.303,0.469,0.0284,406,514,416,30.08,89,4,0.047,0.108,0.0422,514,640,587,102.44,352,5,0.184,0.143,0.0143,640,755,728,265.95,706,7,0.371,0.201,0.0100
"US","Mississippi","George",28039,24500,7064,81,28832.65,3306.12,0.0115,5,59,230,189,143.76,714,13,0.101,0.161,0.0183,230,428,354,82.37,1649,33,0.233,0.406,0.0199,428,507,459,20.98,159,5,0.023,0.062,0.0314,507,676,573,216.90,2584,30,0.366,0.365,0.0115,676,755,729,259.63,1963,1,0.278,0.012,0.0005
"US","Mississippi","Greene",28041,13586,3155,53,23222.43,3901.07,0.0168,5,72,219,180,42.69,289,14,0.092,0.265,0.0486,219,260,246,37.32,131,3,0.042,0.056,0.0228,260,432,322,166.49,877,16,0.278,0.303,0.0183,503,676,574,150.89,934,16,0.296,0.303,0.0172,676,755,744,194.46,908,4,0.288,0.079,0.0046
"US","Mississippi","Grenada",28043,20758,5453,124,26269.39,5973.60,0.0227,5,56,217,161,109.93,915,30,0.168,0.242,0.0328,217,274,238,32.04,302,8,0.055,0.067,0.0277,274,436,327,120.72,1323,43,0.243,0.343,0.0321,533,662,574,103.43,1117,21,0.205,0.170,0.0189,662,755,726,213.27,1697,15,0.311,0.120,0.0088
"US","Mississippi","Hancock",28045,47631,12055,146,25309.15,3065.23,0.0121,5,56,126,70,4.74,87,11,0.007,0.075,0.1256,126,230,186,22.97,436,9,0.036,0.063,0.0210,230,499,361,101.32,3322,67,0.276,0.460,0.0202,499,668,575,211.75,3980,44,0.330,0.299,0.0110,668,755,743,222.71,4238,16,0.352,0.107,0.0037
"US","Mississippi","Harrison",28047,208079,52684,632,25319.23,3037.31,0.0120,5,107,235,196,25.93,3424,63,0.065,0.099,0.0183,235,454,355,78.79,14009,236,0.266,0.374,0.0169,454,497,476,8.43,605,10,0.011,0.016,0.0171,497,667,570,165.05,16554,239,0.314,0.378,0.0144,667,755,745,217.29,17960,80,0.341,0.127,0.0045
"US","Mississippi","Hinds",28049,231839,51561,736,22240.00,3174.62,0.0143,4,56,245,184,54.18,7042,158,0.137,0.214,0.0224,245,487,353,61.03,13416,259,0.260,0.353,0.0193,487,658,573,73.01,11893,222,0.231,0.301,0.0186,658,755,713,248.24,19257,99,0.373,0.135,0.0051,,,,,,,,,
"US","Mississippi","Holmes",28051,17009,4382,104,25762.83,6114.41,0.0237,5,53,148,114,65.32,477,35,0.109,0.336,0.0734,148,258,185,91.66,637,26,0.145,0.245,0.0400,258,499,312,64.61,789,14,0.180,0.136,0.0179,499,657,571,90.42,797,14,0.182,0.137,0.0179,657,755,719,301.25,1687,16,0.385,0.154,0.0095
"US","Mississippi","Humphreys",28053,8064,2002,42,24826.39,5208.33,0.0210,5,56,242,180,70.56,372,15,0.186,0.359,0.0405,242,437,325,86.81,571,17,0.285,0.402,0.0296,437,510,466,15.75,33,1,0.017,0.031,0.0392,533,655,588,75.89,328,6,0.164,0.144,0.0184,655,755,720,265.13,700,4,0.349,0.089,0.0053
"US","Mississippi","Issaquena",28055,1327,257,9,19366.99,6782.22,0.0350,5,146,260,212,560.66,106,3,0.413,0.337,0.0286,273,397,315,108.52,61,3,0.237,0.286,0.0423,541,622,565,40.69,24,1,0.093,0.112,0.0420,703,738,729,217.78,44,0,0.170,0.033,0.0069,738,755,744,119.82,20,2,0.079,0.204,0.0908
"US","Mississippi","Itawamba",28057,23390,7286,136,31150.06,5814.45,0.0187,5,130,274,262,55.66,1032,18,0.142,0.131,0.0173,274,456,335,112.78,1871,52,0.257,0.386,0.0280,521,647,580,145.87,1611,27,0.221,0.196,0.0166,647,738,733,313.72,2046,12,0.281,0.092,0.0061,738,755,738,262.85,643,19,0.088,0.143,0.0302
"US","Mississippi","Jackson",28059,143616,36476,429,25398.28,2987.13,0.0118,5,118,236,182,48.18,3013,53,0.083,0.123,0.0175,236,448,355,70.78,9846,178,0.270,0.415,0.0181,448,492,458,11.50,420,5,0.012,0.012,0.0119,492,669,570,152.41,11268,140,0.309,0.327,0.0125,669,755,722,234.47,11683,41,0.320,0.097,0.0035
"US","Mississippi","Jasper",28061,16382,4735,70,28903.67,4272.98,0.0148,5,65,145,104,27.23,197,4,0.042,0.058,0.0207,145,198,187,38.46,191,5,0.040,0.069,0.0254,272,489,343,134.78,1547,32,0.327,0.452,0.0205,489,674,571,155.54,1189,18,0.251,0.258,0.0152,674,755,729,205.59,1335,4,0.282,0.057,0.0030
"US","Mississippi","Jefferson",28063,6989,1469,37,21018.74,5294.03,0.0252,5,121,245,188,57.09,204,9,0.139,0.244,0.0444,245,341,314,71.83,220,5,0.150,0.135,0.0228,341,502,360,70.83,202,14,0.137,0.382,0.0700,511,672,611,84.42,306,6,0.208,0.163,0.0197,672,755,722,243.53,501,3,0.341,0.077,0.0057
"US","Mississippi","Jefferson Davis",28065,11128,2826,49,25395.40,4403.31,0.0173,5,71,138,96,21.39,83,3,0.030,0.062,0.0363,138,237,194,41.70,235,8,0.083,0.154,0.0322,237,487,327,64.79,757,23,0.268,0.463,0.0300,499,651,574,124.01,652,10,0.231,0.205,0.0154,657,755,714,272.29,1101,6,0.390,0.119,0.0053
