Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Missouri","Adair",29001,25343,5389,59,21264.25,2328.06,0.0109,5,159,312,295,97.30,991,3,0.184,0.049,0.0029,312,386,328,79.11,963,9,0.179,0.160,0.0098,386,441,414,120.11,377,6,0.070,0.104,0.0163,458,639,565,58.28,1060,13,0.197,0.221,0.0123,639,755,728,194.29,1976,27,0.367,0.459,0.0137
"US","Missouri","Andrew",29003,17712,4650,48,26253.39,2710.03,0.0103,5,93,144,116,6.61,34,0,0.007,0.000,0.0000,172,377,303,82.77,1199,16,0.258,0.342,0.0137,377,445,414,352.02,625,1,0.134,0.026,0.0020,459,625,567,68.48,845,5,0.182,0.099,0.0056,625,755,730,238.09,1963,25,0.422,0.515,0.0126
"US","Missouri","Atchison",29005,5143,1347,19,26190.94,3694.34,0.0141,5,156,376,299,118.02,286,6,0.212,0.319,0.0212,404,495,414,306.24,167,0,0.124,0.000,0.0000,543,624,574,88.28,175,1,0.130,0.041,0.0044,624,701,666,145.44,307,11,0.228,0.597,0.0370,701,755,739,275.91,408,1,0.303,0.053,0.0025
"US","Missouri","Audrain",29007,25387,5629,98,22172.77,3860.24,0.0174,5,164,245,237,28.68,276,1,0.049,0.015,0.0054,245,378,343,115.49,1615,48,0.287,0.490,0.0297,378,443,414,289.20,744,7,0.132,0.070,0.0092,487,629,570,98.75,967,7,0.172,0.069,0.0070,629,755,731,167.72,1959,34,0.348,0.351,0.0175
"US","Missouri","Barry",29009,35788,6509,106,18187.66,2961.89,0.0163,5,139,217,176,21.40,326,4,0.050,0.039,0.0126,217,378,298,65.97,1791,38,0.275,0.362,0.0215,378,444,414,211.66,780,3,0.120,0.026,0.0036,458,633,559,48.79,1377,15,0.212,0.142,0.0109,633,755,729,170.11,2267,47,0.348,0.439,0.0206
"US","Missouri","Barton",29011,11754,2751,47,23404.80,3998.64,0.0171,5,184,334,264,90.95,676,8,0.246,0.168,0.0117,334,380,353,67.04,205,2,0.075,0.049,0.0113,380,431,414,172.71,237,4,0.086,0.076,0.0151,456,650,560,76.65,638,14,0.232,0.291,0.0214,650,755,730,205.72,949,20,0.345,0.427,0.0211
"US","Missouri","Bates",29013,16172,3690,78,22817.21,4823.15,0.0211,5,166,382,303,79.52,1041,18,0.282,0.231,0.0173,382,445,414,142.41,276,8,0.075,0.106,0.0299,458,499,473,13.67,40,1,0.011,0.017,0.0334,499,647,559,93.00,978,13,0.265,0.168,0.0134,647,755,728,214.51,1374,36,0.372,0.458,0.0260
"US","Missouri","Benton",29015,19443,4053,88,20845.55,4526.05,0.0217,5,111,265,245,57.71,418,5,0.103,0.057,0.0120,265,383,322,113.67,995,18,0.245,0.204,0.0180,458,643,599,63.93,953,13,0.235,0.152,0.0140,643,738,731,178.16,1175,39,0.290,0.438,0.0328,738,755,738,155.84,309,5,0.076,0.052,0.0149
"US","Missouri","Bollinger",29017,12133,2425,35,19986.81,2884.69,0.0144,5,158,256,234,104.51,350,1,0.144,0.031,0.0031,256,385,297,104.51,686,11,0.283,0.314,0.0160,523,649,604,105.66,613,6,0.253,0.172,0.0098,649,691,666,103.77,183,13,0.075,0.373,0.0715,691,738,730,136.57,360,2,0.148,0.064,0.0062
"US","Missouri","Boone",29019,180463,42711,234,23667.46,1296.66,0.0055,5,115,255,225,67.39,4643,10,0.109,0.042,0.0021,255,386,295,95.07,10920,60,0.256,0.256,0.0055,386,448,414,87.01,2083,18,0.049,0.079,0.0088,482,638,547,44.25,6718,46,0.157,0.195,0.0068,638,755,726,293.04,18027,96,0.422,0.411,0.0053
"US","Missouri","Buchanan",29021,87364,22147,285,25350.26,3262.21,0.0129,5,65,159,102,40.44,844,3,0.038,0.011,0.0036,173,377,316,73.58,5850,119,0.264,0.418,0.0203,377,444,414,281.23,2505,18,0.113,0.063,0.0072,457,628,560,63.58,4138,38,0.187,0.132,0.0091,628,755,728,237.51,8836,106,0.399,0.374,0.0121
"US","Missouri","Butler",29023,42478,9777,149,23016.62,3507.70,0.0152,5,69,94,81,3.88,25,0,0.003,0.000,0.0000,143,377,303,79.05,3201,26,0.327,0.173,0.0080,377,446,414,134.52,941,15,0.096,0.100,0.0158,458,657,597,76.93,2669,30,0.273,0.200,0.0112,657,755,728,205.59,2965,78,0.303,0.524,0.0263
"US","Missouri","Caldwell",29025,9020,1628,31,18048.78,3436.81,0.0190,5,201,379,299,100.22,587,9,0.361,0.276,0.0146,379,445,414,148.78,151,2,0.093,0.054,0.0110,458,526,512,49.45,129,2,0.079,0.075,0.0181,526,629,548,44.68,235,5,0.145,0.145,0.0192,629,738,734,88.25,419,10,0.258,0.320,0.0237
"US","Missouri","Callaway",29027,44743,11806,113,26386.25,2525.53,0.0096,5,59,78,68,3.78,19,1,0.002,0.008,0.0445,120,386,290,128.94,4369,37,0.370,0.329,0.0085,386,446,414,84.39,530,9,0.045,0.080,0.0171,456,633,561,75.45,2445,20,0.207,0.181,0.0084,633,755,729,273.36,4460,46,0.378,0.405,0.0103
"US","Missouri","Camden",29029,46305,9132,165,19721.41,3563.33,0.0181,5,60,93,69,4.34,34,1,0.004,0.006,0.0294,141,390,296,71.18,3651,78,0.400,0.473,0.0214,390,465,414,59.17,390,8,0.043,0.051,0.0217,465,642,559,53.67,2233,37,0.245,0.224,0.0165,642,755,730,171.60,2829,41,0.310,0.251,0.0146
"US","Missouri","Cape Girardeau",29031,78870,18279,222,23176.11,2814.76,0.0121,5,110,379,295,116.48,7258,114,0.397,0.512,0.0157,379,443,414,186.04,1639,17,0.090,0.078,0.0106,459,509,490,8.76,235,4,0.013,0.020,0.0185,509,680,600,67.97,4399,48,0.241,0.215,0.0109,680,755,729,213.93,4922,40,0.269,0.182,0.0082
"US","Missouri","Carroll",29033,8679,2188,42,25210.28,4839.27,0.0192,5,156,225,187,47.13,103,0,0.047,0.008,0.0033,251,379,304,105.89,671,19,0.307,0.442,0.0277,379,443,414,276.88,263,3,0.120,0.071,0.0114,459,635,581,59.80,340,3,0.155,0.083,0.0102,635,755,733,191.96,820,16,0.375,0.373,0.0191
"US","Missouri","Carter",29035,5982,1474,19,24640.59,3176.20,0.0129,5,163,377,302,91.11,405,7,0.275,0.373,0.0175,377,444,414,189.57,141,1,0.095,0.053,0.0072,496,649,588,211.63,535,3,0.363,0.161,0.0057,649,738,733,223.67,328,5,0.223,0.265,0.0153,738,755,738,163.82,78,0,0.053,0.000,0.0000
"US","Missouri","Cass",29037,105780,24352,273,23021.37,2580.83,0.0112,5,112,225,187,26.78,1038,5,0.043,0.018,0.0048,225,381,299,63.78,5882,60,0.242,0.221,0.0102,381,446,414,160.33,2108,29,0.087,0.108,0.0140,456,643,561,59.08,5327,57,0.219,0.210,0.0107,643,755,729,205.97,10041,110,0.412,0.404,0.0110
"US","Missouri","Cedar",29039,14349,2861,44,19938.67,3066.42,0.0154,5,193,331,296,69.06,445,8,0.155,0.182,0.0180,331,376,346,43.84,169,1,0.059,0.033,0.0087,376,442,414,297.23,450,11,0.157,0.244,0.0238,496,617,554,62.09,499,9,0.174,0.203,0.0179,617,755,729,179.25,1238,14,0.433,0.319,0.0113
"US","Missouri","Chariton",29041,7426,1645,34,22151.90,4578.51,0.0207,5,248,377,295,108.81,359,3,0.218,0.089,0.0085,377,445,414,353.62,268,3,0.163,0.099,0.0125,517,630,548,70.29,270,0,0.164,0.000,0.0000,630,692,669,85.78,224,22,0.136,0.661,0.1005,692,738,732,157.29,307,3,0.186,0.076,0.0084
"US","Missouri","Christian",29043,88595,20458,235,23091.60,2652.52,0.0115,5,61,76,67,1.41,15,0,0.001,0.000,0.0000,148,381,328,69.42,6657,70,0.325,0.298,0.0105,381,446,414,163.14,1675,19,0.082,0.081,0.0114,456,630,541,75.24,4474,67,0.219,0.284,0.0149,630,755,730,251.12,7688,79,0.376,0.335,0.0102
