Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Montana","Beaverhead",30001,9453,2073,25,21929.55,2644.66,0.0121,5,160,219,191,31.63,69,1,0.033,0.022,0.0081,219,396,298,165.77,791,8,0.381,0.304,0.0096,533,688,608,170.74,662,10,0.319,0.404,0.0153,688,738,734,210.20,349,2,0.168,0.078,0.0056,738,755,738,164.71,150,1,0.073,0.043,0.0071
"US","Montana","Big Horn",30003,13319,4585,89,34424.51,6682.18,0.0194,5,106,234,190,121.71,765,19,0.167,0.213,0.0248,234,396,275,181.24,1574,53,0.343,0.591,0.0334,510,624,614,64.19,339,5,0.074,0.056,0.0148,624,697,664,197.61,535,3,0.117,0.034,0.0057,697,755,735,328.93,1136,5,0.248,0.056,0.0044
"US","Montana","Blaine",30005,6681,1947,29,29142.34,4340.67,0.0149,5,235,351,270,176.92,598,23,0.307,0.787,0.0381,351,417,371,77.98,97,1,0.050,0.047,0.0140,448,521,485,34.43,84,0,0.043,0.012,0.0041,536,695,630,271.22,612,4,0.314,0.138,0.0065,695,755,734,329.74,508,1,0.261,0.037,0.0021
"US","Montana","Broadwater",30007,6237,1206,18,19336.22,2886.00,0.0149,5,164,222,171,7.05,11,0,0.009,0.000,0.0000,246,413,304,71.67,401,5,0.333,0.279,0.0125,413,535,439,36.72,109,0,0.091,0.009,0.0015,535,699,613,107.42,478,12,0.397,0.665,0.0250,699,755,732,105.66,202,1,0.168,0.056,0.0050
"US","Montana","Carbon",30009,10725,1978,27,18442.89,2517.48,0.0137,5,141,219,197,15.57,79,0,0.040,0.000,0.0000,219,447,294,149.65,772,14,0.390,0.520,0.0182,521,692,635,95.57,675,6,0.341,0.223,0.0089,692,738,731,125.59,297,4,0.150,0.157,0.0143,738,755,738,81.77,111,1,0.056,0.028,0.0068
"US","Montana","Carter",30011,1251,234,5,18705.04,3996.80,0.0214,5,236,363,277,274.98,139,5,0.594,1.008,0.0362,377,424,388,39.97,7,0,0.030,0.000,0.0000,553,617,597,66.35,18,0,0.079,0.000,0.0000,617,694,657,187.85,38,0,0.164,0.000,0.0000,694,750,712,80.74,26,0,0.111,0.000,0.0000
"US","Montana","Cascade",30013,81366,22950,303,28205.88,3723.91,0.0132,5,59,72,65,0.91,9,0,0.000,0.000,0.0000,145,387,299,187.70,7479,146,0.326,0.481,0.0195,387,520,420,62.36,1989,40,0.087,0.131,0.0200,520,691,638,109.05,7466,89,0.325,0.295,0.0120,691,755,739,258.90,6034,28,0.263,0.092,0.0046
"US","Montana","Chouteau",30015,5635,946,14,16787.93,2484.47,0.0148,5,174,206,192,8.87,10,0,0.010,0.000,0.0000,217,435,298,112.87,484,5,0.512,0.391,0.0113,435,510,500,11.36,22,2,0.023,0.120,0.0762,542,689,650,100.27,268,1,0.283,0.089,0.0047,689,755,743,69.57,164,6,0.173,0.421,0.0360
"US","Montana","Custer",30017,11402,2923,44,25635.85,3858.97,0.0151,5,135,204,146,18.42,61,2,0.021,0.045,0.0325,204,405,299,174.00,1077,13,0.369,0.295,0.0120,405,482,428,14.47,55,3,0.019,0.072,0.0575,526,693,609,183.92,1208,22,0.413,0.500,0.0182,693,755,731,169.27,510,5,0.174,0.109,0.0094
"US","Montana","Daniels",30019,1690,379,9,22426.04,5325.44,0.0237,5,177,203,187,11.83,3,0,0.008,0.000,0.0000,235,339,303,202.37,134,5,0.354,0.560,0.0376,339,415,359,148.52,60,2,0.159,0.222,0.0333,536,693,627,146.75,112,1,0.297,0.112,0.0090,693,755,731,181.07,70,0,0.186,0.000,0.0000
"US","Montana","Dawson",30021,8613,2276,53,26425.17,6153.49,0.0233,5,145,162,154,9.75,8,0,0.003,0.000,0.0000,179,453,302,189.13,1094,30,0.481,0.568,0.0275,505,538,527,6.62,10,1,0.005,0.021,0.1054,541,691,633,122.02,727,19,0.319,0.358,0.0261,691,755,733,166.61,442,3,0.194,0.060,0.0072
"US","Montana","Deer Lodge",30023,9140,2337,29,25568.93,3172.87,0.0124,5,156,346,258,129.76,848,9,0.363,0.319,0.0109,346,425,365,64.22,210,5,0.090,0.160,0.0221,425,502,456,24.29,63,1,0.027,0.037,0.0171,542,683,628,70.24,536,11,0.229,0.380,0.0206,683,755,731,274.84,673,2,0.288,0.070,0.0030
"US","Montana","Fallon",30025,2845,673,10,23655.54,3514.94,0.0149,5,219,361,301,316.34,269,2,0.400,0.202,0.0075,377,406,389,15.47,6,0,0.009,0.000,0.0000,537,623,586,125.13,132,2,0.197,0.201,0.0152,623,698,661,110.02,133,6,0.198,0.587,0.0440,698,755,731,165.20,118,0,0.175,0.019,0.0016
"US","Montana","Fergus",30027,11050,2353,52,21294.12,4705.88,0.0221,5,171,447,297,143.53,1095,29,0.465,0.558,0.0265,452,491,464,9.50,24,2,0.010,0.037,0.0815,506,529,520,5.52,8,0,0.003,0.000,0.0000,531,689,640,124.80,736,18,0.313,0.342,0.0242,689,755,735,150.50,487,3,0.207,0.067,0.0072
"US","Montana","Flathead",30029,103806,26152,237,25193.15,2283.11,0.0091,5,60,83,73,2.15,34,1,0.001,0.003,0.0204,144,438,304,125.40,11393,82,0.436,0.347,0.0072,438,511,464,16.27,922,16,0.035,0.070,0.0179,511,688,607,91.15,8719,114,0.333,0.482,0.0131,688,755,736,147.29,5114,24,0.196,0.102,0.0047
"US","Montana","Gallatin",30031,114434,33171,111,28987.01,969.99,0.0033,5,128,217,178,22.79,886,2,0.027,0.018,0.0023,217,408,297,148.12,11383,51,0.343,0.456,0.0044,408,517,442,44.17,2514,10,0.076,0.087,0.0039,517,679,636,79.62,7315,36,0.221,0.328,0.0050,679,755,726,305.11,10997,12,0.332,0.111,0.0011
"US","Montana","Garfield",30033,1258,221,3,17567.57,2384.74,0.0136,5,212,279,274,103.34,17,0,0.077,0.000,0.0000,283,397,298,184.42,47,2,0.214,0.673,0.0427,551,603,582,91.41,23,1,0.106,0.337,0.0432,603,686,644,112.08,58,0,0.264,0.000,0.0000,697,755,721,155.80,59,0,0.266,0.000,0.0000
"US","Montana","Glacier",30035,13752,3598,65,26163.47,4726.59,0.0181,5,147,321,259,194.23,1196,22,0.332,0.332,0.0181,321,409,330,57.96,323,8,0.090,0.125,0.0251,464,516,474,5.89,18,0,0.005,0.005,0.0187,527,693,633,97.51,943,19,0.262,0.293,0.0202,693,755,735,327.30,1110,3,0.309,0.046,0.0027
"US","Montana","Golden Valley",30037,820,149,5,18170.73,6097.56,0.0336,5,239,289,273,107.32,13,0,0.090,0.000,0.0000,289,382,327,164.63,35,2,0.234,0.396,0.0568,446,495,455,23.17,4,0,0.027,0.000,0.0000,544,697,643,267.07,65,3,0.437,0.606,0.0466,705,755,734,130.49,27,0,0.181,0.000,0.0000
"US","Montana","Granite",30039,3379,514,7,15211.60,2071.62,0.0136,5,185,226,197,30.19,14,0,0.028,0.000,0.0000,245,402,300,85.23,169,2,0.329,0.289,0.0120,477,516,488,26.34,12,0,0.023,0.000,0.0000,544,682,635,119.56,204,4,0.398,0.576,0.0197,704,755,729,109.20,106,1,0.205,0.151,0.0100
"US","Montana","Hill",30041,16484,4393,71,26650.08,4307.21,0.0162,5,61,65,62,0.67,1,0,0.000,0.000,0.0000,160,439,272,162.82,1945,42,0.443,0.598,0.0218,439,521,500,13.47,86,4,0.019,0.052,0.0432,521,689,606,138.32,1382,25,0.315,0.353,0.0181,689,755,736,235.56,984,0,0.224,0.000,0.0000
"US","Montana","Jefferson",30043,12220,2504,23,20491.00,1882.16,0.0092,5,164,206,173,7.86,27,0,0.011,0.000,0.0000,206,446,301,117.51,1025,8,0.409,0.349,0.0078,446,520,475,12.93,58,0,0.023,0.000,0.0000,520,691,610,94.60,812,12,0.324,0.527,0.0149,691,755,732,166.28,582,3,0.232,0.141,0.0056
"US","Montana","Judith Basin",30045,2007,216,1,10762.33,498.26,0.0046,5,209,227,218,15.45,3,0,0.014,0.000,0.0000,241,392,298,96.66,79,1,0.366,1.010,0.0128,532,679,610,63.28,71,0,0.329,0.000,0.0000,686,738,732,105.13,40,0,0.183,0.000,0.0000,738,755,738,62.28,15,0,0.069,0.000,0.0000
"US","Montana","Lake",30047,30458,6209,92,20385.45,3020.55,0.0148,5,138,216,174,22.69,190,1,0.031,0.011,0.0053,216,441,325,61.40,1799,31,0.290,0.332,0.0170,441,519,476,13.17,143,5,0.023,0.057,0.0364,519,693,630,167.12,2624,48,0.423,0.516,0.0181,693,755,734,214.62,1457,9,0.235,0.100,0.0063
"US","Montana","Lewis and Clark",30049,69431,17119,165,24656.13,2376.46,0.0096,5,146,216,192,6.32,172,2,0.010,0.012,0.0118,216,442,316,119.30,6430,79,0.376,0.478,0.0123,442,522,474,12.18,442,11,0.026,0.068,0.0256,522,687,633,105.99,5349,61,0.312,0.369,0.0114,687,755,736,246.27,4733,13,0.276,0.080,0.0028
