Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Nebraska","Adams",31001,31363,6191,46,19739.82,1466.70,0.0074,5,61,148,99,27.87,279,11,0.045,0.240,0.0395,148,406,315,114.15,2437,27,0.394,0.587,0.0111,602,647,613,242.10,942,0,0.152,0.000,0.0000,647,689,657,61.76,695,0,0.112,0.000,0.0000,689,755,729,173.36,1583,0,0.256,0.000,0.0000
"US","Nebraska","Antelope",31003,6298,1030,7,16354.40,1111.46,0.0068,5,162,191,171,11.59,9,0,0.009,0.001,0.0011,191,392,300,101.62,447,5,0.434,0.716,0.0112,392,489,441,26.68,72,1,0.070,0.144,0.0141,602,673,613,180.85,235,0,0.229,0.000,0.0000,673,755,732,114.64,261,0,0.253,0.000,0.0000
"US","Nebraska","Arthur",31005,462,30,1,6493.51,2164.50,0.0333,5,253,317,294,177.49,15,0,0.501,0.000,0.0000,334,351,342,23.81,1,0,0.041,0.000,0.0000,357,380,367,77.92,4,0,0.133,0.000,0.0000,603,621,611,47.62,2,0,0.066,0.000,0.0000,676,706,693,54.11,4,0,0.134,0.000,0.0000
"US","Nebraska","Banner",31007,744,93,0,12500.00,0.00,0.0000,5,264,350,300,100.81,24,0,0.259,0.000,0.0000,364,415,405,57.80,9,0,0.093,0.000,0.0000,463,479,470,14.78,1,0,0.011,0.000,0.0000,602,693,613,125.00,35,0,0.377,0.000,0.0000,704,755,732,153.23,22,0,0.237,0.000,0.0000
"US","Nebraska","Blaine",31009,464,62,0,13362.07,0.00,0.0000,5,277,313,291,125.00,13,0,0.208,0.000,0.0000,337,372,353,43.10,4,0,0.068,0.000,0.0000,602,632,613,325.43,17,0,0.274,0.000,0.0000,651,698,687,90.52,11,0,0.176,0.000,0.0000,698,755,707,77.59,12,0,0.193,0.000,0.0000
"US","Nebraska","Boone",31011,5192,1040,4,20030.82,770.42,0.0038,5,190,393,299,114.41,490,4,0.471,1.010,0.0083,393,471,433,45.65,88,-0,0.085,-0.000,-0.0000,602,644,612,172.19,121,0,0.116,0.000,0.0000,644,690,656,94.57,123,0,0.118,0.000,0.0000,690,755,728,150.42,215,0,0.207,0.000,0.0000
"US","Nebraska","Box Butte",31013,10782,2175,8,20172.51,741.98,0.0037,5,165,441,302,161.29,921,9,0.424,1.130,0.0098,441,460,453,9.00,12,0,0.005,0.000,0.0000,470,495,487,5.84,10,-1,0.005,-0.130,-0.1036,602,688,613,379.80,749,0,0.344,0.000,0.0000,688,755,731,187.35,486,0,0.223,0.000,0.0000
"US","Nebraska","Boyd",31015,1918,383,3,19968.72,1564.13,0.0078,5,224,340,304,171.01,153,2,0.399,0.820,0.0161,347,394,362,32.33,12,0,0.031,0.020,0.0051,602,646,612,261.73,65,0,0.169,0.000,0.0000,646,694,655,98.02,63,0,0.165,0.000,0.0000,694,755,733,123.04,82,0,0.214,0.000,0.0000
"US","Nebraska","Brown",31017,2955,496,2,16785.11,676.82,0.0040,5,197,361,298,145.18,211,2,0.426,1.010,0.0096,602,645,612,215.91,96,0,0.194,0.000,0.0000,645,698,653,153.98,98,0,0.198,0.000,0.0000,704,738,733,148.90,60,0,0.120,0.000,0.0000,738,755,738,110.66,28,0,0.056,0.000,0.0000
"US","Nebraska","Buffalo",31019,49659,11214,57,22582.01,1147.83,0.0051,5,59,143,93,9.61,176,1,0.016,0.018,0.0058,143,490,295,129.81,5345,56,0.477,0.984,0.0105,602,649,612,304.94,2036,0,0.182,0.000,0.0000,649,690,656,75.78,1259,0,0.112,0.000,0.0000,690,755,729,164.84,2448,0,0.218,0.000,0.0000
"US","Nebraska","Burt",31021,6459,1259,12,19492.18,1857.87,0.0095,5,184,238,202,35.61,56,0,0.045,0.000,0.0000,238,357,293,167.67,468,10,0.372,0.835,0.0214,357,489,362,39.02,132,2,0.105,0.171,0.0155,602,686,612,117.97,248,0,0.197,0.000,0.0000,686,755,732,178.36,342,0,0.272,0.000,0.0000
"US","Nebraska","Butler",31023,8016,1787,11,22292.91,1372.26,0.0062,5,83,141,118,23.45,51,0,0.028,0.000,0.0000,164,425,313,151.70,766,12,0.429,1.098,0.0158,602,628,612,223.05,189,0,0.106,0.000,0.0000,628,688,656,151.82,273,0,0.153,0.000,0.0000,688,755,728,229.42,479,0,0.268,0.000,0.0000
"US","Nebraska","Cass",31025,26248,5815,16,22154.07,609.57,0.0028,5,143,223,204,18.36,201,2,0.035,0.127,0.0101,223,412,300,92.12,2086,13,0.359,0.816,0.0063,412,492,437,40.61,337,1,0.058,0.061,0.0029,602,649,612,253.85,870,0,0.150,0.000,0.0000,649,755,724,213.81,2277,0,0.392,0.000,0.0000
"US","Nebraska","Cedar",31027,8401,1436,11,17093.20,1309.37,0.0077,5,144,173,157,8.57,11,0,0.007,0.000,0.0000,173,353,302,129.75,551,10,0.383,0.912,0.0182,353,488,384,71.78,210,1,0.146,0.103,0.0054,602,650,612,144.51,191,0,0.133,0.000,0.0000,650,755,724,124.87,472,0,0.328,0.000,0.0000
"US","Nebraska","Chase",31029,3924,720,5,18348.62,1274.21,0.0069,5,172,322,262,181.96,287,3,0.399,0.606,0.0106,322,392,337,125.13,156,0,0.217,0.000,0.0000,421,482,428,13.51,12,2,0.016,0.390,0.1667,602,700,661,97.86,186,0,0.258,0.000,0.0000,700,754,729,54.54,73,0,0.102,0.000,0.0000
"US","Nebraska","Cherry",31031,5689,536,6,9421.69,1054.67,0.0112,5,205,252,220,37.44,46,4,0.086,0.667,0.0867,252,396,298,82.62,217,2,0.404,0.330,0.0091,602,652,614,158.73,102,0,0.190,0.000,0.0000,652,695,690,31.99,49,0,0.092,0.000,0.0000,695,755,732,60.47,86,0,0.160,0.000,0.0000
"US","Nebraska","Cheyenne",31033,8910,1906,16,21391.69,1795.74,0.0084,5,71,117,87,2.92,9,0,0.005,0.000,0.0000,131,197,151,8.08,17,0,0.009,0.000,0.0000,206,490,296,200.11,912,16,0.478,1.006,0.0176,602,683,613,194.95,509,0,0.267,0.000,0.0000,683,755,728,147.47,464,0,0.243,0.000,0.0000
"US","Nebraska","Clay",31035,6202,1412,11,22766.85,1773.62,0.0078,5,209,392,300,144.31,598,11,0.424,1.004,0.0184,397,446,414,25.15,32,0,0.023,0.000,0.0000,602,646,613,257.82,204,0,0.145,0.000,0.0000,646,692,664,90.62,190,0,0.134,0.000,0.0000,692,755,728,148.66,316,0,0.224,0.000,0.0000
"US","Nebraska","Colfax",31037,10708,2570,21,24000.75,1961.15,0.0082,5,67,184,104,308.74,687,4,0.267,0.190,0.0058,184,412,292,124.39,867,16,0.337,0.767,0.0186,602,627,612,101.23,127,0,0.049,0.000,0.0000,627,676,658,62.38,204,0,0.079,0.000,0.0000,676,755,721,204.52,654,0,0.255,0.000,0.0000
"US","Nebraska","Cuming",31039,8846,1748,15,19760.34,1695.68,0.0086,5,87,138,120,18.09,32,0,0.018,0.000,0.0000,153,405,300,144.47,951,11,0.544,0.735,0.0116,405,493,429,25.21,72,4,0.041,0.267,0.0559,602,693,655,138.82,364,0,0.208,0.000,0.0000,693,755,730,143.34,330,0,0.189,0.000,0.0000
"US","Nebraska","Custer",31041,10777,1950,19,18094.09,1763.01,0.0097,5,70,141,80,17.63,34,4,0.017,0.212,0.1186,221,441,302,99.75,772,14,0.396,0.738,0.0182,602,645,612,296.84,380,0,0.195,0.000,0.0000,645,700,660,110.61,400,0,0.205,0.000,0.0000,700,755,728,115.43,324,0,0.166,0.000,0.0000
"US","Nebraska","Dakota",31043,20026,6482,65,32367.92,3245.78,0.0100,5,77,161,98,369.82,1764,33,0.272,0.514,0.0189,194,392,300,115.45,1788,16,0.276,0.252,0.0092,392,494,414,22.27,250,8,0.039,0.123,0.0319,602,678,613,249.48,1004,0,0.155,0.000,0.0000,678,755,725,322.18,1546,0,0.239,0.000,0.0000
"US","Nebraska","Dawes",31045,8589,1304,12,15182.21,1397.14,0.0092,5,184,240,213,53.44,110,0,0.084,0.000,0.0000,240,345,292,105.13,434,18,0.333,1.504,0.0416,345,442,365,43.31,179,1,0.137,0.079,0.0053,602,686,613,236.81,385,0,0.296,0.000,0.0000,686,755,724,73.70,171,0,0.131,0.000,0.0000
"US","Nebraska","Dawson",31047,23595,5020,31,21275.69,1313.84,0.0062,5,73,151,92,144.86,849,8,0.169,0.257,0.0094,151,217,187,20.60,145,2,0.029,0.050,0.0106,217,483,296,111.93,1895,22,0.378,0.698,0.0114,602,684,612,245.31,1252,0,0.249,0.000,0.0000,684,755,727,100.87,889,0,0.177,0.000,0.0000
"US","Nebraska","Deuel",31049,1794,310,1,17279.82,557.41,0.0032,5,165,178,173,10.59,1,0,0.005,0.000,0.0000,258,426,315,83.05,96,2,0.310,2.020,0.0210,446,497,486,21.18,7,-1,0.024,-1.010,-0.1354,602,694,612,212.93,142,0,0.458,0.000,0.0000,694,755,734,106.47,62,0,0.201,0.000,0.0000
"US","Nebraska","Dixon",31051,5635,1118,9,19840.28,1597.16,0.0081,5,135,178,141,16.33,27,2,0.024,0.191,0.0643,210,403,299,194.85,505,6,0.451,0.678,0.0121,403,488,428,27.15,49,1,0.044,0.112,0.0204,602,688,613,162.02,250,0,0.224,0.000,0.0000,688,755,731,166.28,259,0,0.232,0.000,0.0000
