Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Nevada","Carson City",32510,55916,14291,195,25557.98,3487.37,0.0136,5,226,399,324,217.00,5415,106,0.379,0.543,0.0195,399,514,428,30.08,745,11,0.052,0.054,0.0142,514,643,596,62.90,2130,28,0.149,0.143,0.0131,682,738,731,345.00,3849,17,0.269,0.085,0.0043,738,755,738,244.97,1219,7,0.085,0.034,0.0055
"US","Nevada","Churchill",32001,24909,6329,99,25408.49,3974.47,0.0156,5,155,230,223,13.09,103,0,0.016,0.001,0.0011,230,429,319,92.70,1842,48,0.291,0.485,0.0261,429,488,455,10.72,113,0,0.018,0.000,0.0000,488,686,601,153.56,2199,35,0.348,0.354,0.0159,686,755,734,318.00,2074,16,0.328,0.164,0.0078
"US","Nevada","Clark",32003,2266715,505219,7262,22288.60,3203.76,0.0144,5,105,238,178,44.55,58791,1064,0.116,0.147,0.0181,238,428,351,86.29,170429,2792,0.337,0.384,0.0164,428,492,445,15.51,17638,329,0.035,0.045,0.0187,492,646,553,38.96,80542,1560,0.159,0.215,0.0194,646,755,727,268.32,174356,1314,0.345,0.181,0.0075
"US","Nevada","Douglas",32005,48904,7838,82,16027.32,1676.75,0.0105,5,228,406,310,101.77,2270,32,0.290,0.391,0.0141,406,519,428,12.56,480,4,0.061,0.049,0.0083,519,637,588,68.52,1547,16,0.197,0.198,0.0105,637,680,653,39.36,469,17,0.060,0.204,0.0356,680,755,728,230.51,2838,13,0.362,0.164,0.0047
"US","Nevada","Elko",32007,52778,12164,130,23047.48,2463.15,0.0107,5,108,236,171,24.84,868,6,0.071,0.046,0.0069,236,429,310,111.69,3758,46,0.309,0.356,0.0123,429,518,486,20.03,498,4,0.041,0.029,0.0077,518,685,610,119.82,3678,64,0.302,0.494,0.0175,685,755,728,365.85,3369,9,0.277,0.073,0.0028
"US","Nevada","Esmeralda",32009,873,88,3,10080.18,3436.43,0.0341,5,288,387,321,192.44,37,0,0.421,0.000,0.0000,529,556,539,26.35,3,0,0.034,0.000,0.0000,572,627,617,130.58,17,1,0.194,0.417,0.0734,635,662,652,32.07,4,0,0.046,0.020,0.0150,692,755,735,129.44,26,1,0.296,0.337,0.0387
"US","Nevada","Eureka",32011,2028,299,0,14743.59,0.00,0.0000,5,193,236,226,22.19,8,0,0.027,0.000,0.0000,268,309,292,36.00,12,0,0.041,0.000,0.0000,312,396,349,56.71,28,0,0.093,0.000,0.0000,572,687,598,140.53,123,0,0.411,0.000,0.0000,687,755,727,471.89,115,-0,0.386,0.000,-0.0000
"US","Nevada","Humboldt",32013,16831,4410,48,26201.65,2851.88,0.0109,5,62,126,104,14.26,78,4,0.018,0.083,0.0514,208,414,317,130.35,966,9,0.219,0.189,0.0094,414,503,458,19.55,132,1,0.030,0.021,0.0077,503,685,609,132.79,1382,25,0.313,0.522,0.0181,685,755,727,703.11,1832,10,0.415,0.204,0.0053
"US","Nevada","Lander",32015,5531,1137,17,20556.86,3073.59,0.0150,5,131,196,156,20.79,30,1,0.026,0.059,0.0336,196,413,319,143.55,393,8,0.346,0.469,0.0203,462,516,481,29.47,21,0,0.019,0.000,0.0000,542,685,603,150.97,302,7,0.265,0.411,0.0232,685,755,727,235.04,354,1,0.311,0.063,0.0030
"US","Nevada","Lincoln",32017,5183,951,5,18348.45,964.69,0.0053,5,252,405,298,221.30,340,1,0.358,0.202,0.0030,495,515,505,30.29,14,0,0.015,0.000,0.0000,528,605,597,62.70,101,1,0.107,0.182,0.0090,605,688,643,160.91,188,1,0.198,0.234,0.0062,688,753,727,377.39,289,0,0.304,0.000,0.0000
