Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New Jersey","Atlantic",34001,263670,67420,955,25569.84,3621.95,0.0142,5,60,218,98,21.90,3863,251,0.057,0.263,0.0651,218,408,358,91.05,21411,326,0.318,0.341,0.0152,408,510,428,48.94,6417,113,0.095,0.118,0.0176,510,649,602,45.78,8081,87,0.120,0.091,0.0108,649,755,716,316.84,27798,181,0.412,0.190,0.0065
"US","New Jersey","Bergen",34003,932201,216498,3376,23224.39,3621.54,0.0156,5,53,172,74,62.25,20043,2025,0.093,0.600,0.1010,225,394,357,57.12,52034,543,0.240,0.161,0.0104,394,512,431,54.81,30880,306,0.143,0.091,0.0099,512,641,599,19.55,14692,108,0.068,0.032,0.0074,641,755,714,336.01,97284,391,0.449,0.116,0.0040
"US","New Jersey","Burlington",34005,445348,100016,1138,22457.94,2555.31,0.0114,5,56,162,95,23.29,5228,428,0.052,0.376,0.0818,209,404,355,66.34,29224,269,0.292,0.236,0.0092,404,475,434,41.92,8684,96,0.087,0.085,0.0111,501,637,583,28.96,9817,83,0.098,0.073,0.0084,637,755,716,299.89,46095,199,0.461,0.175,0.0043
"US","New Jersey","Camden",34007,506471,123319,1735,24348.68,3425.67,0.0141,5,56,162,102,26.58,7421,503,0.060,0.290,0.0678,222,404,318,78.27,34997,565,0.284,0.325,0.0161,404,517,436,38.93,11699,178,0.095,0.103,0.0152,517,643,605,33.34,12025,111,0.098,0.064,0.0093,643,755,716,354.14,55557,299,0.451,0.172,0.0054
"US","New Jersey","Cape May",34009,92039,21544,282,23407.47,3063.92,0.0131,5,59,147,107,15.73,728,61,0.034,0.215,0.0835,242,338,302,60.53,2961,36,0.137,0.128,0.0121,338,519,360,61.84,4973,78,0.231,0.277,0.0157,519,650,582,52.10,3424,32,0.159,0.114,0.0094,650,755,710,244.23,8870,42,0.412,0.149,0.0047
"US","New Jersey","Cumberland",34011,149527,37857,571,25317.84,3818.71,0.0151,5,61,179,107,38.49,3106,153,0.082,0.269,0.0494,238,434,366,82.01,11598,245,0.306,0.430,0.0212,434,524,448,29.28,1912,40,0.051,0.070,0.0208,524,648,605,36.84,3822,39,0.101,0.068,0.0102,648,755,719,311.42,16836,92,0.445,0.161,0.0055
"US","New Jersey","Essex",34013,798975,207522,3533,25973.53,4421.92,0.0170,5,54,173,77,58.50,19143,2074,0.092,0.587,0.1084,220,337,319,61.52,28028,240,0.135,0.068,0.0086,337,399,357,62.77,24346,311,0.117,0.088,0.0128,399,457,433,57.11,21346,212,0.103,0.060,0.0099,639,755,710,458.89,101728,390,0.490,0.110,0.0038
"US","New Jersey","Gloucester",34015,291636,68478,918,23480.64,3147.76,0.0134,5,57,155,97,17.17,2527,177,0.037,0.192,0.0699,155,405,352,73.30,21780,370,0.318,0.403,0.0170,405,516,447,39.34,6430,100,0.094,0.109,0.0155,516,642,604,38.46,7499,81,0.110,0.089,0.0109,642,755,716,298.64,30396,195,0.444,0.212,0.0064
"US","New Jersey","Hudson",34017,672391,166306,2673,24733.53,3975.37,0.0161,5,54,124,77,72.49,18855,1142,0.113,0.427,0.0606,222,397,356,74.33,46989,470,0.283,0.176,0.0100,397,514,429,56.96,21115,324,0.127,0.121,0.0153,514,640,598,17.44,8859,89,0.053,0.033,0.0100,640,755,717,355.40,69238,288,0.416,0.108,0.0042
"US","New Jersey","Hunterdon",34019,124371,23891,264,19209.46,2122.68,0.0111,5,55,169,117,16.45,1095,125,0.046,0.472,0.1139,169,397,356,57.62,5618,32,0.235,0.122,0.0058,397,513,433,50.93,3162,20,0.132,0.075,0.0062,513,635,629,21.03,1998,14,0.084,0.055,0.0072,635,755,716,302.07,12079,74,0.506,0.279,0.0061
