Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New Mexico","Bernalillo",35001,679121,142518,1573,20985.66,2316.23,0.0110,5,125,224,177,14.42,4503,91,0.032,0.058,0.0201,224,437,304,107.32,49085,747,0.344,0.475,0.0152,437,513,465,11.67,4024,56,0.028,0.035,0.0139,513,609,581,29.11,10908,90,0.077,0.057,0.0083,609,755,728,227.07,72917,528,0.512,0.336,0.0072
"US","New Mexico","Catron",35003,3527,397,13,11256.02,3685.85,0.0327,5,272,403,302,58.12,74,4,0.186,0.308,0.0540,422,502,447,10.49,13,0,0.032,0.000,0.0000,539,593,588,32.04,34,1,0.087,0.095,0.0360,593,686,630,153.39,138,2,0.349,0.143,0.0134,686,755,732,120.78,129,5,0.325,0.388,0.0391
"US","New Mexico","Chaves",35005,64615,21120,290,32685.91,4488.12,0.0137,5,101,135,124,1.98,27,1,0.001,0.003,0.0370,137,428,303,172.64,8667,161,0.410,0.556,0.0186,428,515,461,11.65,348,7,0.016,0.023,0.0189,515,639,587,93.04,3505,30,0.166,0.103,0.0085,639,755,726,336.64,8580,91,0.406,0.314,0.0106
"US","New Mexico","Cibola",35006,26675,6673,175,25015.93,6560.45,0.0262,5,61,149,101,14.13,191,10,0.029,0.060,0.0547,149,228,191,20.96,209,10,0.031,0.057,0.0480,228,498,304,202.66,2497,105,0.374,0.597,0.0419,508,679,629,71.30,1227,24,0.184,0.135,0.0193,679,755,731,301.78,2565,27,0.384,0.154,0.0105
"US","New Mexico","Colfax",35007,11940,2345,63,19639.87,5276.38,0.0269,5,254,427,321,111.22,682,45,0.291,0.715,0.0661,427,517,451,12.14,81,-1,0.034,-0.011,-0.0089,530,617,587,62.31,352,0,0.150,0.000,0.0000,617,687,658,101.01,498,6,0.212,0.095,0.0121,687,755,728,174.12,706,11,0.301,0.176,0.0157
"US","New Mexico","Curry",35009,48954,12314,165,25154.23,3370.51,0.0134,5,92,223,189,27.35,669,4,0.054,0.026,0.0063,223,439,303,141.19,4371,69,0.355,0.415,0.0157,439,508,473,14.46,227,12,0.018,0.071,0.0518,508,637,584,83.96,2007,31,0.163,0.190,0.0156,637,755,729,266.82,5050,50,0.410,0.304,0.0099
"US","New Mexico","De Baca",35011,1748,559,5,31979.41,2860.41,0.0089,5,274,415,318,155.61,132,1,0.235,0.170,0.0065,415,524,479,86.96,46,1,0.082,0.250,0.0274,549,605,565,84.67,39,1,0.070,0.202,0.0258,605,689,686,228.83,149,0,0.266,0.000,0.0000,689,755,727,304.35,197,2,0.353,0.402,0.0102
"US","New Mexico","Dona Ana",35013,218194,61427,685,28152.47,3139.41,0.0112,5,59,222,172,19.18,2842,43,0.046,0.063,0.0151,222,508,302,133.04,22162,446,0.361,0.651,0.0201,508,610,587,29.36,3293,29,0.054,0.043,0.0088,610,685,680,107.34,9616,46,0.157,0.068,0.0048,685,755,729,344.02,23781,123,0.387,0.180,0.0052
"US","New Mexico","Eddy",35015,58460,16794,250,28727.33,4276.43,0.0149,5,63,68,65,0.70,2,0,0.000,0.002,0.2203,78,94,89,0.79,6,0,0.000,0.000,0.0000,122,501,304,103.61,6875,139,0.409,0.556,0.0202,501,646,573,108.28,4045,63,0.241,0.251,0.0155,646,755,730,305.17,5880,48,0.350,0.192,0.0082
"US","New Mexico","Grant",35017,26998,6365,74,23575.82,2740.94,0.0116,5,69,92,80,3.26,13,0,0.002,0.000,0.0000,151,208,175,8.48,56,2,0.009,0.027,0.0359,208,520,351,68.52,1677,39,0.263,0.528,0.0233,520,686,658,151.09,2139,15,0.336,0.204,0.0071,686,755,728,222.68,2493,18,0.392,0.242,0.0072
"US","New Mexico","Guadalupe",35019,4300,1056,16,24558.14,3720.93,0.0152,5,253,437,321,146.51,343,8,0.324,0.504,0.0236,455,539,474,56.05,99,4,0.094,0.273,0.0440,539,639,576,88.37,132,2,0.125,0.110,0.0134,639,738,730,298.84,357,1,0.338,0.059,0.0027,738,755,738,224.19,104,0,0.098,0.006,0.0010
"US","New Mexico","Harding",35021,625,74,4,11840.00,6400.00,0.0541,5,285,343,295,54.40,7,0,0.095,0.000,0.0000,475,496,485,28.80,2,1,0.027,0.247,0.4950,599,672,623,328.00,36,2,0.486,0.393,0.0437,672,738,735,96.00,19,1,0.260,0.140,0.0292,738,755,738,96.00,6,0,0.077,0.000,0.0000
"US","New Mexico","Hidalgo",35023,4198,1045,13,24892.81,3096.71,0.0124,5,135,228,147,70.75,97,2,0.093,0.153,0.0205,313,412,348,83.37,167,6,0.160,0.428,0.0334,492,611,560,137.45,171,2,0.163,0.155,0.0118,611,672,651,69.56,96,0,0.092,0.008,0.0010,672,755,728,253.22,417,2,0.399,0.156,0.0049
"US","New Mexico","Lea",35025,71070,18995,308,26727.17,4333.76,0.0162,5,114,233,184,29.66,1222,18,0.064,0.058,0.0146,233,465,325,135.13,7043,146,0.371,0.475,0.0208,465,512,496,8.78,128,32,0.007,0.105,0.2536,532,660,569,186.52,5359,80,0.282,0.259,0.0149,660,755,722,213.83,5200,31,0.274,0.101,0.0060
"US","New Mexico","Lincoln",35027,19572,5071,59,25909.46,3014.51,0.0116,5,227,337,305,102.85,820,8,0.162,0.136,0.0098,337,430,361,82.67,597,7,0.118,0.123,0.0122,517,621,589,83.03,929,10,0.183,0.178,0.0113,621,685,651,92.84,830,12,0.164,0.212,0.0150,685,755,728,264.41,1569,18,0.309,0.302,0.0114
"US","New Mexico","Los Alamos",35028,19369,2555,13,13191.18,671.18,0.0051,5,225,437,358,32.68,475,6,0.186,0.463,0.0127,437,503,457,3.98,31,0,0.012,0.000,0.0000,503,586,567,12.44,84,1,0.033,0.096,0.0149,586,655,626,37.59,209,2,0.082,0.143,0.0089,655,755,728,346.84,1735,4,0.679,0.315,0.0024
