Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","North Dakota","Adams",38001,2216,570,9,25722.02,4061.37,0.0158,5,221,333,301,148.01,187,2,0.328,0.210,0.0101,343,393,359,160.20,75,1,0.132,0.062,0.0075,539,695,659,101.53,189,5,0.332,0.522,0.0248,695,738,735,178.25,84,1,0.147,0.164,0.0177,738,755,738,158.84,31,0,0.054,0.000,0.0000
"US","North Dakota","Barnes",38003,10415,2931,46,28142.10,4416.71,0.0157,5,159,249,220,63.75,214,0,0.073,0.000,0.0000,249,374,298,288.14,1047,31,0.357,0.675,0.0297,546,684,616,85.93,678,7,0.231,0.151,0.0103,684,738,730,246.47,640,3,0.218,0.074,0.0053,738,755,738,178.59,213,4,0.073,0.087,0.0189
"US","North Dakota","Benson",38005,6831,1915,22,28033.96,3220.61,0.0115,5,155,227,193,97.50,241,4,0.126,0.184,0.0167,227,382,321,140.68,782,14,0.408,0.641,0.0180,539,618,583,49.04,129,1,0.067,0.025,0.0044,618,687,645,71.00,206,1,0.108,0.046,0.0049,687,755,735,208.46,480,1,0.251,0.046,0.0021
"US","North Dakota","Billings",38007,928,138,1,14870.69,1077.59,0.0072,5,183,300,263,114.22,36,0,0.262,0.000,0.0000,300,363,325,59.27,16,0,0.114,0.000,0.0000,579,593,584,31.25,2,0,0.016,0.000,0.0000,598,695,623,169.18,57,1,0.414,1.010,0.0177,695,744,726,93.75,22,0,0.161,0.000,0.0000
"US","North Dakota","Bottineau",38009,6281,1565,25,24916.41,3980.26,0.0160,5,112,150,119,3.50,5,0,0.003,0.000,0.0000,167,357,281,182.93,617,20,0.394,0.801,0.0325,357,519,369,27.70,104,0,0.066,0.000,0.0000,537,691,649,108.26,445,3,0.285,0.126,0.0071,691,755,734,239.61,397,2,0.254,0.084,0.0053
"US","North Dakota","Bowman",38011,3024,823,9,27215.61,2976.19,0.0109,5,174,290,266,146.16,155,3,0.188,0.284,0.0165,290,427,322,324.74,245,3,0.298,0.287,0.0105,454,498,461,7.61,5,0,0.006,0.000,0.0000,554,692,638,143.19,264,3,0.321,0.338,0.0115,692,755,738,163.36,152,1,0.185,0.112,0.0066
"US","North Dakota","Burke",38013,2115,428,3,20236.41,1418.44,0.0070,5,156,215,191,48.70,19,1,0.044,0.283,0.0450,220,353,296,204.26,177,0,0.415,0.003,0.0001,353,445,361,35.93,32,0,0.074,0.000,0.0000,527,692,659,95.51,111,0,0.259,0.000,0.0000,692,755,729,152.25,71,0,0.166,0.000,0.0000
"US","North Dakota","Burleigh",38015,95626,34273,293,35840.67,3064.02,0.0085,5,55,111,104,3.00,105,0,0.003,0.000,0.0000,129,411,294,182.44,14579,186,0.425,0.635,0.0128,411,524,467,22.58,1333,10,0.039,0.034,0.0075,524,679,616,129.05,8075,65,0.236,0.224,0.0081,679,755,728,321.84,10219,32,0.298,0.111,0.0032
"US","North Dakota","Cass",38017,181923,58003,323,31883.27,1775.48,0.0056,4,60,160,118,28.87,2246,66,0.039,0.204,0.0293,160,388,302,142.00,18885,126,0.326,0.391,0.0067,388,521,434,41.44,3678,18,0.063,0.055,0.0048,521,755,726,361.16,33227,114,0.573,0.353,0.0034,,,,,,,,,
"US","North Dakota","Cavalier",38019,3762,797,7,21185.54,1860.71,0.0088,5,143,198,171,40.94,31,0,0.039,0.000,0.0000,210,378,287,349.55,385,4,0.483,0.626,0.0114,551,640,614,64.86,91,0,0.114,0.000,0.0000,640,738,728,205.21,218,2,0.274,0.289,0.0093,738,755,738,108.98,61,0,0.077,0.000,0.0000
"US","North Dakota","Dickey",38021,4872,1468,39,30131.36,8004.93,0.0266,5,163,392,287,236.45,728,32,0.496,0.821,0.0440,392,454,426,42.08,42,0,0.029,0.012,0.0106,547,693,659,112.68,362,5,0.247,0.129,0.0139,693,738,735,225.37,228,0,0.155,0.002,0.0003,738,755,738,207.72,91,1,0.062,0.025,0.0109
"US","North Dakota","Divide",38023,2264,454,4,20053.00,1766.78,0.0088,5,239,368,286,124.56,141,2,0.310,0.505,0.0143,386,435,407,43.29,25,0,0.056,0.000,0.0000,532,630,595,95.85,68,0,0.150,0.000,0.0000,630,691,658,98.06,73,1,0.161,0.253,0.0138,691,755,730,224.82,127,1,0.279,0.253,0.0080
"US","North Dakota","Dunn",38025,4424,1015,8,22943.04,1808.32,0.0079,5,186,288,263,109.63,199,6,0.196,0.734,0.0295,288,378,302,98.78,140,1,0.138,0.156,0.0089,437,529,443,12.66,33,0,0.033,0.000,0.0000,529,695,623,134.72,448,0,0.441,0.000,0.0000,695,755,729,102.85,168,1,0.165,0.126,0.0060
