Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Ohio","Adams",39001,27698,6822,136,24629.94,4910.10,0.0199,5,126,337,301,100.51,1235,27,0.181,0.201,0.0222,337,429,372,84.41,1002,26,0.147,0.191,0.0260,429,512,466,18.59,204,2,0.030,0.016,0.0108,512,654,600,113.26,1859,52,0.272,0.385,0.0282,654,755,726,265.47,2543,28,0.373,0.205,0.0110
"US","Ohio","Allen",39003,102351,27219,447,26593.78,4367.32,0.0164,5,130,231,216,18.55,1048,29,0.038,0.064,0.0275,231,416,320,113.04,9616,173,0.353,0.387,0.0180,416,520,444,16.92,1070,17,0.039,0.037,0.0155,520,634,614,67.73,3774,57,0.139,0.127,0.0151,634,755,725,286.94,11574,147,0.425,0.329,0.0127
"US","Ohio","Ashland",39005,53484,11832,203,22122.50,3795.53,0.0172,5,97,112,104,1.31,9,1,0.001,0.004,0.0996,118,211,175,7.31,146,3,0.012,0.015,0.0208,216,517,322,119.12,4197,94,0.355,0.462,0.0223,517,650,602,84.53,2799,50,0.237,0.247,0.0179,650,755,724,185.64,4694,56,0.397,0.275,0.0119
"US","Ohio","Ashtabula",39007,97241,19418,391,19968.94,4020.94,0.0201,5,61,160,125,8.29,418,37,0.022,0.095,0.0885,232,359,304,74.26,3713,104,0.191,0.265,0.0279,359,431,386,50.11,1878,27,0.097,0.068,0.0142,431,532,449,19.38,1044,13,0.054,0.032,0.0120,532,755,719,153.54,12199,211,0.628,0.541,0.0173
"US","Ohio","Athens",39009,65327,14062,116,21525.56,1775.68,0.0082,5,137,206,172,26.91,346,1,0.025,0.008,0.0027,206,424,320,63.71,4390,53,0.312,0.459,0.0121,424,523,453,21.37,500,4,0.036,0.035,0.0081,536,659,590,89.14,2791,36,0.199,0.310,0.0129,659,755,724,381.54,6032,20,0.429,0.174,0.0033
"US","Ohio","Auglaize",39011,45655,11463,168,25107.87,3679.77,0.0147,5,65,143,126,3.55,83,1,0.007,0.006,0.0122,143,417,299,109.36,4498,82,0.392,0.488,0.0182,417,520,467,16.98,447,4,0.039,0.024,0.0091,520,645,622,81.92,1864,21,0.163,0.128,0.0115,645,755,725,253.51,4594,60,0.401,0.357,0.0131
"US","Ohio","Belmont",39013,67006,15361,267,22924.81,3984.72,0.0174,5,59,185,111,17.89,581,22,0.038,0.083,0.0379,238,417,321,78.22,4407,135,0.287,0.506,0.0307,417,524,433,29.43,1067,19,0.069,0.069,0.0174,524,653,599,87.43,3408,56,0.222,0.208,0.0163,653,755,728,203.73,5817,33,0.379,0.125,0.0057
"US","Ohio","Brown",39015,43432,11036,160,25409.84,3683.92,0.0145,5,100,240,207,9.19,260,3,0.024,0.019,0.0116,240,440,322,112.54,3559,53,0.323,0.329,0.0148,440,513,470,10.84,198,6,0.018,0.035,0.0286,513,650,601,119.22,2521,47,0.228,0.294,0.0187,650,755,725,270.58,4510,53,0.409,0.330,0.0117
"US","Ohio","Butler",39017,383134,89440,1039,23344.31,2711.84,0.0116,4,59,128,120,6.30,853,36,0.010,0.035,0.0428,128,496,321,99.24,37939,570,0.424,0.549,0.0150,496,645,602,54.61,13238,177,0.148,0.171,0.0134,645,755,724,293.25,37522,258,0.420,0.248,0.0069,,,,,,,,,
"US","Ohio","Carroll",39019,26914,5210,118,19357.95,4384.34,0.0226,5,113,219,177,8.17,100,4,0.019,0.031,0.0363,219,468,353,91.03,1786,41,0.343,0.344,0.0227,468,521,498,7.21,69,0,0.013,0.002,0.0035,521,640,603,69.11,1047,22,0.201,0.191,0.0215,640,755,723,133.50,2197,48,0.422,0.409,0.0220
