Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Oklahoma","Adair",40001,22194,7552,67,34027.21,3018.83,0.0089,5,59,128,89,11.90,85,3,0.011,0.046,0.0363,128,232,186,41.72,430,7,0.057,0.104,0.0162,232,449,354,196.67,2649,28,0.351,0.418,0.0106,481,657,582,125.57,1727,21,0.229,0.313,0.0122,657,755,741,403.13,2647,5,0.351,0.077,0.0020
"US","Oklahoma","Alfalfa",40003,5702,1691,10,29656.26,1753.77,0.0059,5,180,192,187,4.91,2,0,0.001,0.000,0.0000,199,454,327,539.64,1153,7,0.682,0.700,0.0061,551,618,575,40.86,107,0,0.063,0.000,0.0000,618,683,664,49.81,121,2,0.072,0.198,0.0164,683,755,740,162.93,311,2,0.184,0.202,0.0065
"US","Oklahoma","Atoka",40005,13757,3700,42,26895.40,3052.99,0.0114,5,122,258,236,68.11,335,1,0.091,0.024,0.0030,258,476,301,152.29,1541,24,0.416,0.572,0.0156,512,681,588,137.68,941,8,0.254,0.201,0.0090,704,738,734,238.06,606,2,0.164,0.056,0.0039,738,755,738,203.02,297,1,0.080,0.022,0.0031
"US","Oklahoma","Beaver",40007,5311,931,10,17529.66,1882.88,0.0107,5,87,126,100,25.23,23,0,0.025,0.000,0.0000,175,468,311,106.95,442,6,0.475,0.600,0.0136,559,650,636,37.28,97,3,0.104,0.302,0.0311,650,738,735,160.61,277,1,0.297,0.101,0.0036,738,755,738,144.23,91,0,0.097,0.000,0.0000
"US","Oklahoma","Beckham",40009,21859,5733,90,26227.18,4117.30,0.0157,5,163,283,248,129.47,928,12,0.162,0.129,0.0125,283,481,355,111.67,1967,44,0.343,0.493,0.0226,533,637,631,49.45,515,11,0.090,0.124,0.0216,637,738,734,273.07,1889,22,0.330,0.241,0.0115,738,755,738,242.87,488,1,0.085,0.008,0.0015
"US","Oklahoma","Blaine",40011,9429,2364,34,25071.59,3605.90,0.0144,5,98,433,314,110.62,1014,9,0.429,0.254,0.0085,506,644,601,102.03,452,8,0.191,0.224,0.0168,644,681,662,54.41,117,3,0.050,0.076,0.0220,681,738,734,301.94,570,4,0.241,0.107,0.0064,738,755,738,265.88,209,0,0.088,0.014,0.0022
"US","Oklahoma","Bryan",40013,47995,13247,122,27600.79,2541.93,0.0092,5,207,311,295,105.45,2273,17,0.172,0.142,0.0076,311,484,350,117.22,3372,54,0.255,0.441,0.0160,503,681,602,69.01,3082,30,0.233,0.246,0.0097,681,738,734,314.95,3073,12,0.232,0.099,0.0039,738,755,738,258.74,1096,2,0.083,0.018,0.0020
"US","Oklahoma","Caddo",40015,28762,8044,147,27967.46,5110.91,0.0183,5,148,217,188,39.71,349,10,0.043,0.068,0.0288,217,474,314,140.92,3449,68,0.429,0.463,0.0197,491,656,574,60.74,1244,39,0.155,0.266,0.0314,656,738,729,369.48,2203,11,0.274,0.075,0.0050,738,755,738,264.10,702,5,0.087,0.033,0.0070
"US","Oklahoma","Canadian",40017,148306,37985,347,25612.58,2339.76,0.0091,5,114,212,188,21.61,1272,6,0.033,0.018,0.0050,212,436,349,108.69,15046,102,0.396,0.293,0.0068,436,514,448,25.77,1009,77,0.027,0.223,0.0767,514,661,594,53.66,6095,110,0.160,0.317,0.0180,661,755,729,351.05,14513,52,0.382,0.150,0.0036
"US","Oklahoma","Carter",40019,48111,13288,209,27619.46,4344.12,0.0157,5,99,217,167,14.82,395,5,0.030,0.025,0.0133,217,482,353,249.61,5742,105,0.432,0.501,0.0183,482,676,588,89.13,3158,83,0.238,0.396,0.0262,676,738,735,324.29,2976,11,0.224,0.055,0.0038,738,755,738,281.81,1161,5,0.087,0.024,0.0042
"US","Oklahoma","Cherokee",40021,48657,14115,134,29009.19,2753.97,0.0095,5,64,96,73,2.90,26,1,0.002,0.008,0.0395,130,261,239,34.71,1190,7,0.084,0.052,0.0059,261,486,352,136.44,4423,67,0.313,0.503,0.0152,486,662,589,134.00,3444,43,0.244,0.321,0.0125,662,755,740,363.44,5046,16,0.357,0.121,0.0032
"US","Oklahoma","Choctaw",40023,14671,3952,54,26937.50,3680.73,0.0137,5,110,165,132,49.55,115,1,0.029,0.019,0.0088,165,481,351,132.85,1500,21,0.380,0.391,0.0141,501,674,589,138.57,1173,24,0.297,0.448,0.0206,674,738,734,346.74,837,2,0.212,0.037,0.0024,738,755,738,291.94,366,1,0.093,0.021,0.0031
"US","Oklahoma","Cimarron",40025,2137,546,5,25549.84,2339.73,0.0092,5,242,360,307,86.10,93,1,0.170,0.202,0.0109,360,463,397,201.22,99,0,0.182,0.000,0.0000,516,552,533,73.00,31,0,0.057,0.000,0.0000,552,619,581,64.58,56,0,0.103,0.000,0.0000,650,755,734,188.58,218,3,0.400,0.676,0.0155
"US","Oklahoma","Cleveland",40027,284014,76975,703,27102.54,2475.23,0.0091,5,117,199,189,27.72,2482,19,0.032,0.027,0.0076,199,428,352,97.25,26548,238,0.345,0.339,0.0090,428,506,448,24.67,1863,143,0.024,0.204,0.0768,506,670,594,68.12,13400,175,0.174,0.248,0.0130,670,755,729,349.59,32345,94,0.420,0.134,0.0029
"US","Oklahoma","Coal",40029,5495,1573,20,28626.02,3639.67,0.0127,5,113,242,201,23.84,69,0,0.044,0.000,0.0000,242,320,293,151.96,268,2,0.171,0.102,0.0076,320,430,347,146.50,353,12,0.224,0.605,0.0343,519,676,588,156.32,380,5,0.242,0.251,0.0132,676,755,737,338.31,493,0,0.314,0.000,0.0000
"US","Oklahoma","Comanche",40031,120749,30785,347,25495.04,2873.73,0.0113,5,224,320,307,78.77,4087,28,0.133,0.081,0.0068,320,486,355,99.15,8577,151,0.279,0.435,0.0176,486,671,615,78.87,7572,123,0.246,0.354,0.0162,671,738,734,294.64,7294,27,0.237,0.079,0.0038,738,755,738,253.18,2383,9,0.077,0.027,0.0039
