Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Oregon","Baker",41001,16124,3130,44,19412.06,2728.85,0.0141,5,244,391,343,42.98,527,5,0.168,0.114,0.0095,391,497,449,44.03,360,8,0.115,0.182,0.0223,518,679,601,132.54,1182,18,0.378,0.401,0.0149,679,738,729,176.13,710,9,0.227,0.210,0.0130,738,755,738,135.20,245,3,0.078,0.064,0.0115
"US","Oregon","Benton",41003,93052,14419,59,15495.64,634.05,0.0041,5,147,203,171,2.88,112,1,0.008,0.017,0.0090,203,424,354,25.10,2320,12,0.161,0.204,0.0052,424,515,467,16.85,775,4,0.054,0.068,0.0052,515,672,630,30.92,2783,15,0.193,0.256,0.0054,672,755,720,254.31,8386,22,0.582,0.378,0.0027
"US","Oregon","Clackamas",41005,418187,58108,508,13895.22,1214.77,0.0087,5,123,227,173,5.21,1748,48,0.030,0.094,0.0273,227,406,314,35.85,11402,126,0.196,0.248,0.0110,406,522,464,22.16,5627,54,0.097,0.106,0.0096,522,672,586,37.98,13333,134,0.229,0.264,0.0100,672,755,720,173.79,25819,142,0.444,0.280,0.0055
"US","Oregon","Clatsop",41007,40224,4425,38,11000.89,944.71,0.0086,5,277,402,346,19.19,534,6,0.121,0.159,0.0113,402,498,462,11.39,239,2,0.054,0.053,0.0085,498,655,571,68.81,1489,22,0.337,0.575,0.0147,655,738,730,115.53,1496,8,0.338,0.204,0.0052,738,755,738,98.90,473,1,0.107,0.024,0.0019
"US","Oregon","Columbia",41009,52354,7253,74,13853.76,1413.45,0.0102,5,218,406,355,23.21,1145,20,0.158,0.271,0.0175,406,520,438,19.85,666,8,0.092,0.110,0.0122,520,660,570,50.94,2167,20,0.299,0.270,0.0092,660,738,731,166.37,2422,20,0.334,0.269,0.0082,738,755,738,128.89,813,6,0.112,0.079,0.0071
"US","Oregon","Coos",41011,64486,10238,133,15876.31,2062.46,0.0130,5,87,109,97,2.99,28,0,0.003,0.000,0.0000,148,203,178,3.05,59,0,0.006,0.000,0.0000,206,512,401,26.92,2071,37,0.202,0.279,0.0179,512,658,585,67.67,3195,64,0.312,0.484,0.0202,658,755,728,178.95,4897,33,0.478,0.249,0.0068
"US","Oregon","Crook",41013,24404,5869,68,24049.34,2786.43,0.0116,5,231,415,357,42.57,728,17,0.124,0.251,0.0234,415,523,471,40.28,516,5,0.088,0.074,0.0098,523,679,630,108.55,2069,34,0.353,0.493,0.0162,679,738,732,313.23,1850,7,0.315,0.098,0.0036,738,755,738,265.94,730,6,0.124,0.082,0.0076
"US","Oregon","Curry",41015,22925,3154,43,13757.91,1875.68,0.0136,5,221,366,327,27.00,304,5,0.096,0.117,0.0165,366,483,421,22.16,330,5,0.105,0.117,0.0152,522,671,573,135.53,1160,24,0.368,0.566,0.0210,671,738,726,148.00,918,6,0.291,0.140,0.0066,738,755,738,115.77,372,2,0.118,0.044,0.0051
"US","Oregon","Deschutes",41017,197691,44514,242,22516.96,1224.13,0.0054,5,147,222,185,7.16,552,11,0.012,0.045,0.0198,222,409,314,33.19,5333,53,0.120,0.219,0.0099,409,524,462,39.56,4085,19,0.092,0.078,0.0046,524,675,585,78.90,13207,102,0.297,0.420,0.0077,675,755,728,303.49,21285,60,0.478,0.247,0.0028
"US","Oregon","Douglas",41019,110979,18981,350,17103.24,3153.75,0.0184,5,218,343,302,22.67,1208,36,0.064,0.104,0.0300,343,450,388,23.45,1660,27,0.087,0.077,0.0163,450,520,488,16.41,902,18,0.048,0.051,0.0198,520,680,577,153.24,9540,209,0.503,0.597,0.0219,680,755,734,135.63,5564,59,0.293,0.169,0.0106
"US","Oregon","Gilliam",41021,1911,271,4,14181.06,2093.14,0.0148,5,290,375,351,43.96,36,1,0.134,0.253,0.0279,434,534,498,44.48,28,0,0.104,0.000,0.0000,534,617,576,102.04,60,3,0.222,0.757,0.0504,617,680,661,82.68,43,0,0.160,0.000,0.0000,680,738,734,158.03,66,0,0.244,0.000,0.0000
"US","Oregon","Grant",41023,7199,1533,18,21294.62,2500.35,0.0117,5,270,343,304,92.93,159,1,0.104,0.056,0.0063,343,376,358,60.29,48,0,0.031,0.000,0.0000,390,538,448,133.21,336,6,0.219,0.336,0.0180,538,674,610,196.42,528,7,0.344,0.406,0.0138,674,755,731,200.31,450,4,0.294,0.213,0.0085
"US","Oregon","Harney",41025,7392,1532,36,20725.11,4870.13,0.0235,5,257,333,300,42.34,112,1,0.073,0.028,0.0090,333,424,384,57.36,160,5,0.104,0.140,0.0315,424,534,495,38.83,158,5,0.103,0.139,0.0317,534,675,610,205.63,755,21,0.493,0.587,0.0280,690,755,736,182.22,306,3,0.199,0.084,0.0099
"US","Oregon","Hood River",41027,23382,3398,41,14532.55,1753.49,0.0121,5,158,240,201,16.55,154,0,0.045,0.000,0.0000,240,416,330,74.63,833,29,0.245,0.708,0.0348,513,675,622,57.18,902,4,0.265,0.099,0.0045,675,738,731,161.11,991,3,0.292,0.073,0.0030,738,755,738,129.20,323,1,0.095,0.028,0.0036
"US","Oregon","Jackson",41029,220943,41001,451,18557.27,2041.25,0.0110,5,139,233,212,8.23,872,3,0.021,0.007,0.0035,233,414,318,34.71,7767,116,0.189,0.258,0.0150,414,513,456,21.13,2829,27,0.069,0.060,0.0096,513,671,581,104.31,13088,203,0.319,0.450,0.0155,671,755,729,229.02,16464,103,0.402,0.228,0.0063
"US","Oregon","Jefferson",41031,24658,7045,78,28570.85,3163.27,0.0111,5,121,264,185,34.71,562,8,0.080,0.106,0.0146,264,427,322,102.68,1421,23,0.202,0.294,0.0162,427,522,486,27.86,379,8,0.054,0.108,0.0223,522,679,612,89.99,1831,27,0.260,0.342,0.0146,679,755,731,369.58,2842,12,0.403,0.154,0.0042
"US","Oregon","Josephine",41033,87487,15633,309,17868.94,3531.95,0.0198,5,226,402,355,39.53,2168,49,0.139,0.157,0.0224,402,503,422,20.95,1189,22,0.076,0.071,0.0185,503,660,574,141.46,6330,142,0.405,0.461,0.0225,660,738,730,172.40,4369,84,0.279,0.272,0.0193,738,755,738,135.96,1568,13,0.100,0.042,0.0082
"US","Oregon","Klamath",41035,68238,13710,185,20091.44,2711.10,0.0135,5,218,402,318,59.18,2556,53,0.186,0.285,0.0206,402,524,458,64.52,2017,23,0.147,0.127,0.0116,524,685,621,80.34,4343,75,0.317,0.403,0.0172,685,738,732,231.97,3238,29,0.236,0.158,0.0090,738,755,738,194.13,1479,5,0.108,0.024,0.0031
"US","Oregon","Lake",41037,7869,1335,23,16965.31,2922.86,0.0172,5,272,343,305,61.63,160,4,0.120,0.175,0.0251,343,429,383,82.86,205,2,0.154,0.089,0.0099,429,512,462,25.92,69,2,0.052,0.077,0.0257,546,692,601,146.78,584,13,0.438,0.560,0.0220,692,755,734,114.50,269,2,0.201,0.102,0.0087
"US","Oregon","Lane",41039,382067,54887,441,14365.80,1154.25,0.0080,5,206,415,322,24.48,9840,130,0.179,0.295,0.0132,415,517,454,16.10,3478,31,0.063,0.071,0.0090,517,673,574,57.35,15932,188,0.290,0.427,0.0118,673,738,730,194.92,19012,56,0.346,0.127,0.0030,738,755,738,151.02,6663,36,0.121,0.082,0.0054
"US","Oregon","Lincoln",41041,49962,6711,66,13432.21,1321.00,0.0098,5,121,233,139,36.07,463,13,0.069,0.197,0.0281,241,404,319,20.66,661,7,0.098,0.107,0.0107,498,676,585,72.29,2194,31,0.327,0.468,0.0141,676,738,730,178.34,2255,12,0.336,0.187,0.0055,738,755,738,140.13,940,2,0.140,0.034,0.0024
