Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Pennsylvania","Adams",42001,103008,24301,344,23591.37,3339.55,0.0142,5,58,150,93,5.00,311,11,0.013,0.032,0.0352,150,405,333,87.87,7024,140,0.289,0.408,0.0200,405,521,433,38.18,2408,38,0.099,0.110,0.0157,521,650,601,53.18,3843,39,0.158,0.112,0.0100,650,755,721,208.33,10780,119,0.444,0.345,0.0110
"US","Pennsylvania","Allegheny",42003,1216044,257864,3127,21205.15,2571.45,0.0121,5,57,122,73,3.83,1710,154,0.007,0.049,0.0902,122,229,173,15.95,9127,174,0.035,0.056,0.0190,229,399,325,79.80,64993,1376,0.252,0.440,0.0212,399,520,447,41.23,26993,315,0.105,0.101,0.0117,520,755,717,272.48,155385,1117,0.603,0.357,0.0072
"US","Pennsylvania","Armstrong",42005,64735,14959,325,23108.06,5020.47,0.0217,5,150,231,184,9.87,295,7,0.020,0.020,0.0226,231,406,333,88.31,4562,104,0.305,0.320,0.0228,406,518,450,32.89,1126,32,0.075,0.099,0.0285,538,641,623,82.74,2712,47,0.181,0.145,0.0174,641,755,722,172.27,6231,131,0.417,0.402,0.0210
"US","Pennsylvania","Beaver",42007,163929,39298,694,23972.57,4233.54,0.0177,5,134,245,182,13.40,1264,45,0.032,0.065,0.0359,245,413,326,108.56,10721,234,0.273,0.336,0.0218,413,522,446,37.11,3095,37,0.079,0.053,0.0119,522,635,609,62.13,5881,69,0.150,0.099,0.0117,635,755,723,197.21,17875,239,0.455,0.344,0.0134
"US","Pennsylvania","Bedford",42009,47888,10729,261,22404.36,5450.22,0.0243,5,112,192,184,4.61,99,3,0.009,0.011,0.0299,192,410,323,137.53,3731,125,0.348,0.480,0.0335,410,532,453,35.79,920,13,0.086,0.050,0.0142,532,649,606,85.49,2176,30,0.203,0.117,0.0140,649,755,725,128.22,3807,89,0.355,0.343,0.0235
"US","Pennsylvania","Berks",42011,421163,100908,1543,23959.37,3663.66,0.0153,4,58,155,82,27.66,4446,347,0.044,0.225,0.0781,155,405,322,78.23,31485,555,0.312,0.360,0.0176,405,528,447,50.12,13047,142,0.129,0.092,0.0109,528,755,718,253.41,52045,502,0.516,0.325,0.0096,,,,,,,,,
"US","Pennsylvania","Blair",42013,121829,29035,587,23832.59,4818.23,0.0202,5,148,212,207,7.67,331,7,0.011,0.012,0.0221,212,409,324,124.69,10437,295,0.359,0.503,0.0283,409,519,453,44.46,2830,39,0.097,0.066,0.0136,538,690,666,88.20,8213,115,0.283,0.196,0.0140,690,755,724,155.00,7275,131,0.251,0.224,0.0181
"US","Pennsylvania","Bradford",42015,60322,14601,190,24205.10,3149.76,0.0130,5,62,126,77,1.76,44,3,0.003,0.016,0.0682,149,208,182,2.32,45,0,0.003,0.000,0.0000,208,406,327,71.78,4342,75,0.297,0.394,0.0172,406,525,445,57.82,1752,18,0.120,0.096,0.0104,532,755,723,208.95,8424,94,0.577,0.496,0.0112
"US","Pennsylvania","Bucks",42017,628270,120817,1801,19230.11,2866.60,0.0149,5,56,150,99,17.31,5428,551,0.045,0.306,0.1016,215,403,320,77.99,37335,548,0.309,0.304,0.0147,403,519,436,44.94,16298,195,0.135,0.108,0.0119,519,639,623,27.49,12012,91,0.099,0.051,0.0076,639,755,717,211.17,47994,387,0.397,0.215,0.0081
"US","Pennsylvania","Butler",42019,187853,43642,694,23232.00,3694.38,0.0159,5,116,210,183,5.56,534,9,0.012,0.013,0.0168,210,404,327,93.26,13301,352,0.305,0.507,0.0265,404,525,441,31.13,3781,50,0.087,0.072,0.0132,525,641,618,68.03,7217,77,0.165,0.111,0.0107,641,755,720,210.47,18731,201,0.429,0.289,0.0107
"US","Pennsylvania","Cambria",42021,130191,33879,692,26022.54,5315.27,0.0204,5,94,117,99,0.96,24,0,0.001,0.000,0.0066,151,228,196,8.84,477,3,0.014,0.004,0.0059,228,413,319,153.25,11505,392,0.340,0.567,0.0341,413,532,449,42.78,3032,44,0.089,0.063,0.0144,532,755,724,230.03,18837,251,0.556,0.363,0.0133
"US","Pennsylvania","Cameron",42023,4447,801,19,18012.14,4272.54,0.0237,5,273,414,328,148.19,257,7,0.321,0.367,0.0272,414,516,429,22.71,44,0,0.054,0.026,0.0113,516,695,609,95.12,319,6,0.398,0.301,0.0179,695,738,736,128.63,130,5,0.162,0.252,0.0368,738,755,738,118.73,52,1,0.065,0.075,0.0274
"US","Pennsylvania","Carbon",42025,64182,15613,277,24326.14,4315.85,0.0177,5,60,144,75,11.42,257,24,0.016,0.087,0.0935,226,406,352,109.41,4488,124,0.287,0.446,0.0275,406,524,446,40.67,1538,25,0.099,0.089,0.0161,531,649,622,68.23,2614,26,0.167,0.094,0.0100,649,755,720,266.20,6580,75,0.421,0.271,0.0114
"US","Pennsylvania","Centre",42027,162385,34311,333,21129.41,2050.68,0.0097,5,137,275,246,58.88,3870,9,0.113,0.026,0.0022,275,408,324,64.20,9423,196,0.275,0.589,0.0208,408,519,429,43.78,3788,15,0.110,0.046,0.0040,519,639,597,38.51,3588,16,0.105,0.049,0.0045,639,755,720,176.19,13610,91,0.397,0.274,0.0067
"US","Pennsylvania","Chester",42029,524989,89370,1101,17023.21,2097.19,0.0123,5,56,158,95,9.81,3559,333,0.040,0.302,0.0935,208,404,352,54.20,25329,379,0.283,0.344,0.0150,404,521,448,36.04,10540,90,0.118,0.082,0.0086,521,640,602,25.76,9693,48,0.108,0.044,0.0050,640,755,716,175.36,38811,231,0.434,0.209,0.0059
"US","Pennsylvania","Clarion",42031,38438,8057,193,20961.03,5021.07,0.0240,5,152,216,168,5.88,68,1,0.008,0.005,0.0148,216,416,319,119.54,2655,83,0.330,0.432,0.0314,416,517,453,23.54,487,10,0.060,0.051,0.0201,527,693,662,104.71,3071,68,0.381,0.351,0.0220,693,755,723,138.20,1766,31,0.219,0.158,0.0173
"US","Pennsylvania","Clearfield",42033,79255,18722,314,23622.48,3961.90,0.0168,5,95,115,101,1.31,17,0,0.001,0.000,0.0000,122,236,198,5.63,251,1,0.013,0.004,0.0044,236,400,324,102.91,5938,113,0.317,0.359,0.0190,400,524,434,49.79,2509,41,0.134,0.131,0.0164,524,755,726,183.21,10018,160,0.535,0.509,0.0159
"US","Pennsylvania","Clinton",42035,38632,8846,121,22898.12,3132.12,0.0137,5,189,246,224,9.47,91,1,0.010,0.007,0.0093,246,399,331,113.30,2554,49,0.289,0.408,0.0193,399,523,449,44.00,995,12,0.112,0.099,0.0120,539,684,658,99.53,2475,27,0.280,0.221,0.0108,684,755,721,174.80,2665,27,0.301,0.222,0.0101
"US","Pennsylvania","Columbia",42037,64964,14664,228,22572.50,3509.64,0.0155,5,61,166,87,20.09,414,34,0.028,0.151,0.0830,166,262,221,31.36,588,3,0.040,0.012,0.0046,262,415,353,101.27,3767,88,0.257,0.388,0.0235,415,529,465,35.10,1217,11,0.083,0.048,0.0091,529,755,724,175.31,8695,92,0.593,0.405,0.0106
"US","Pennsylvania","Crawford",42039,84629,19459,297,22993.30,3509.44,0.0153,5,138,427,324,185.59,6661,142,0.342,0.478,0.0213,427,527,476,18.37,964,14,0.050,0.049,0.0150,527,631,603,68.39,2795,23,0.144,0.077,0.0082,631,683,668,111.50,3360,47,0.173,0.160,0.0141,683,755,723,176.03,5792,74,0.298,0.248,0.0127
"US","Pennsylvania","Cumberland",42041,253370,49866,845,19681.10,3335.04,0.0169,5,140,216,186,6.42,784,14,0.016,0.017,0.0183,216,434,325,78.02,16675,425,0.334,0.503,0.0255,434,523,449,25.11,2803,30,0.056,0.035,0.0107,523,648,621,49.83,7808,100,0.157,0.118,0.0128,648,755,723,179.74,21259,222,0.426,0.263,0.0104
