Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Puerto Rico","Adjuntas",72001,17363,2048,0,11795.20,0.00,0.0000,5,173,244,213,10.14,76,0,0.037,0.000,0.0000,244,399,326,41.06,317,0,0.155,0.000,0.0000,405,488,449,14.63,89,0,0.043,0.000,0.0000,533,634,579,23.84,116,0,0.056,0.000,0.0000,639,755,716,299.20,1448,0,0.707,0.000,0.0000
"US","Puerto Rico","Aguada",72003,36694,5822,0,15866.35,0.00,0.0000,5,173,265,238,14.69,318,0,0.055,0.000,0.0000,265,411,346,29.38,821,0,0.141,0.000,0.0000,411,508,447,21.12,333,0,0.057,0.000,0.0000,526,650,559,66.17,878,0,0.151,0.000,0.0000,650,755,713,336.46,3474,0,0.597,0.000,0.0000
"US","Puerto Rico","Aguadilla",72005,50265,6736,0,13400.97,0.00,0.0000,5,172,235,185,10.88,267,0,0.040,0.000,0.0000,235,403,340,26.58,1129,0,0.168,0.000,0.0000,403,494,446,20.65,392,0,0.058,0.000,0.0000,509,643,560,56.54,1153,0,0.171,0.000,0.0000,643,755,715,280.31,3799,0,0.564,0.000,0.0000
"US","Puerto Rico","Aguas Buenas",72007,24814,3766,0,15176.92,0.00,0.0000,5,173,220,209,14.99,117,0,0.031,0.000,0.0000,220,409,341,80.64,842,0,0.224,0.000,0.0000,409,514,450,46.22,350,0,0.093,0.000,0.0000,514,656,572,24.74,261,0,0.069,0.000,0.0000,656,755,721,287.66,2200,0,0.584,0.000,0.0000
"US","Puerto Rico","Aibonito",72009,22108,3374,0,15261.44,0.00,0.0000,5,173,229,211,8.73,73,0,0.022,0.000,0.0000,229,404,322,27.73,450,0,0.133,0.000,0.0000,404,494,447,33.92,233,0,0.069,0.000,0.0000,543,657,587,22.80,236,0,0.070,0.000,0.0000,657,755,713,377.24,2378,0,0.705,0.000,0.0000
"US","Puerto Rico","Anasco",72011,26161,3314,0,12667.71,0.00,0.0000,5,173,243,193,11.66,132,0,0.040,0.000,0.0000,243,411,332,33.64,587,0,0.177,0.000,0.0000,411,500,448,19.84,164,0,0.050,0.000,0.0000,528,657,566,45.22,438,0,0.132,0.000,0.0000,657,755,711,261.04,1994,0,0.602,0.000,0.0000
"US","Puerto Rico","Arecibo",72013,81966,11860,0,14469.41,0.00,0.0000,5,173,268,242,22.94,802,0,0.068,0.000,0.0000,268,411,331,34.98,1932,0,0.163,0.000,0.0000,411,511,452,20.65,631,0,0.053,0.000,0.0000,511,660,585,27.66,1131,0,0.095,0.000,0.0000,660,755,713,312.03,7379,0,0.622,0.000,0.0000
"US","Puerto Rico","Arroyo",72015,17237,1726,0,10013.34,0.00,0.0000,5,174,273,202,12.76,130,0,0.076,0.000,0.0000,273,404,330,19.14,160,0,0.093,0.000,0.0000,414,520,445,17.64,106,0,0.061,0.000,0.0000,545,625,581,12.24,77,0,0.044,0.000,0.0000,659,755,714,265.59,1239,0,0.718,0.000,0.0000
"US","Puerto Rico","Barceloneta",72017,23727,3036,0,12795.55,0.00,0.0000,5,173,274,241,31.90,270,0,0.089,0.000,0.0000,274,406,323,28.91,422,0,0.139,0.000,0.0000,406,507,450,27.23,207,0,0.068,0.000,0.0000,519,657,569,26.89,265,0,0.087,0.000,0.0000,657,755,720,269.23,1874,0,0.617,0.000,0.0000
"US","Puerto Rico","Barranquitas",72019,27724,4396,0,15856.30,0.00,0.0000,5,171,225,192,25.47,228,0,0.052,0.000,0.0000,225,391,250,28.93,849,0,0.193,0.000,0.0000,391,512,449,33.83,422,0,0.096,0.000,0.0000,529,620,582,18.76,221,0,0.050,0.000,0.0000,661,755,714,332.24,2591,0,0.589,0.000,0.0000
"US","Puerto Rico","Bayamon",72021,169269,31950,0,18875.28,0.00,0.0000,5,172,237,202,31.93,2386,0,0.075,0.000,0.0000,261,406,328,42.52,5950,0,0.186,0.000,0.0000,406,512,450,44.08,2524,0,0.079,0.000,0.0000,512,659,577,41.01,3283,0,0.103,0.000,0.0000,659,755,710,351.80,16790,0,0.525,0.000,0.0000
"US","Puerto Rico","Cabo Rojo",72023,47515,4742,0,9980.01,0.00,0.0000,5,227,303,264,22.41,310,0,0.065,0.000,0.0000,303,405,320,10.33,323,0,0.068,0.000,0.0000,405,507,445,28.33,357,0,0.075,0.000,0.0000,521,651,554,31.21,635,0,0.134,0.000,0.0000,651,755,710,219.09,2964,0,0.625,0.000,0.0000
"US","Puerto Rico","Caguas",72025,124606,20272,0,16268.88,0.00,0.0000,5,172,214,202,16.51,622,0,0.031,0.000,0.0000,214,405,341,35.70,4613,0,0.228,0.000,0.0000,405,512,452,37.86,1687,0,0.083,0.000,0.0000,512,638,569,26.76,1580,-0,0.078,0.000,-0.0000,638,755,710,338.13,11799,0,0.582,0.000,0.0000
"US","Puerto Rico","Camuy",72027,30503,4443,0,14565.78,0.00,0.0000,5,174,219,195,14.49,125,0,0.028,0.000,0.0000,219,408,307,44.03,939,0,0.211,0.000,0.0000,408,498,444,24.29,283,0,0.064,0.000,0.0000,513,660,565,27.01,382,0,0.086,0.000,0.0000,660,755,713,308.63,2717,0,0.611,0.000,0.0000
"US","Puerto Rico","Canovanas",72029,44674,6020,0,13475.40,0.00,0.0000,5,231,288,275,26.93,432,0,0.072,0.000,0.0000,288,399,353,22.65,755,0,0.125,0.000,0.0000,399,515,454,43.87,644,0,0.107,0.000,0.0000,527,656,569,34.54,694,0,0.115,0.000,0.0000,656,755,710,248.60,3145,0,0.522,0.000,0.0000
