Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","South Carolina","Abbeville",45001,24526,6515,63,26563.65,2568.70,0.0097,5,122,213,180,42.00,347,9,0.053,0.148,0.0269,213,281,256,37.47,399,7,0.061,0.118,0.0187,281,501,365,109.92,1829,25,0.281,0.393,0.0136,539,658,600,108.13,1276,9,0.196,0.143,0.0071,658,755,727,354.64,2645,13,0.406,0.210,0.0050
"US","South Carolina","Aiken",45003,170872,40272,408,23568.52,2387.75,0.0101,5,63,210,190,25.97,2161,50,0.054,0.123,0.0232,210,280,244,100.65,2878,38,0.071,0.093,0.0132,280,497,370,81.25,12516,141,0.311,0.346,0.0113,510,664,587,97.38,9730,127,0.242,0.310,0.0130,664,755,728,220.92,13049,57,0.324,0.141,0.0044
"US","South Carolina","Allendale",45005,8688,2044,23,23526.70,2647.33,0.0113,5,131,272,191,61.69,391,3,0.191,0.130,0.0077,291,444,359,92.77,469,7,0.229,0.323,0.0159,444,508,472,17.50,48,0,0.023,0.000,0.0000,531,653,586,132.02,404,6,0.197,0.262,0.0149,653,755,722,290.17,696,2,0.340,0.088,0.0029
"US","South Carolina","Anderson",45007,202557,57084,905,28181.70,4467.88,0.0159,5,57,106,72,2.64,176,8,0.003,0.009,0.0454,106,212,191,24.89,2620,80,0.046,0.088,0.0306,212,515,360,102.54,20521,447,0.359,0.494,0.0218,515,661,588,126.18,13753,240,0.241,0.265,0.0174,661,755,725,286.21,20088,135,0.352,0.149,0.0067
"US","South Carolina","Bamberg",45009,14066,3368,70,23944.26,4976.54,0.0208,5,91,281,178,102.45,688,34,0.204,0.492,0.0501,281,442,361,73.16,828,17,0.246,0.236,0.0199,442,516,466,13.29,78,1,0.023,0.017,0.0149,529,671,593,95.69,579,10,0.172,0.143,0.0173,671,755,725,288.50,1191,7,0.354,0.102,0.0060
"US","South Carolina","Barnwell",45011,20866,5734,92,27480.11,4409.09,0.0160,5,125,225,181,51.47,501,13,0.087,0.140,0.0257,225,287,245,60.00,351,11,0.061,0.123,0.0323,287,440,349,123.93,1596,29,0.278,0.316,0.0182,510,669,585,130.02,1322,28,0.231,0.305,0.0212,669,755,726,276.62,1807,7,0.315,0.078,0.0040
"US","South Carolina","Beaufort",45013,192122,42182,346,21955.84,1800.94,0.0082,5,56,103,70,6.55,267,11,0.006,0.033,0.0427,103,268,188,46.54,5676,78,0.135,0.225,0.0137,268,510,364,72.85,11175,120,0.265,0.348,0.0108,516,665,577,94.77,10379,107,0.246,0.311,0.0104,665,755,721,223.75,14710,30,0.349,0.086,0.0020
"US","South Carolina","Berkeley",45015,227907,50817,408,22297.25,1790.20,0.0080,5,62,107,84,3.06,187,14,0.004,0.034,0.0742,107,253,174,44.36,5335,75,0.105,0.185,0.0141,253,510,359,53.65,12429,116,0.245,0.283,0.0093,510,663,587,116.15,13406,145,0.264,0.356,0.0108,663,755,726,267.22,19492,60,0.384,0.146,0.0031
"US","South Carolina","Calhoun",45017,14553,2709,55,18614.72,3779.29,0.0203,5,121,233,194,64.80,421,15,0.155,0.279,0.0365,233,284,257,21.71,87,2,0.032,0.034,0.0214,284,451,349,78.68,773,18,0.285,0.329,0.0234,527,664,581,77.99,423,16,0.156,0.290,0.0377,664,755,720,198.72,950,2,0.351,0.040,0.0023
"US","South Carolina","Charleston",45019,411406,109962,860,26728.34,2090.39,0.0078,5,56,103,70,5.17,458,8,0.004,0.009,0.0171,103,258,163,73.55,15627,260,0.142,0.302,0.0166,258,507,354,72.60,27835,244,0.253,0.284,0.0088,516,661,584,96.83,21984,215,0.200,0.250,0.0098,661,755,718,304.86,44130,135,0.401,0.157,0.0031
