Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","South Dakota","Aurora",46003,2751,756,16,27480.92,5816.07,0.0212,5,102,156,121,77.79,33,0,0.044,0.000,0.0000,232,379,297,263.18,409,15,0.541,0.967,0.0379,406,495,449,23.63,22,0,0.029,0.000,0.0000,558,662,614,74.88,95,2,0.126,0.126,0.0213,669,755,734,186.48,190,0,0.251,0.000,0.0000
"US","South Dakota","Beadle",46005,18452,4533,55,24566.44,2980.71,0.0121,5,53,75,61,9.38,21,1,0.005,0.027,0.0720,107,195,129,101.99,566,7,0.125,0.128,0.0124,195,369,294,208.38,2009,30,0.443,0.544,0.0149,369,504,407,44.22,372,1,0.082,0.023,0.0034,559,755,730,132.94,1564,15,0.345,0.271,0.0095
"US","South Dakota","Bennett",46007,3365,767,12,22793.46,3566.12,0.0156,5,138,160,153,8.62,4,0,0.006,0.000,0.0000,206,406,281,229.42,376,9,0.490,0.754,0.0241,414,474,420,9.51,9,0,0.011,0.000,0.0000,532,676,659,46.66,113,0,0.147,0.000,0.0000,676,755,729,242.50,264,3,0.344,0.272,0.0124
"US","South Dakota","Bon Homme",46009,6901,2282,37,33067.67,5361.54,0.0162,5,114,130,122,6.09,4,0,0.002,0.000,0.0000,197,362,278,956.38,1488,23,0.652,0.622,0.0155,372,388,374,8.26,5,1,0.002,0.018,0.1405,388,498,447,21.16,53,3,0.023,0.088,0.0610,555,755,722,274.16,727,8,0.319,0.228,0.0116
"US","South Dakota","Brookings",46011,35077,8033,48,22901.05,1368.42,0.0060,5,124,177,165,7.58,85,0,0.011,0.000,0.0000,177,399,295,111.58,3473,36,0.432,0.760,0.0105,399,510,445,48.66,667,1,0.083,0.016,0.0012,522,645,602,51.54,885,1,0.110,0.030,0.0016,645,755,721,252.05,2920,10,0.363,0.199,0.0033
"US","South Dakota","Brown",46013,38839,10078,114,25948.14,2935.19,0.0113,5,60,162,113,25.85,343,2,0.034,0.018,0.0058,162,412,304,138.31,4837,87,0.480,0.763,0.0180,412,505,443,20.78,460,6,0.046,0.053,0.0132,540,681,665,53.86,1670,10,0.166,0.085,0.0058,681,755,729,232.42,2781,11,0.276,0.094,0.0038
"US","South Dakota","Brule",46015,5297,1400,18,26430.05,3398.15,0.0129,5,126,186,161,23.79,38,0,0.027,0.000,0.0000,186,432,295,199.36,662,9,0.473,0.502,0.0136,442,482,461,15.86,17,1,0.012,0.054,0.0568,547,676,656,134.98,222,2,0.159,0.117,0.0095,676,755,720,233.34,460,6,0.328,0.332,0.0130
"US","South Dakota","Buffalo",46017,1961,617,17,31463.54,8669.05,0.0276,5,109,204,143,167.26,108,3,0.175,0.177,0.0279,212,379,282,277.41,310,10,0.503,0.592,0.0324,559,631,597,40.80,20,0,0.032,0.000,0.0000,631,674,660,34.17,17,1,0.027,0.060,0.0606,696,755,715,364.10,151,1,0.245,0.059,0.0067
"US","South Dakota","Butte",46019,10429,2695,44,25841.40,4219.00,0.0163,5,163,395,281,150.54,971,20,0.360,0.455,0.0206,430,506,457,22.05,77,0,0.029,0.000,0.0000,521,691,589,182.57,1027,15,0.381,0.345,0.0148,691,738,731,198.29,426,8,0.158,0.183,0.0189,738,755,738,163.01,173,1,0.064,0.025,0.0064
"US","South Dakota","Campbell",46021,1376,259,7,18822.67,5087.21,0.0270,5,229,346,248,168.60,110,4,0.426,0.577,0.0366,346,395,370,57.41,15,0,0.057,0.000,0.0000,573,622,586,74.13,21,0,0.083,0.000,0.0000,642,697,680,167.15,43,2,0.164,0.263,0.0433,697,755,730,135.90,53,1,0.203,0.179,0.0238
"US","South Dakota","Charles Mix",46023,9292,2902,32,31231.17,3443.82,0.0110,5,68,86,79,2.58,3,0,0.001,0.000,0.0000,106,195,158,40.03,95,0,0.033,0.000,0.0000,195,494,303,192.32,1282,22,0.442,0.689,0.0172,505,637,617,78.45,327,4,0.113,0.126,0.0123,637,755,729,321.57,1194,6,0.412,0.188,0.0050
"US","South Dakota","Clark",46025,3736,773,8,20690.58,2141.33,0.0103,5,132,182,142,17.93,12,0,0.016,0.000,0.0000,197,360,281,150.70,309,3,0.400,0.431,0.0112,360,391,379,52.19,36,1,0.047,0.128,0.0280,391,492,425,63.44,103,1,0.133,0.134,0.0104,560,755,731,170.77,307,3,0.397,0.390,0.0102
"US","South Dakota","Clay",46027,14070,3471,20,24669.51,1421.46,0.0058,5,175,253,221,170.93,480,6,0.138,0.318,0.0133,253,394,296,145.91,1208,9,0.348,0.445,0.0074,394,504,429,22.32,156,0,0.045,0.000,0.0000,540,618,595,35.82,170,1,0.049,0.050,0.0059,669,755,729,290.62,1189,3,0.342,0.145,0.0024
"US","South Dakota","Codington",46029,28009,8272,95,29533.36,3391.77,0.0115,5,60,82,71,3.03,12,0,0.001,0.000,0.0000,111,411,287,154.59,4022,77,0.486,0.811,0.0192,411,492,449,79.80,617,5,0.075,0.053,0.0081,544,645,638,62.69,915,1,0.111,0.011,0.0011,645,755,730,242.85,2712,11,0.328,0.117,0.0041
"US","South Dakota","Corson",46031,4085,1050,16,25703.79,3916.77,0.0152,5,165,379,281,224.24,443,11,0.422,0.689,0.0249,379,439,396,14.20,15,1,0.014,0.063,0.0671,547,662,579,110.16,212,1,0.202,0.063,0.0048,662,738,732,270.99,273,2,0.260,0.147,0.0086,738,755,738,233.29,88,1,0.084,0.048,0.0087
