Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Tennessee","Anderson",47001,76978,21010,297,27293.51,3858.25,0.0141,5,78,105,91,1.26,19,0,0.001,0.002,0.0239,131,222,187,31.48,839,7,0.040,0.023,0.0082,222,506,328,148.73,7972,165,0.379,0.555,0.0207,523,659,598,104.33,4390,49,0.209,0.165,0.0112,659,755,747,281.87,7823,74,0.372,0.249,0.0095
"US","Tennessee","Bedford",47003,49713,14560,212,29288.11,4264.48,0.0146,5,122,227,188,27.92,892,10,0.061,0.047,0.0113,227,397,327,154.83,4598,103,0.316,0.487,0.0225,397,479,426,38.08,787,11,0.054,0.054,0.0145,526,666,597,92.15,2681,27,0.184,0.127,0.0100,666,755,734,307.99,5173,54,0.355,0.255,0.0104
"US","Tennessee","Benton",47005,16160,4263,84,26379.95,5198.02,0.0197,5,149,250,196,49.50,331,8,0.078,0.090,0.0228,250,423,296,105.20,1203,30,0.282,0.361,0.0252,423,488,440,25.68,143,1,0.034,0.015,0.0087,514,657,599,146.72,1165,13,0.273,0.155,0.0112,657,755,747,250.37,1419,30,0.333,0.358,0.0212
"US","Tennessee","Bledsoe",47007,15064,4513,43,29958.84,2854.49,0.0095,5,61,137,92,426.71,612,1,0.136,0.023,0.0016,150,237,202,40.03,218,3,0.048,0.070,0.0139,281,442,329,97.92,1051,7,0.233,0.164,0.0067,516,666,585,199.75,1315,7,0.291,0.171,0.0056,666,755,729,209.24,988,25,0.219,0.578,0.0252
"US","Tennessee","Blount",47009,133088,37713,367,28336.89,2757.57,0.0097,5,136,243,187,31.70,2350,20,0.062,0.054,0.0085,243,434,330,120.33,12264,171,0.325,0.465,0.0139,434,495,453,27.49,943,3,0.025,0.008,0.0033,516,656,599,120.46,8040,73,0.213,0.199,0.0091,656,755,733,314.79,13806,98,0.366,0.268,0.0071
"US","Tennessee","Bradley",47011,108110,32237,363,29818.70,3357.69,0.0113,4,61,240,167,35.38,2799,16,0.087,0.045,0.0058,240,515,329,142.83,12509,136,0.388,0.375,0.0109,515,660,595,148.69,7067,52,0.219,0.143,0.0073,660,755,734,293.20,9894,160,0.307,0.441,0.0162,,,,,,,,,
"US","Tennessee","Campbell",47013,39842,11231,139,28188.85,3488.78,0.0124,5,137,221,190,22.41,308,1,0.027,0.010,0.0043,221,289,262,60.94,877,13,0.078,0.090,0.0143,289,499,330,115.56,3016,49,0.269,0.350,0.0161,527,670,601,150.32,3285,26,0.292,0.187,0.0079,670,755,744,275.39,3757,51,0.335,0.368,0.0136
"US","Tennessee","Cannon",47015,14678,4048,52,27578.69,3542.72,0.0128,5,115,137,131,11.04,19,0,0.005,0.000,0.0000,156,215,196,27.59,159,0,0.039,0.000,0.0000,215,509,326,194.17,1760,32,0.435,0.618,0.0183,524,655,598,165.69,867,11,0.214,0.212,0.0127,655,755,747,287.30,1242,9,0.307,0.174,0.0073
"US","Tennessee","Carroll",47017,27767,8601,137,30975.62,4933.91,0.0159,5,153,260,217,61.01,977,22,0.114,0.158,0.0221,260,431,324,132.21,2528,59,0.294,0.433,0.0235,431,472,457,8.86,88,2,0.010,0.012,0.0190,522,667,584,134.19,2136,24,0.248,0.179,0.0115,667,755,733,300.97,2759,30,0.321,0.219,0.0109
"US","Tennessee","Carter",47019,56391,15329,295,27183.42,5231.33,0.0192,5,142,244,224,37.01,1113,27,0.073,0.090,0.0238,244,421,328,111.12,4948,128,0.323,0.433,0.0258,421,510,445,28.13,667,3,0.043,0.012,0.0052,510,653,585,128.00,3858,61,0.252,0.207,0.0159,653,755,745,237.79,4751,76,0.310,0.258,0.0160
"US","Tennessee","Cheatham",47021,40667,10568,108,25986.67,2655.72,0.0102,5,56,231,189,33.22,736,10,0.070,0.093,0.0136,231,407,329,131.21,3213,34,0.304,0.315,0.0106,524,655,587,134.02,2374,16,0.225,0.151,0.0069,655,738,729,238.60,2601,32,0.246,0.296,0.0123,738,755,744,177.66,997,5,0.094,0.044,0.0048
"US","Tennessee","Chester",47023,17297,5519,87,31907.27,5029.77,0.0158,5,143,266,225,58.74,684,13,0.124,0.153,0.0195,266,432,332,103.66,1377,35,0.250,0.402,0.0254,432,503,462,18.62,107,3,0.019,0.035,0.0282,503,658,596,137.25,1369,24,0.248,0.271,0.0172,658,755,729,329.83,1979,13,0.359,0.146,0.0064
"US","Tennessee","Claiborne",47025,31959,8376,150,26208.58,4693.51,0.0179,5,126,248,190,25.56,433,5,0.052,0.032,0.0110,248,501,361,98.19,2765,69,0.330,0.463,0.0251,516,651,596,140.37,2255,38,0.269,0.256,0.0170,651,685,658,100.41,424,6,0.051,0.040,0.0143,685,755,747,252.73,2488,32,0.297,0.215,0.0130
"US","Tennessee","Clay",47027,7614,2158,45,28342.53,5910.17,0.0209,5,122,288,263,108.09,430,16,0.199,0.363,0.0379,288,425,329,186.63,641,15,0.297,0.330,0.0232,425,484,454,14.97,29,-1,0.014,-0.022,-0.0346,532,662,601,122.54,421,7,0.195,0.156,0.0167,662,755,747,247.31,617,8,0.286,0.177,0.0129
"US","Tennessee","Cocke",47029,36004,10684,191,29674.48,5304.97,0.0179,5,75,103,85,2.47,15,0,0.001,0.000,0.0000,135,237,188,39.61,693,9,0.065,0.046,0.0127,237,511,330,139.68,3836,91,0.359,0.479,0.0238,528,664,575,141.43,2966,8,0.278,0.044,0.0028,664,755,729,213.00,3179,83,0.298,0.434,0.0261
"US","Tennessee","Coffee",47031,56520,16346,233,28920.74,4122.43,0.0143,5,67,127,93,2.97,68,0,0.004,0.000,0.0000,127,204,196,31.79,511,3,0.031,0.014,0.0066,204,513,328,164.69,6415,120,0.392,0.516,0.0187,525,662,598,130.56,3721,40,0.228,0.171,0.0107,662,755,733,297.22,5652,71,0.346,0.304,0.0125
"US","Tennessee","Crockett",47033,14229,4865,76,34190.74,5341.20,0.0156,5,227,297,273,101.97,630,11,0.129,0.140,0.0169,297,416,329,146.88,933,24,0.192,0.310,0.0252,525,663,578,212.10,1318,12,0.271,0.159,0.0091,663,738,733,370.23,1083,13,0.223,0.171,0.0120,738,755,738,276.41,445,1,0.091,0.014,0.0024
"US","Tennessee","Cumberland",47035,60520,15460,294,25545.27,4857.90,0.0190,5,115,249,224,37.52,1118,17,0.072,0.059,0.0156,249,421,329,125.79,5035,105,0.326,0.357,0.0209,421,516,448,20.14,661,17,0.043,0.058,0.0256,528,655,596,139.57,4288,85,0.277,0.289,0.0198,655,755,745,215.71,4299,69,0.278,0.236,0.0161
"US","Tennessee","Davidson",47037,694143,184715,1518,26610.51,2186.87,0.0082,4,54,237,171,50.90,25417,282,0.138,0.186,0.0111,237,510,329,102.20,65180,672,0.353,0.443,0.0103,528,657,597,80.89,31724,223,0.172,0.147,0.0070,657,755,727,216.20,62679,345,0.339,0.227,0.0055,,,,,,,,,
"US","Tennessee","DeKalb",47041,20489,6116,93,29850.16,4539.02,0.0152,5,129,239,187,61.40,499,10,0.082,0.109,0.0203,239,448,326,193.96,2213,43,0.362,0.466,0.0196,448,492,458,13.28,75,1,0.012,0.011,0.0134,532,657,587,159.21,1361,19,0.222,0.204,0.0140,657,755,747,284.69,1884,18,0.308,0.197,0.0097
"US","Tennessee","Decatur",47039,11663,3537,55,30326.67,4715.77,0.0155,5,130,265,241,80.00,592,11,0.167,0.199,0.0185,265,440,331,183.57,970,27,0.274,0.496,0.0281,454,495,487,8.32,29,1,0.008,0.014,0.0267,517,667,596,136.76,846,5,0.239,0.091,0.0059,667,755,734,297.09,1072,11,0.303,0.202,0.0104
"US","Tennessee","Dickson",47043,53948,15290,225,28342.11,4170.68,0.0147,5,121,222,186,30.60,826,9,0.054,0.040,0.0108,236,478,328,140.36,5735,101,0.375,0.451,0.0177,478,524,506,35.16,250,2,0.016,0.011,0.0099,524,669,596,132.05,3568,54,0.233,0.240,0.0151,669,755,747,234.11,4634,57,0.303,0.252,0.0122
"US","Tennessee","Dyer",47045,37159,12168,179,32745.77,4817.14,0.0147,5,105,305,272,94.94,3010,49,0.247,0.274,0.0163,305,428,328,108.64,2281,54,0.187,0.304,0.0238,515,655,585,172.21,2597,38,0.213,0.213,0.0147,655,738,730,359.05,2990,26,0.246,0.144,0.0086,738,755,738,273.63,1168,8,0.096,0.045,0.0069
"US","Tennessee","Fayette",47047,41132,11149,151,27105.42,3671.11,0.0135,5,57,209,177,30.12,772,9,0.069,0.060,0.0118,209,424,348,100.63,3995,67,0.358,0.441,0.0167,424,509,465,21.44,433,9,0.039,0.063,0.0219,522,657,595,88.64,2143,23,0.192,0.155,0.0109,657,755,727,204.10,3804,43,0.341,0.287,0.0114
"US","Tennessee","Fentress",47049,18523,5429,109,29309.51,5884.58,0.0201,5,153,288,254,96.04,975,13,0.180,0.121,0.0135,288,430,330,160.45,1359,32,0.250,0.294,0.0236,471,516,506,45.78,107,2,0.020,0.018,0.0188,528,663,596,140.58,1214,19,0.224,0.173,0.0155,663,755,747,286.67,1697,41,0.313,0.379,0.0243
"US","Tennessee","Franklin",47051,42207,12371,155,29310.30,3672.38,0.0125,5,115,261,237,48.21,1055,11,0.085,0.070,0.0102,261,495,329,129.48,4090,79,0.331,0.509,0.0193,495,514,506,13.72,54,2,0.004,0.011,0.0323,524,664,598,128.96,2859,11,0.231,0.068,0.0037,664,755,734,314.19,4293,53,0.347,0.341,0.0123
"US","Tennessee","Gibson",47053,49133,16696,232,33981.23,4721.88,0.0139,5,136,264,244,49.78,1889,30,0.113,0.128,0.0157,264,423,329,140.15,4310,112,0.258,0.481,0.0259,423,512,458,17.18,424,8,0.025,0.033,0.0181,522,663,585,163.21,4085,42,0.245,0.180,0.0102,663,755,730,389.96,5949,42,0.356,0.179,0.0070
"US","Tennessee","Giles",47055,29464,9145,161,31037.88,5464.30,0.0176,5,130,217,177,38.69,422,14,0.046,0.088,0.0334,217,496,332,177.95,3595,87,0.393,0.541,0.0242,498,511,507,6.48,17,-1,0.002,-0.006,-0.0575,520,665,596,129.04,2082,27,0.228,0.168,0.0130,665,755,734,333.22,3021,34,0.330,0.212,0.0113
"US","Tennessee","Grainger",47057,23319,6470,98,27745.62,4202.58,0.0151,5,65,80,70,1.46,4,0,0.001,0.000,0.0000,125,222,189,33.11,269,1,0.042,0.010,0.0038,222,512,328,140.57,2397,49,0.370,0.498,0.0204,512,661,598,141.17,1759,18,0.272,0.187,0.0104,661,755,745,240.36,2049,30,0.317,0.308,0.0148
"US","Tennessee","Greene",47059,69069,20992,327,30392.80,4734.40,0.0156,5,145,236,209,25.31,954,28,0.045,0.085,0.0292,236,416,329,148.69,6362,119,0.303,0.365,0.0188,416,512,440,20.59,665,11,0.032,0.035,0.0172,512,662,596,167.21,5964,87,0.284,0.266,0.0146,662,755,744,292.32,7034,82,0.335,0.249,0.0116
"US","Tennessee","Grundy",47061,13427,3853,67,28695.91,4989.95,0.0174,5,58,114,73,10.72,30,1,0.008,0.015,0.0336,134,289,254,77.31,601,13,0.156,0.195,0.0217,289,481,328,130.56,1167,21,0.303,0.309,0.0177,517,676,601,151.19,1130,7,0.293,0.106,0.0063,676,755,745,215.01,923,25,0.240,0.374,0.0271
"US","Tennessee","Hamblen",47063,64934,19083,321,29388.30,4943.48,0.0168,5,121,228,187,69.98,1667,19,0.087,0.061,0.0117,228,486,328,146.84,6953,153,0.364,0.475,0.0219,499,511,505,8.24,41,-1,0.002,-0.002,-0.0162,521,657,595,131.78,4436,29,0.232,0.091,0.0066,657,755,730,268.55,5976,119,0.313,0.372,0.0200
"US","Tennessee","Hamilton",47065,367804,94849,1013,25787.92,2754.18,0.0107,5,86,239,177,30.98,8844,75,0.093,0.074,0.0085,239,511,330,121.78,36354,420,0.383,0.414,0.0115,511,659,596,84.92,18966,154,0.200,0.152,0.0081,659,738,729,221.48,23037,310,0.243,0.306,0.0135,738,755,738,167.32,8267,49,0.087,0.049,0.0060
"US","Tennessee","Hancock",47067,6620,1878,29,28368.58,4380.66,0.0154,5,144,257,183,63.44,109,3,0.058,0.104,0.0278,257,420,319,88.22,403,9,0.215,0.312,0.0224,420,519,456,37.31,108,1,0.057,0.035,0.0094,527,656,593,183.84,605,7,0.322,0.243,0.0116,656,755,744,253.78,655,9,0.349,0.311,0.0138
"US","Tennessee","Hardeman",47069,25050,7163,109,28594.81,4351.30,0.0152,5,135,252,233,85.23,1390,27,0.194,0.244,0.0191,252,285,275,62.63,386,7,0.054,0.066,0.0186,285,427,328,95.53,1457,30,0.203,0.273,0.0204,525,661,581,118.28,1608,19,0.224,0.171,0.0116,661,755,729,202.44,2011,27,0.281,0.247,0.0134
