Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Utah","Bear River",0,186818,50850,218,27219.00,1166.91,0.0043,5,82,96,88,3.40,57,1,0.001,0.005,0.0173,103,206,136,35.29,2316,6,0.046,0.029,0.0028,206,506,301,110.22,19775,99,0.389,0.453,0.0050,506,680,637,61.25,11876,78,0.234,0.358,0.0066,680,755,729,344.00,16924,35,0.333,0.162,0.0021
"US","Utah","Central Utah",0,81954,20096,148,24521.07,1805.89,0.0074,5,117,215,163,10.85,456,2,0.023,0.017,0.0054,215,462,333,113.77,8365,62,0.416,0.421,0.0074,493,681,598,88.67,5707,53,0.284,0.355,0.0092,681,738,731,210.81,4091,19,0.204,0.130,0.0047,738,755,738,143.67,1409,10,0.070,0.067,0.0070
"US","Utah","Davis",49011,355481,98634,362,27746.63,1018.34,0.0037,5,57,101,72,2.85,290,2,0.003,0.005,0.0063,101,212,175,18.23,3255,19,0.033,0.054,0.0060,212,495,349,92.97,35201,151,0.357,0.417,0.0043,495,676,599,57.61,21717,115,0.220,0.319,0.0053,676,755,728,357.47,38391,76,0.389,0.210,0.0020
"US","Utah","Salt Lake",49035,1160437,336163,1510,28968.66,1301.23,0.0045,5,56,210,169,24.71,22145,217,0.066,0.144,0.0098,210,498,300,105.32,129186,677,0.384,0.448,0.0052,498,606,596,39.64,27163,152,0.081,0.101,0.0056,606,673,664,48.02,31021,187,0.092,0.124,0.0060,673,755,721,358.06,127702,286,0.380,0.189,0.0022
"US","Utah","San Juan",49037,15307,3885,47,25380.54,3070.49,0.0121,5,81,150,117,71.80,369,7,0.095,0.142,0.0180,150,228,180,55.40,295,22,0.076,0.471,0.0749,228,438,357,105.77,1185,8,0.305,0.180,0.0072,503,686,656,78.07,846,6,0.218,0.130,0.0072,686,755,729,257.79,1124,4,0.289,0.084,0.0035
"US","Utah","Southeast Utah",0,40229,9840,70,24459.97,1740.04,0.0071,5,83,99,90,2.54,12,0,0.001,0.000,0.0000,125,210,195,7.58,102,1,0.010,0.014,0.0099,210,498,302,83.87,3506,27,0.356,0.388,0.0077,498,685,644,113.05,3415,28,0.347,0.400,0.0082,685,755,730,241.00,2812,15,0.286,0.214,0.0053
"US","Utah","Southwest Utah",0,252042,62570,579,24825.23,2297.24,0.0093,4,82,220,177,21.00,3561,27,0.057,0.047,0.0076,220,490,317,103.11,25615,246,0.409,0.424,0.0096,490,674,601,57.23,14313,170,0.229,0.294,0.0119,674,755,729,233.56,19192,138,0.307,0.239,0.0072,,,,,,,,,
"US","Utah","Summit",49043,42145,13244,22,31424.84,522.01,0.0017,5,51,124,67,34.62,406,0,0.031,0.000,0.0000,124,198,170,19.01,300,1,0.023,0.046,0.0034,198,496,353,143.96,4871,12,0.368,0.550,0.0025,496,669,657,66.75,1778,6,0.134,0.275,0.0034,669,755,717,468.88,5913,3,0.446,0.142,0.0005
"US","Utah","Tooele",49045,72258,20974,89,29026.54,1231.70,0.0042,4,59,214,176,15.68,644,0,0.031,0.000,0.0000,214,502,353,86.73,6862,44,0.327,0.496,0.0064,502,681,641,80.23,6008,36,0.286,0.403,0.0060,681,755,728,371.14,7506,10,0.358,0.109,0.0013,,,,,,,,,
"US","Utah","TriCounty",0,56622,12514,91,22100.95,1607.15,0.0073,5,135,226,179,9.71,193,1,0.015,0.011,0.0052,226,460,301,72.18,3766,34,0.301,0.374,0.0090,460,683,609,104.08,4958,45,0.396,0.490,0.0090,683,738,730,238.62,2814,6,0.225,0.062,0.0020,738,755,738,164.49,873,7,0.070,0.074,0.0077
