Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Vermont","Addison",50001,36777,3892,14,10582.70,380.67,0.0036,5,55,92,73,8.24,60,2,0.016,0.140,0.0324,248,393,352,47.50,603,6,0.155,0.433,0.0101,393,500,407,20.69,381,0,0.098,0.000,0.0000,522,614,573,17.62,287,0,0.074,0.000,0.0000,614,755,726,124.29,2544,7,0.654,0.484,0.0027
"US","Vermont","Bennington",50003,35470,8341,59,23515.65,1663.38,0.0071,5,55,114,63,4.51,59,1,0.007,0.017,0.0170,145,210,201,2.11,26,0,0.003,0.000,0.0000,241,430,368,64.65,1544,9,0.185,0.150,0.0057,430,520,448,30.14,406,5,0.049,0.091,0.0132,520,755,720,279.05,6291,45,0.754,0.755,0.0071
"US","Vermont","Caledonia",50005,29993,4417,23,14726.77,766.85,0.0052,5,60,99,73,1.90,13,0,0.003,0.000,0.0000,265,366,316,17.44,275,4,0.062,0.176,0.0147,366,527,433,52.95,774,3,0.175,0.132,0.0039,552,692,681,115.16,1818,14,0.412,0.611,0.0077,692,755,731,150.30,1533,2,0.347,0.090,0.0014
"US","Vermont","Chittenden",50007,163774,25125,154,15341.26,940.32,0.0061,5,54,109,73,12.34,430,37,0.017,0.239,0.0856,232,392,355,33.59,3715,44,0.148,0.286,0.0119,392,510,435,40.13,3028,21,0.121,0.139,0.0071,510,614,603,29.87,2490,15,0.099,0.096,0.0059,614,755,723,190.10,15161,36,0.603,0.232,0.0024
"US","Vermont","Essex",50009,6163,1081,3,17540.16,486.78,0.0028,5,273,342,315,50.14,74,0,0.069,0.000,0.0000,342,385,351,34.89,60,0,0.055,0.020,0.0010,397,512,447,42.35,136,1,0.126,0.357,0.0079,541,702,654,132.40,562,0,0.520,0.020,0.0001,702,755,732,130.78,226,1,0.209,0.327,0.0043
"US","Vermont","Franklin",50011,49401,8185,60,16568.49,1214.55,0.0073,5,58,91,79,12.77,90,4,0.011,0.069,0.0459,95,106,100,1.84,7,0,0.001,0.006,0.0456,271,347,315,22.17,436,21,0.053,0.342,0.0471,347,491,386,38.04,1468,12,0.179,0.203,0.0083,524,755,723,200.06,6155,21,0.752,0.353,0.0034
"US","Vermont","Grand Isle",50013,7235,854,4,11803.73,552.87,0.0047,5,271,331,293,21.42,39,0,0.046,0.000,0.0000,331,367,356,15.20,27,0,0.032,0.000,0.0000,367,497,423,37.32,136,2,0.159,0.500,0.0147,548,624,586,36.35,100,0,0.117,0.000,0.0000,624,755,733,142.64,538,2,0.631,0.505,0.0038
"US","Vermont","Lamoille",50015,25362,3176,15,12522.67,591.44,0.0047,5,57,97,66,5.28,25,2,0.008,0.131,0.0769,227,253,240,3.35,13,0,0.004,0.000,0.0000,285,334,299,20.46,156,0,0.049,0.000,0.0000,334,512,427,35.84,672,2,0.211,0.135,0.0030,548,755,723,149.48,2286,12,0.720,0.810,0.0053
"US","Vermont","Orange",50017,28892,3157,11,10926.90,380.73,0.0035,5,261,346,301,33.47,295,1,0.094,0.092,0.0034,346,410,352,17.96,202,2,0.064,0.184,0.0100,410,511,445,29.90,303,0,0.096,0.000,0.0000,528,672,653,51.33,854,3,0.270,0.285,0.0037,672,755,732,128.55,1489,5,0.472,0.454,0.0034
"US","Vermont","Orleans",50019,27037,4941,33,18274.96,1220.55,0.0067,5,57,75,64,2.11,8,0,0.002,0.000,0.0000,262,362,320,28.44,304,5,0.062,0.154,0.0167,362,508,407,68.57,969,6,0.196,0.183,0.0062,527,692,633,117.58,2383,16,0.482,0.494,0.0068,692,755,733,146.47,1278,6,0.259,0.181,0.0047
"US","Vermont","Rutland",50021,58191,10957,58,18829.37,996.72,0.0053,5,57,92,73,4.50,43,1,0.004,0.017,0.0228,168,234,221,3.21,53,0,0.005,0.000,0.0000,277,407,378,42.19,1208,11,0.110,0.186,0.0089,407,517,432,43.63,955,8,0.087,0.144,0.0087,535,755,723,251.09,8668,38,0.791,0.658,0.0044
"US","Vermont","Unassigned",90050,-1,14965,14,0.00,0.00,0.0009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
