Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Virginia","Accomack",51001,32315,6891,102,21324.46,3156.43,0.0148,5,59,164,99,88.16,1042,14,0.151,0.138,0.0135,172,244,202,10.65,125,5,0.018,0.049,0.0401,244,508,353,96.67,1699,26,0.247,0.251,0.0150,515,665,580,56.60,1286,35,0.187,0.343,0.0272,665,755,722,306.05,2743,22,0.398,0.216,0.0080
"US","Virginia","Albemarle",51003,109330,14897,131,13625.72,1198.21,0.0088,5,59,219,169,11.69,1003,17,0.067,0.133,0.0174,219,280,252,13.00,586,7,0.039,0.052,0.0117,280,504,394,47.61,4238,59,0.284,0.454,0.0140,510,656,603,36.27,2376,21,0.160,0.157,0.0086,656,755,720,130.09,6723,27,0.451,0.207,0.0040
"US","Virginia","Alexandria",51510,159428,29237,176,18338.69,1103.95,0.0060,5,58,160,102,26.79,2320,56,0.079,0.320,0.0242,160,251,209,13.74,1525,13,0.052,0.076,0.0088,251,417,354,54.25,6754,59,0.231,0.334,0.0087,509,652,600,20.49,2521,13,0.086,0.072,0.0050,652,755,717,298.96,14882,26,0.509,0.150,0.0018
"US","Virginia","Alleghany",51005,14859,3472,93,23366.31,6258.83,0.0268,5,236,385,336,108.28,1079,29,0.311,0.316,0.0272,391,436,400,73.29,120,11,0.035,0.117,0.0906,436,512,460,19.18,98,1,0.028,0.010,0.0096,512,656,603,97.18,792,30,0.228,0.322,0.0378,656,754,728,219.93,1314,15,0.379,0.162,0.0115
"US","Virginia","Amelia",51007,13145,2541,52,19330.54,3955.88,0.0205,5,110,260,231,14.68,111,4,0.044,0.078,0.0364,260,435,351,90.60,694,24,0.273,0.457,0.0343,435,514,476,18.49,106,7,0.042,0.137,0.0674,528,669,605,63.37,606,6,0.238,0.114,0.0098,669,755,724,194.98,1013,10,0.399,0.194,0.0100
"US","Virginia","Amherst",51009,31604,6655,78,21057.46,2468.04,0.0117,5,95,128,113,3.16,17,-1,0.003,-0.008,-0.0366,145,235,199,24.27,316,2,0.047,0.024,0.0060,235,516,362,117.04,2642,38,0.397,0.493,0.0146,516,661,595,98.75,1456,20,0.219,0.257,0.0138,661,755,721,164.25,2226,19,0.334,0.239,0.0084
"US","Virginia","Appomattox",51011,15911,3557,48,22355.60,3016.78,0.0135,5,135,247,215,28.22,180,3,0.051,0.061,0.0164,247,423,356,131.04,1246,20,0.350,0.419,0.0162,423,505,447,48.27,167,3,0.047,0.063,0.0181,520,655,598,99.55,802,10,0.226,0.209,0.0125,655,755,731,151.97,1136,12,0.319,0.253,0.0107
"US","Virginia","Arlington",51013,236842,39510,305,16682.01,1287.78,0.0077,5,55,162,100,17.32,2496,132,0.063,0.431,0.0527,162,238,208,9.66,1288,14,0.033,0.046,0.0109,238,487,353,46.99,11523,111,0.292,0.363,0.0096,524,646,597,18.59,3302,13,0.084,0.044,0.0041,646,755,720,243.66,20928,35,0.530,0.116,0.0017
"US","Virginia","Augusta",51015,75557,18372,179,24315.42,2369.07,0.0097,5,68,166,147,4.04,195,2,0.011,0.011,0.0104,166,419,325,130.43,5100,67,0.278,0.374,0.0131,419,527,442,26.10,701,10,0.038,0.054,0.0138,542,654,598,122.40,4289,52,0.233,0.288,0.0120,654,755,721,257.85,8116,49,0.442,0.273,0.0060
"US","Virginia","Bath",51017,4147,852,17,20544.97,4099.35,0.0200,5,232,386,346,152.40,241,8,0.283,0.471,0.0333,400,490,443,19.29,31,1,0.036,0.053,0.0293,537,558,548,7.72,4,0,0.005,0.000,0.0000,565,667,602,134.56,222,4,0.261,0.235,0.0179,667,755,733,204.49,352,3,0.413,0.164,0.0079
"US","Virginia","Bedford",51019,78997,15948,205,20188.11,2595.04,0.0129,5,122,223,212,12.47,516,7,0.032,0.034,0.0137,223,453,357,109.84,5637,89,0.353,0.433,0.0157,522,659,597,84.88,3457,51,0.217,0.249,0.0147,659,738,725,155.88,4332,24,0.272,0.119,0.0056,738,755,751,125.28,1595,23,0.100,0.110,0.0142
