Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Washington","Adams",53001,19983,4828,36,24160.54,1801.53,0.0075,5,117,262,225,53.75,840,11,0.174,0.307,0.0132,262,417,300,109.84,1057,11,0.219,0.306,0.0104,531,680,603,89.78,1089,10,0.226,0.279,0.0092,680,738,735,342.09,1133,1,0.235,0.028,0.0009,738,755,738,280.74,395,1,0.082,0.030,0.0027
"US","Washington","Asotin",53003,22582,4260,58,18864.58,2568.42,0.0136,5,69,101,86,4.30,18,2,0.004,0.034,0.1132,180,408,294,79.75,1268,26,0.298,0.450,0.0206,408,513,467,18.51,207,1,0.049,0.017,0.0049,513,682,601,84.80,1552,22,0.364,0.379,0.0142,682,755,734,202.86,1220,7,0.286,0.125,0.0059
"US","Washington","Benton",53005,204389,50996,436,24950.46,2133.19,0.0085,5,57,232,174,32.38,4300,122,0.084,0.279,0.0283,232,418,321,70.89,11053,87,0.217,0.199,0.0078,496,675,571,85.08,14928,163,0.293,0.373,0.0109,675,738,735,360.90,14156,36,0.278,0.083,0.0025,738,755,738,333.38,5356,18,0.105,0.041,0.0034
"US","Washington","Chelan",53007,77199,19599,146,25387.63,1891.22,0.0074,5,128,250,191,41.19,1831,11,0.093,0.077,0.0061,250,411,320,82.20,4035,45,0.206,0.308,0.0111,514,680,584,79.02,5304,50,0.271,0.345,0.0095,680,738,736,310.28,5467,23,0.279,0.158,0.0042,738,755,738,302.23,2199,5,0.112,0.031,0.0021
"US","Washington","Clallam",53009,77331,11135,115,14399.14,1487.11,0.0103,5,251,408,305,15.00,754,7,0.068,0.061,0.0093,408,499,467,8.51,353,4,0.032,0.031,0.0102,499,667,595,78.80,3817,56,0.343,0.491,0.0148,667,738,736,170.51,4391,39,0.394,0.343,0.0090,738,755,738,166.69,1733,9,0.156,0.077,0.0051
"US","Washington","Clark",53011,488240,82590,719,16915.86,1472.64,0.0087,5,103,209,192,7.78,1659,32,0.020,0.045,0.0195,209,410,349,38.34,17195,178,0.208,0.248,0.0104,410,524,464,20.58,6815,56,0.083,0.077,0.0082,524,672,587,44.25,18601,246,0.225,0.342,0.0132,672,755,725,209.24,38142,187,0.462,0.261,0.0049
"US","Washington","Columbia",53013,3985,593,13,14880.80,3262.23,0.0219,5,273,365,314,60.73,79,3,0.133,0.232,0.0382,365,436,376,47.18,24,1,0.041,0.078,0.0420,478,526,486,13.05,13,1,0.022,0.112,0.1095,533,662,586,109.16,242,2,0.408,0.182,0.0098,662,755,739,194.73,220,5,0.372,0.375,0.0221
"US","Washington","Cowlitz",53015,110593,21501,317,19441.56,2866.37,0.0147,5,218,411,357,45.21,3940,62,0.183,0.195,0.0157,411,522,450,26.46,2184,24,0.102,0.076,0.0110,522,675,578,81.68,7625,167,0.355,0.526,0.0219,675,738,734,179.40,5454,49,0.254,0.155,0.0090,738,755,738,162.54,1990,12,0.093,0.037,0.0059
"US","Washington","Douglas",53017,43429,10723,61,24690.87,1404.59,0.0057,5,127,254,190,51.74,1151,5,0.107,0.082,0.0044,254,402,321,75.02,1860,15,0.173,0.244,0.0080,402,493,434,19.07,442,0,0.041,0.001,0.0002,493,682,597,85.08,3047,25,0.284,0.406,0.0081,682,755,736,338.97,4084,14,0.381,0.233,0.0035
"US","Washington","Ferry",53019,7627,1378,23,18067.39,3015.60,0.0167,5,162,234,192,15.21,28,0,0.020,0.000,0.0000,263,389,315,78.41,172,4,0.125,0.176,0.0235,389,525,455,80.11,199,4,0.144,0.174,0.0201,525,676,631,119.84,469,9,0.341,0.390,0.0191,676,755,735,198.11,509,6,0.370,0.277,0.0125
