Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","West Virginia","Barbour",54001,16441,4511,67,27437.50,4075.18,0.0149,5,221,357,351,193.78,1024,13,0.227,0.197,0.0129,439,525,463,29.86,194,8,0.043,0.113,0.0391,525,674,583,147.19,1431,20,0.317,0.298,0.0139,674,738,731,255.46,1178,10,0.261,0.153,0.0087,738,755,738,203.33,428,5,0.095,0.080,0.0126
"US","West Virginia","Berkeley",54003,119171,34844,251,29238.66,2106.22,0.0072,5,61,156,121,6.91,444,10,0.013,0.040,0.0225,206,403,352,94.73,8957,88,0.257,0.352,0.0099,403,522,444,41.79,3167,32,0.091,0.128,0.0102,522,651,616,69.30,5992,54,0.172,0.215,0.0090,651,755,714,395.27,16066,67,0.461,0.267,0.0042
"US","West Virginia","Boone",54005,21457,6363,64,29654.66,2982.71,0.0101,5,209,405,332,74.01,1466,32,0.230,0.493,0.0215,405,527,443,37.00,597,5,0.094,0.073,0.0079,527,677,600,119.96,1778,25,0.279,0.396,0.0142,677,738,730,355.83,1871,3,0.294,0.042,0.0014,738,755,738,258.56,600,1,0.094,0.016,0.0017
"US","West Virginia","Braxton",54007,13956,3589,38,25716.54,2722.84,0.0106,5,166,187,172,2.01,5,0,0.001,0.000,0.0000,234,401,347,252.15,764,1,0.213,0.027,0.0013,401,527,469,26.23,245,3,0.068,0.086,0.0133,527,656,605,193.61,1208,17,0.336,0.458,0.0144,656,755,722,185.94,1373,18,0.383,0.461,0.0127
"US","West Virginia","Brooke",54009,21939,4811,97,21928.98,4421.35,0.0202,5,144,229,171,9.16,96,1,0.020,0.015,0.0153,229,422,323,118.69,1945,57,0.404,0.589,0.0294,422,519,448,19.33,203,2,0.042,0.020,0.0094,527,642,601,85.37,794,12,0.165,0.121,0.0147,642,755,718,168.74,1778,26,0.370,0.272,0.0149
"US","West Virginia","Cabell",54011,91945,26470,339,28788.95,3686.99,0.0128,5,68,115,78,2.25,54,0,0.002,0.000,0.0000,121,456,326,86.48,8581,180,0.324,0.530,0.0210,465,514,470,10.51,261,6,0.010,0.016,0.0210,514,660,600,146.38,6594,99,0.249,0.293,0.0151,660,755,732,291.40,11047,64,0.417,0.189,0.0058
"US","West Virginia","Calhoun",54013,7109,1741,11,24490.08,1547.33,0.0063,5,202,263,228,15.61,24,0,0.014,0.000,0.0000,263,406,351,55.70,201,0,0.115,0.000,0.0000,406,539,474,81.73,168,1,0.097,0.092,0.0060,539,657,590,247.15,587,4,0.337,0.365,0.0068,657,755,732,224.64,759,6,0.436,0.556,0.0081
"US","West Virginia","Clay",54015,8508,2252,32,26469.21,3761.17,0.0142,5,123,149,131,5.41,8,0,0.003,0.005,0.0203,207,406,321,69.93,360,4,0.160,0.129,0.0115,406,526,479,41.61,166,6,0.074,0.185,0.0358,536,659,597,185.83,764,9,0.339,0.284,0.0119,659,755,728,228.02,950,13,0.422,0.401,0.0135
"US","West Virginia","Doddridge",54017,8448,2044,16,24195.08,1893.94,0.0078,5,276,411,360,76.59,403,5,0.197,0.318,0.0126,411,535,420,34.45,176,-0,0.086,-0.003,-0.0002,535,680,644,222.66,799,6,0.391,0.349,0.0070,680,738,733,240.53,451,5,0.221,0.286,0.0101,738,755,738,192.00,169,1,0.083,0.055,0.0052
"US","West Virginia","Fayette",54019,42406,12436,168,29326.04,3961.70,0.0135,5,145,265,222,45.70,639,14,0.051,0.084,0.0221,265,402,347,67.23,1963,52,0.158,0.311,0.0266,402,518,435,39.19,902,9,0.073,0.054,0.0101,518,656,600,106.57,2812,51,0.226,0.305,0.0182,656,755,732,346.77,6095,39,0.490,0.232,0.0064
"US","West Virginia","Gilmer",54021,7822,2031,17,25965.23,2173.36,0.0084,5,89,128,108,7.54,10,0,0.005,0.000,0.0000,233,428,338,144.72,708,8,0.349,0.472,0.0113,428,521,467,90.90,156,-2,0.077,-0.115,-0.0125,521,667,604,112.63,553,8,0.272,0.472,0.0145,667,755,731,193.68,598,4,0.294,0.222,0.0063
"US","West Virginia","Grant",54023,11568,3681,53,31820.54,4581.60,0.0144,5,163,236,196,48.58,132,7,0.036,0.124,0.0500,236,401,317,139.44,914,19,0.248,0.366,0.0212,401,481,414,44.52,221,2,0.060,0.035,0.0085,533,649,601,161.48,880,5,0.239,0.095,0.0058,649,755,733,272.65,1493,20,0.406,0.374,0.0133
"US","West Virginia","Greenbrier",54025,34662,8968,130,25872.71,3750.50,0.0145,5,136,206,146,10.96,86,3,0.010,0.023,0.0353,206,415,329,102.94,2349,54,0.262,0.414,0.0229,415,528,457,29.72,458,8,0.051,0.062,0.0176,528,661,589,114.71,2188,36,0.244,0.277,0.0164,661,755,736,254.05,3893,31,0.434,0.238,0.0079
"US","West Virginia","Hampshire",54027,23174,5635,64,24316.04,2761.72,0.0114,5,169,216,188,8.98,49,0,0.009,0.000,0.0000,227,415,329,113.62,1466,28,0.260,0.437,0.0191,415,528,477,32.23,371,7,0.066,0.114,0.0197,528,648,604,105.89,1314,13,0.233,0.201,0.0098,648,755,729,193.75,2407,15,0.427,0.239,0.0064
"US","West Virginia","Hancock",54029,28810,6563,133,22780.28,4616.45,0.0203,5,155,223,183,12.11,102,0,0.015,0.000,0.0000,223,408,322,151.93,2476,86,0.377,0.648,0.0348,415,499,448,17.08,241,0,0.037,0.003,0.0017,517,666,609,97.12,1610,29,0.245,0.215,0.0178,666,755,716,178.48,2125,16,0.324,0.121,0.0075
"US","West Virginia","Hardy",54031,13776,4104,47,29790.94,3411.73,0.0115,5,254,402,353,146.56,1174,19,0.286,0.405,0.0162,402,534,461,38.11,321,4,0.078,0.086,0.0125,542,646,599,136.90,839,7,0.204,0.143,0.0080,646,674,655,72.30,251,1,0.061,0.019,0.0036,674,755,715,258.28,1442,16,0.351,0.340,0.0111
