Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Wyoming","Albany",56001,38880,9724,45,25010.29,1157.41,0.0046,5,114,133,124,3.96,17,0,0.002,0.000,0.0000,144,410,294,190.02,3889,11,0.400,0.246,0.0028,410,519,472,34.16,692,5,0.071,0.119,0.0077,519,680,615,54.50,2237,22,0.230,0.495,0.0100,680,755,729,222.25,2894,7,0.298,0.155,0.0024
"US","Wyoming","Big Horn",56003,11790,2538,60,21526.72,5089.06,0.0236,5,118,200,161,10.26,33,0,0.013,0.000,0.0000,240,438,345,91.60,1062,31,0.419,0.517,0.0292,438,518,460,17.39,87,3,0.034,0.043,0.0297,518,692,609,151.31,965,24,0.380,0.392,0.0244,692,755,738,113.40,374,2,0.147,0.034,0.0055
"US","Wyoming","Campbell",56005,46341,11898,138,25674.89,2977.92,0.0116,5,132,382,297,157.12,4612,56,0.388,0.403,0.0121,406,524,487,21.02,511,3,0.043,0.021,0.0057,524,685,607,125.46,4157,63,0.349,0.455,0.0151,685,738,733,186.42,1897,12,0.159,0.085,0.0062,738,755,738,159.62,752,4,0.063,0.032,0.0058
"US","Wyoming","Carbon",56007,14800,4509,50,30466.22,3378.38,0.0111,5,239,343,303,130.20,740,13,0.164,0.250,0.0169,343,439,356,85.07,581,9,0.129,0.175,0.0150,500,603,595,96.35,671,10,0.149,0.204,0.0152,603,685,638,141.89,908,12,0.201,0.230,0.0127,685,755,735,356.76,1339,6,0.297,0.112,0.0042
"US","Wyoming","Converse",56009,13822,3108,51,22485.89,3689.77,0.0164,5,62,106,91,7.38,23,0,0.007,0.000,0.0000,220,435,300,85.08,947,17,0.305,0.335,0.0180,456,685,598,132.40,1353,27,0.435,0.524,0.0197,685,738,732,223.56,583,6,0.188,0.113,0.0099,738,755,738,161.55,207,3,0.067,0.051,0.0125
"US","Wyoming","Crook",56011,7584,1332,24,17563.29,3164.56,0.0180,5,223,386,296,108.65,403,11,0.303,0.452,0.0269,406,450,420,5.54,10,1,0.007,0.042,0.1013,450,523,490,13.19,31,0,0.023,0.019,0.0144,523,689,608,112.21,548,9,0.411,0.372,0.0163,689,755,734,142.14,327,3,0.246,0.118,0.0086
"US","Wyoming","Fremont",56013,39261,13440,173,34232.44,4406.41,0.0129,5,215,352,301,197.40,3494,67,0.260,0.389,0.0192,352,511,356,59.80,1231,19,0.092,0.109,0.0153,511,684,609,142.84,4225,68,0.314,0.392,0.0161,684,738,734,380.86,2858,17,0.213,0.100,0.0060,738,755,738,326.43,1219,4,0.091,0.021,0.0030
"US","Wyoming","Goshen",56015,13211,3513,54,26591.48,4087.50,0.0154,5,62,79,72,1.59,3,0,0.001,0.000,0.0000,158,421,303,181.82,1158,23,0.329,0.429,0.0200,421,499,454,19.60,65,1,0.019,0.019,0.0155,499,689,630,193.78,1447,25,0.412,0.464,0.0173,689,755,735,271.97,841,5,0.240,0.097,0.0062
"US","Wyoming","Hot Springs",56017,4412,1126,14,25521.31,3173.16,0.0124,5,171,205,198,11.79,11,0,0.010,0.000,0.0000,232,324,303,144.38,153,1,0.136,0.072,0.0066,324,427,359,150.73,182,2,0.162,0.143,0.0110,524,681,588,505.44,517,7,0.460,0.516,0.0140,681,755,735,211.92,238,4,0.211,0.279,0.0164
"US","Wyoming","Johnson",56019,8445,1834,18,21716.99,2131.44,0.0098,5,225,374,303,128.83,585,8,0.319,0.445,0.0137,390,410,400,128.36,97,0,0.053,0.019,0.0035,521,630,585,105.03,391,5,0.213,0.282,0.0130,630,688,664,78.39,244,1,0.133,0.064,0.0048,688,755,728,244.29,464,2,0.253,0.107,0.0041
