,Country or territory,Total length of land borders,Unnamed: 2,No. of distinct land borders,No. of distinct land neighbours,neighbor list
0,Abkhazia,382,237,2,2,"Russia, Georgia"
1,Afghanistan,"5,529","3,436",6,6,"People's Republic of China, Iran, Pakistan, Tajikistan, Turkmenistan, Uzbekistan"
2,Albania,720,450,4,4,"Greece, Kosovo, North Macedonia, Montenegro"
3,Algeria,"6,470","4,020",7,7,"Libya, Mali, Mauritania, Morocco, Niger, Tunisia, Western Sahara"
4,Andorra,120,75,2,2,"France, Spain"
5,Angola,"5,198","3,230",5,4,"Congo (Kinshasa) (2), Congo (Brazzaville), Namibia, Zambia"
6,Antigua and Barbuda,0,0,0,0,nan
7,Argentina,"9,665","6,006",6,5,"Bolivia, Brazil, Chile (2), Paraguay, Uruguay"
8,Armenia,"1,254",779,5,4,"Azerbaijan (6), Georgia, Iran, Turkey"
9,Australia,0,0,0,0,nan
10,Austria,"2,562","1,592",9,8,"Czech Republic, Germany, Hungary, Italy, Liechtenstein, Slovakia, Slovenia, Switzerland (2)"
11,Azerbaijan,"2,013","1,251",7,5,"Armenia (6), Georgia, Iran (2), Russia, Turkey"
12,Bahamas,0,0,0,0,nan
13,Bahrain,0,0,0,0,nan
14,Bangladesh,"4,246","2,638",3,2,"India (2), including Dahagram-Angarpota, Myanmar"
15,Barbados,0,0,0,0,nan
16,Belarus,"2,900","1,800",5,5,"Latvia, Lithuania, Poland, Russia, Ukraine"
17,Belgium,"1,385",861,39,4,"France, Germany (6), Luxembourg, Netherlands (31)"
18,Belize,516,321,2,2,"Guatemala, Mexico"
19,Benin,"1,989","1,236",4,4,"Burkina Faso, Niger, Nigeria, Togo"
20,Bhutan,"1,075",668,2,2,"People's Republic of China, India"
21,Bolivia,"6,743","4,190",5,5,"Argentina, Brazil, Chile, Paraguay, Peru"
22,Bosnia and Herzegovina,"1,459",907,5,3,"Croatia (2), Montenegro, Serbia (2)"
23,Botswana,"4,015","2,495",4,4,"Namibia, South Africa, Zambia, Zimbabwe"
24,Brazil,"14,691","9,129",10,10,"Argentina, Bolivia, Colombia, French Guiana[15] (France), Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela"
25,Brunei,381,237,2,1,Malaysia (2)
26,Bulgaria,"1,808","1,123",5,5,"Greece, North Macedonia, Romania, Serbia, Turkey"
